title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
So much fun!,"We went bowling as a staff ""retreat"" and had so much fun. The staff at the lanes were extremely helpful in getting us set up. And then delivered all our lunches as well! Really great experience.",January 2020,Riverside Lanes,https://www.tripadvisor.com/Attraction_Review-g58622-d13504650-Reviews-Riverside_Lanes-Mount_Vernon_Washington.html,"Mount Vernon, Washington",attractions,5.0,5.0
Wow! Especially with a tanker going through,This is a really interesting site and well worth the side trip. Our teen really enjoyed thinking of the engineering to tackle this. There is bungie jumping available which may work for some but not our thing. We loved watching a tanker pulled by a tug going through with the crew below yelling Happy New Year and all of us on bridge doing the same. Plus the scenic highway to Nafplio starts right here so very easy for driving.,December 2019,Corinth Canal,https://www.tripadvisor.com/Attraction_Review-g1188932-d2454053-Reviews-Corinth_Canal-Isthmia_Loutraki_Corinthia_Region_Peloponnese.html,"Isthmia, Greece",attractions,5.0,4.5
Fascinating and beautiful,"Amazing to walk through Lion's Gate and to think about the intersection of pre-civilization and civilization. Good museum. As usual ( as we found in Greece) when touring the site itself the interp signs do not tell the story or the connected myths. More focused on mechanics and architecture. But museum did a good job with this. With teens, definately worth reading the myths enroute before doing a site visit.",January 2020,Lion Gate,https://www.tripadvisor.com/Attraction_Review-g189486-d232311-Reviews-Lion_Gate-Mycenae_Argolis_Region_Peloponnese.html,"Mycenae, Greece",attractions,5.0,4.5
Perfect Hotel!,"Such a nice hotel in a perfect location. You can walk everywhere. The views are fantastic. The rooms are clean, modern and comfortable. I highly recommend this boutique hotel on the waterfront. They will be closed for renovations soon until mid March 2020.",January 2020,Hotel Agamemnon,https://www.tripadvisor.com/Hotel_Review-g319780-d1153230-Reviews-Hotel_Agamemnon-Nafplio_Argolis_Region_Peloponnese.html,"Nafplio, Greece",hotels,5.0,4.0
Nice Atmosphere,"The food was good, the service really fast and the atmosphere very nice. Enjoyed dinner here. It was packed with Greek nationals which is a good sign. Staff were welcoming.",January 2020,Taverna Panellinion,https://www.tripadvisor.com/Restaurant_Review-g315843-d1566335-Reviews-Taverna_Panellinion-Kalambaka_Trikala_Region_Thessaly.html,"Kalambaka, Greece",restaurants,4.0,4.0
"Meteora Great, Drive to Kalambaka not so much","Everyone said we had to see Meteora in Central Greece so we made the four hour trek from Delphi. After crossing beautiful Mt Parnassus area, we were funneled down into confusing toll superhighways. ( Make sure you have studied which way to go because if you go the wrong way, it may be 20 plus miles before you can exit!l). The area of Central Greece we traveled across was full of smoke and lots of highway construction. The sprawl around Trikala worried us. The hotel we had booked was on a highway with many neon lights. Where is this world class UNESCO site, we wondered? But, the journey was indeed worth it. The next day we visited three of the monasteries in the pouring rain and all were beautiful. Varlaam has a great museum. Worth the effort to get here! If possible, I recommend booking a home or hotel well up towards the rocks in Kalambaka as this part of the village is very nice",January 2020,Meteora,https://www.tripadvisor.com/Attraction_Review-g1070999-d523805-Reviews-Meteora-Kastraki_Kalambaka_Trikala_Region_Thessaly.html,"Kastraki, Greece",attractions,5.0,5.0
Great hike and attraction,We walked the 999 steps with our teen and our little guy ( about 8). Well worth it! The views are amazing and history of the castle really interesting. Fun to come down into lively city having earned our lunch!,January 2020,Palamidi Castle,https://www.tripadvisor.com/Attraction_Review-g319780-d2218054-Reviews-Palamidi_Castle-Nafplio_Argolis_Region_Peloponnese.html,"Nafplio, Greece",attractions,5.0,4.5
So Much Fun!,What great atmosphere and energy this bar/eatery has. Foood was excellent as was the service. So much fun to see all the patrons having a good time. The decor is funky and special too.,January 2020,Sokaki Cafe,https://www.tripadvisor.com/Restaurant_Review-g319780-d3486077-Reviews-Sokaki_Cafe-Nafplio_Argolis_Region_Peloponnese.html,"Nafplio, Greece",restaurants,5.0,4.5
Great tour with Magnificent Michael,"Wow, this is a great tour. It was a highlight of our time in Athens. I recommend doing it the first day. Our guide Michael was A+++. He has a deep love of the history, great training and education on history, the ability to tell it in stories, and links past and present. His English is perfect and he seemed to know every language in our group. We travel a lot and he is one of the best guides we have had.",December 2019,Athens Free Walking Tour,https://www.tripadvisor.com/Attraction_Review-g189400-d3629217-Reviews-Athens_Free_Walking_Tour-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Architectual and Historical Wonder,"The antiquities housed here are fantastic, and the building itself is worth visiting. We loved being able to walk through the excavated site below - which is apparently new for 2019. Watch for clever pickpocketers and scammers around the outside entrances and I imagine, some make it inside. One kid with an accordian and a cup of coins we supposedly kicked over, was a great actor but got chewed out by a Greek mama walking by",December 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
