title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Nice view to the city and acropolis,"I recomend use funicular way up to hill and walk back.
On the summit is caffee - bar where you can enjoy cup of coffe.",October 2019,Mount Lycabettus,https://www.tripadvisor.com/Attraction_Review-g189400-d245989-Reviews-Mount_Lycabettus-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
One of the best meal in athens,"Resonable prices, good service, delicious local food and wine. Highly recomend to try.
Very close to Syntagma square.",October 2019,To Kyklamino,https://www.tripadvisor.com/Restaurant_Review-g189400-d17624206-Reviews-To_Kyklamino-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
The best is view to acropolis during dinner from a restaurant,"Must to see, but do not expect something amazing, it is the rest of ancient ruin.
Try visit mout Lycabetos. (nice view to acropolis)",October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Must to see it but do not expect nothing special,"Recomend visit the Partheon during autumn.
Free entrance on public holiday.
20eur entrance
30eur combined entrance",October 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,3.0,4.5
Delicious sushi,"The sushi was delicious but little bit expensive.
Expect about 100eur for 4 person with bottle of wine",October 2019,Umami Panda,https://www.tripadvisor.com/Restaurant_Review-g189400-d17758868-Reviews-Umami_Panda-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Must see this dominant feature of Dolomity,"You must pay fee 30 euro (7/2018) for way to Lavaredo parking (2200m) from Misurina. The journey around the Tre cime is easy and beautiful. If you like via ferrata, you can climb to innnrefler peak(A/B tour). Highly recomended ferrata. At the half journey is next mountain cottage Loccateli when you can drink, eat a go to the toilet.",July 2018,Tre Cime di Lavaredo,https://www.tripadvisor.com/Attraction_Review-g775302-d2277162-Reviews-Tre_Cime_di_Lavaredo-Auronzo_di_Cadore_Province_of_Belluno_Veneto.html,"Auronzo di Cadore, Italy",attractions,5.0,5.0
Nice lake next to biathlon stadium,"It is perfect for walking aroud the lake. It is close to biathlon stadium and close to next lake Obrsee behind Ausrian border. perfect for family, pair even stop for motobikers.",July 2018,Lago di Anterselva,https://www.tripadvisor.com/Attraction_Review-g1097283-d3359570-Reviews-Lago_di_Anterselva-Anterselva_di_Mezzo_Rasun_Anterselva_Province_of_South_Tyrol_.html,"Anterselva di Mezzo, Italy",attractions,5.0,4.5
Perfect view to lake and really big appartmant.,"Perfect, calm hotel on the shore of lake. Rooms are super clean. The is included saunas, jacuzzi... Furniture and equipment are made from real wood and are beauty. Staff is amazing. Speak english, deuch and Italian, even one of the staff speak Slovak language.",July 2018,Hotel Seehaus - Mountain Lake resort,https://www.tripadvisor.com/Hotel_Review-g948558-d1602602-Reviews-Hotel_Seehaus_Mountain_Lake_resort-Rasun_Anterselva_Province_of_South_Tyrol_Trentino_A.html,"Rasun Anterselva, Italy",hotels,5.0,4.0
"Quiet, clean, well equippe camp","Camp provide nice clean and quiet place suitable for family, pairs and hikers. The camp is situated 3km behind city Cortina... next to the nice river. The camp has bar (pizza, grocerry), washing dishing rom, laundry, clean toilets.
There is posible rent static caravan with wood vestibul.",July 2018,International Camping Olympia,https://www.tripadvisor.com/Hotel_Review-g194745-d6958501-Reviews-International_Camping_Olympia-Cortina_d_Ampezzo_Province_of_Belluno_Veneto.html,"Cortina d'Ampezzo, Italy",hotels,4.0,4.0
"Cheap, delicious, familial.",Calm a familiar environment of the restaurant is amazing. It worth to visit. Cheap and delicious Sri lanka food.,January 2018,Lucky Fort Restaurant,https://www.tripadvisor.com/Restaurant_Review-g297896-d4766204-Reviews-Lucky_Fort_Restaurant-Galle_Galle_District_Southern_Province.html,"Galle, Sri Lanka",restaurants,5.0,4.5
More than average services.,All aircrafts were equipped an entertaiment system. A Wifi on board (15min free). The food qiute better than ussually. Alcohol like Cougnac VSOP and others are free on board for economic class.,January 2018,Qatar Airways,https://www.tripadvisor.com/Airline_Review-d8729134-Reviews-Qatar-Airways,World,flights,5.0,4.0
Perfekt and delicious Srí Lanka food,"Delicious and perfekt services. In fact it is something like all you can eat, but Srí Lanka food. Recomend to visit",January 2018,Coconut Sambol,https://www.tripadvisor.com/Restaurant_Review-g297896-d12419253-Reviews-Coconut_Sambol-Galle_Galle_District_Southern_Province.html,"Galle, Sri Lanka",restaurants,5.0,4.5
Best ice cream,One of the best ice cream what I have ever had. Really delicious. You do not miss if you like ice cream.,January 2018,Isle Of Gelato,https://www.tripadvisor.com/Restaurant_Review-g297896-d13201787-Reviews-Isle_Of_Gelato-Galle_Galle_District_Southern_Province.html,"Galle, Sri Lanka",restaurants,5.0,5.0
Nice place which you should see in Srí lanka,"The Sigiriya is very nice and clean place. Hiking is very easy even for older people. However, you should start to hike in the morning because of high temperature.",January 2018,Sigiriya The Ancient Rock Fortress,https://www.tripadvisor.com/Attraction_Review-g304141-d4782530-Reviews-Sigiriya_The_Ancient_Rock_Fortress-Sigiriya_Central_Province.html,"Sigiriya, Sri Lanka",attractions,4.0,4.5
Do not forget the tickets.,"If you come from the side of Gold budha, you must go up turn left and down around the hill to the ticket counter. You must buy before hicking!",January 2018,Golden Temple of Dambulla,https://www.tripadvisor.com/Attraction_Review-g304133-d2137226-Reviews-Golden_Temple_of_Dambulla-Dambulla_Central_Province.html,"Dambulla, Sri Lanka",attractions,3.0,4.5
If you want to avoid overcrowded peak...,If you want to avoid a long queue and you accept to see sunset is the go at 3 pm. The jorney takes 2 hours if you hurry otherwise 3 hours.,January 2018,Adam's Peak (Sri pada),https://www.tripadvisor.com/Attraction_Review-g2467807-d368124-Reviews-Adam_s_Peak_Sri_pada-Sabaragamuwa_Province.html,"Sabaragamuwa Province, Sri Lanka",attractions,4.0,4.5
Huge party every night.,"This beach is suitable for dancing and drinking party people. Party began at 3PM until 6 PM.
The beach provide except restaurant also very good facilities as boats, bungee jump etc..",June 2017,Zrce Beach,https://www.tripadvisor.com/Attraction_Review-g651687-d3349765-Reviews-Zrce_Beach-Novalja_Island_of_Pag_Zadar_County_Dalmatia.html,"Island of Pag, Croatia",attractions,4.0,4.0
Amaring night view.,"Very nice place especially for pair traveled. Very romantic ancient town. In the side streets is market, where you can buy everything.",March 2017,Hoi An Ancient Town,https://www.tripadvisor.com/Attraction_Review-g298082-d4507121-Reviews-Hoi_An_Ancient_Town-Hoi_An_Quang_Nam_Province.html,"Hoi An, Vietnam",attractions,5.0,4.5
Everything in one place.,"If you lide shopping. Dont forget visit the Centra market. You can buy here, souveniers, food and can see any good like slipper made from old pneumatic.",April 2017,Central Market,https://www.tripadvisor.com/Attraction_Review-g298082-d451144-Reviews-Central_Market-Hoi_An_Quang_Nam_Province.html,"Hoi An, Vietnam",attractions,4.0,4.0
Indian restaurant. Chicken vidaloo is not too much spicy,Very nice environment and service. The food was delicious. Dont afraid of order very spicy. Is not spicy as ussual.,April 2017,Ganesh,https://www.tripadvisor.com/Restaurant_Review-g298082-d1601123-Reviews-Ganesh-Hoi_An_Quang_Nam_Province.html,"Hoi An, Vietnam",restaurants,4.0,4.5
The best beach in the Vietnam.,According to me the best beach in the Island and in the Vietnam as well. If you are in the Phu quoc. You should visit it.,April 2017,Bãi Tắm Sao,https://www.tripadvisor.com/Attraction_Review-g12520037-d1750341-Reviews-Bai_T_m_Sao-An_Thoi_Phu_Quoc_Island_Kien_Giang_Province.html,"Phu Quoc Island, Vietnam",attractions,5.0,3.5
Front beach bar.,"It is front beach bar, but in the nice place, good service and prices. Suitable for chillout with anybody.",April 2017,Rory's Beach Bar,https://www.tripadvisor.com/Restaurant_Review-g1184679-d2079602-Reviews-Rory_s_Beach_Bar-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html,"Phu Quoc Island, Vietnam",restaurants,5.0,4.0
Marble mountains,"You must pay entrance fee. (60VND). View from top is beautifull. Be carefull, in the town you can buy many souveniers, which could be from real marble.",March 2017,The Marble Mountains,https://www.tripadvisor.com/Attraction_Review-g298085-d454980-Reviews-The_Marble_Mountains-Da_Nang.html,"Da Nang, Vietnam",attractions,4.0,4.0
Monkey circus,"You can see circus on the island. Monkey drive, bude, motorbike, swim, ride on dogs. You can bet. Can not recomend, because monkey suffer.",March 2017,Monkey Island,https://www.tripadvisor.com/Attraction_Review-g293928-d8448749-Reviews-Monkey_Island-Nha_Trang_Khanh_Hoa_Province.html,"Nha Trang, Vietnam",attractions,2.0,4.0
Very good pho,Delicious pho. One of the the best in the Vietnam. Very clear restaurant a very kind and helfull staff.,March 2017,Pho Viet Kieu,https://www.tripadvisor.com/Restaurant_Review-g298085-d10839528-Reviews-Pho_Viet_Kieu-Da_Nang.html,"Da Nang, Vietnam",restaurants,5.0,4.5
big statue and pagoda,Lady budha is dominant statue of Danang. You can see it from beach very well. Good trip which recomend visit with monkey mountains together,March 2017,Lady Buddha,https://www.tripadvisor.com/Attraction_Review-g298085-d5531576-Reviews-Lady_Buddha-Da_Nang.html,"Da Nang, Vietnam",attractions,4.0,4.5
You must see at night,"Very nice bridge, every satuday and sunday at 9pm is there fire show from dragon mounth. Recomend it see it",March 2017,Dragon Bridge,https://www.tripadvisor.com/Attraction_Review-g298085-d6612108-Reviews-Dragon_Bridge-Da_Nang.html,"Da Nang, Vietnam",attractions,5.0,4.0
Recomend,Delicious Italian pizza. Very kind staff who gave us many information about Danang. I can recomend.........,March 2017,L' Italiano Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d10210771-Reviews-L_Italiano_Restaurant-Da_Nang.html,"Da Nang, Vietnam",restaurants,5.0,4.5
