title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Outstanding!,"This was an amazing tour given by Ivo R-it was a pleasure to listen to his description of Dubrovnik and his story with GoT. The in-depth information provided with every backdrop on different parts of the tour were fascinating - even for those within our group with were not au fait with GoT! This is such a beautiful city and every corner turns into another wonderful visual display of the amazing architecture. Ivo made the whole tour come alive-he was just so informative.Ivo confirmed our tour the day before and where he would be, the driver was very friendly and helpful too. Excellent! Would highly recommend toursByLocals if you are wanting a very informative and friendly tour of this beautiful city.",October 2019,Dubrovnik - ToursByLocals,https://www.tripadvisor.com/Attraction_Review-g295371-d8078861-Reviews-Dubrovnik_ToursByLocals-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"Dubrovnik, Croatia",attractions,5.0,5.0
Would not trust them!,"We booked the fun tour for Mykonos and whilst on the cruise they cancelled with no explanation. Apparently the email was incorrect?! The only thing I can recommend is that the did refund the money paid.
It was frustrating to be left without a tour and with no way of organising anything else other than a cruise tour which we did not want.
anyway, would say Mykonos was so easy to get around just walking so would not waste money on a tour that can be cancelled last minute!",October 2019,e-TUK Mykonos Fun Tour,https://www.tripadvisor.com/AttractionProductReview-g189430-d17428099-E_TUK_Mykonos_Fun_Tour-Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",activities,1.0,3.0
Amazing!,Definitely get there early to avoid the queues and purchase an advance ticket for entry. The walk up and steps are not as horrendous as I had read previously - yes it was tough in parts but not too bad. they are undertaking a big renovation of the whole area so lots of scaffolding and works taking place but this is an ancient monument so you still get the feel for the place. It was just amazing - so pleased that at last I can say I have been to the Acropolis and walked those areas of such history.,October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Do not look elsewhere!,From the time of booking with several queries to the end of our tour of Athens we could not find fault with Private Greece Tours - an outstanding company! We were met at Piraeus Port by George in an immaculate limo. George is an amazing guide - so very knowledgeable and informative. the whole tour was so fascinating and enhanced by George's knowledge of history. We made the Acropolis before the crowds - as promised - and were one step ahead of most of the cruise ship tours due to George's indepth knowledge of Athens. We were really fortunate to see the changing of the Guards at the President's Palace - just brilliant. Nikos - Private Greece Tour's owner had recommended purchasing a Combined entry ticket prior to our trip - what a great suggestion - you beat the queues and see so many places for a good price! This tour covered a lot for us - and George still offered more. Usually on a tour you are left hanging around waiting for the 'agreed pick up time' - with George he gives you a telephone to call him and he is there within 5 mins to collect you and go on to the next area. We even had time to see the beaches of Athens. This company has to be number one if you are looking to book a tour in Athens - from a cruise ship or not. They have just been outstanding in their service. I have to say we were slightly anxious as no money had changed hands prior to the tour as to whether it would take place but should not have been concerned - I would recommend everyone to use Private Greece tours to get the best service and guides when in Athens.,October 2019,Private Greece Tours,https://www.tripadvisor.com/Attraction_Review-g189400-d1924860-Reviews-Private_Greece_Tours-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Lovely views,"Food was very good & plentiful, we had pasta & pizzas and they were very good, presented well and tasty. Helpful staff. Great location. Worth a trip.",June 2019,Restaurante La Muralla,https://www.tripadvisor.com/Restaurant_Review-g580270-d2191578-Reviews-Restaurante_La_Muralla-Mojacar_Province_of_Almeria_Andalucia.html,"Mojacar, Spain",restaurants,4.0,4.0
Lovely!,"The staff are lovely & helpful. Menu was varied with lots to choose from, found it hard to decide what to eat! Food presented really well and very good portion sizes. Really tasty! Will definitely be back as we didn't have space to try the desert menu!",June 2019,La Candela,https://www.tripadvisor.com/Restaurant_Review-g580270-d7910927-Reviews-La_Candela-Mojacar_Province_of_Almeria_Andalucia.html,"Mojacar, Spain",restaurants,5.0,4.5
Great Find,"What a lovely quaint place to stay right in the heart of the village. Jose makes you feel so welcome and is very hospitable, great host! Rooms are adequate, very clean, air con, small balcony but some have larger terraces, tv and private bathrooms. The painting around the doors is in keeping with Mojacars hanging baskets, lovely. Excellent value for money and right in the heart to walk around the village and visit the wonderful restaurants around. Will be back!",June 2019,Arco Plaza,https://www.tripadvisor.com/Hotel_Review-g580270-d1420219-Reviews-Arco_Plaza-Mojacar_Province_of_Almeria_Andalucia.html,"Mojacar, Spain",hotels,5.0,4.5
Stunning!,"Had a very relaxing holiday in one of the water villas and highly recommend the Oblu Select. The island is small and easy to walk around, although as previously mentioned, not all soft sand in places. All the villas are well screened and private and having a deck with sun beds & steps leading down to the reef for snorkelling was a real plus. Loved watching the sunrise and all sorts of fish - including sharks and sting rays seem to swim around a lot at that time. Loved the variety of fish we could watch without even getting wet but once you start to snorkel it's difficult to stop - like watching a film show with so many different colours and types of fish along the reef - loved it! The current was very strong at our time of year so you had to pick times for snorkelling - lots wore life jackets but we didn't find these comfortable for swimming. The adult pool area was very pleasant and whenever we went we could get a bed with umbrella. Downside here was the pool - great once you are in but the steps are quite steep and the topstep made you feel that you are going to slip in, although never happened to us or anyone else we saw, just made us all cautious. Great place for drinks at sunset too. Went to the rock bar for a sunset and that was very pleasant but a smaller area with more people, same views. Loved how the courtyard is split into 5 different dining areas, gave you the feeling of being in a more select restaurant. The buffet had a good selection at all times and the staff were really friendly and helpful. The Grill was a superb restaurant- loved the steak here and service outstanding - so much so we decided to pay on our last night for another excellent meal. The Simply Veg was very good the second time we visited but hit and miss the first, although the service was very good. We used the dive centre for a swimming with the turtles trip which was very well organised and great fun. Absolutely loved seeing the turtles and other fish. Really helpful, friendly staff at the centre. Did the sunset fishing - mostly enjoyed that but not how long some people took to take pictures so that they had to throw a couple of dead fish back and we arrived back before the sunset! The Serenity package worked well and we were able to get everything we wanted. Sangs bar is very pleasant place to spend an evening after dinner. Things that need looking at would be the jetty from the reception to the island - not a pretty site and quite dirty looking water at times but not sure how you can hide pipes etc. Reception staff did not follow up on a few requests which was frustrating. They just wrote your room number down but not what you had requested so guess it was forgotten. We asked about a dinner which was advertised on the 'next day'' programme and told - there was no charge for it but it was fully booked - asked to go on waiting list then told it was cancelled due to not enough couples and the cost was $300 per couple! Confusing! The boat transfer could do with more air..very stifling and diesel smelling. Anyway these little things did not detract from what was a wonderful holiday we would go back. Loved the island, rooms and all the staff - too many to mention individually. The beds were so comfy - best ever in a hotel! Rooms provided tea/coffee, plenty of water, mini bar refreshed every day, rain jackets, umbrellas, dressing gowns, slippers, toiletries, torch and a beach bag. Water villas looking out to sea - absolute bliss! Paradise.",March 2019,OBLU SELECT at Sangeli,https://www.tripadvisor.com/Hotel_Review-g16705680-d13558132-Reviews-OBLU_SELECT_at_Sangeli-Sangeli_Island.html,Sangeli Island,hotels,5.0,5.0
Great find!,"Read reviews on trip advisor so decided to try it out with friends. very welcoming, staff really helpful & friendly. Although the restaurant is on the small size it delivers fantastic tasty food. A really impressive menu with choices for everyone. Would say that the size of the starters two could share easily as the main meals are large too. Most come with a salad which was lovely and fresh. Really interesting flavours. Meat cooked to perfection. We were all too full to try a dessert but they had a good choice. Very busy for a week night too which must be a good sign. Can't wait to go back!",March 2019,Turkish Kitchinn,https://www.tripadvisor.com/Restaurant_Review-g1898519-d12510142-Reviews-Turkish_Kitchinn-Hockley_Essex_England.html,"Hockley, United Kingdom",restaurants,5.0,5.0
Not to be missed!,"Decided to take advantage of the Steak Night deal at Mariposa and it was excellent! Love the quirky rooms here and they are very well equipped with tea & coffee, fridge, safe, plenty of pillows and extra blankets available. We stayed in the Hat Room on the ground floor. Very well heated and quiet. When we arrived we were made very welcome by Tom and family and they looked after us exceptionally well. The food was lovely and the steaks were all cooked to the individuals request. Cozy in the restaurant with log fire too. Would recommend taking advantage of this and the other offers at the Mariposa. It's a great location in the mountains and the activities supplied are very good. Great hospitality.",November 2018,Hospederia la Mariposa,https://www.tripadvisor.com/Hotel_Review-g1187843-d584570-Reviews-Hospederia_la_Mariposa-Gebas.html,"Gebas, Spain",hotels,4.0,4.5
