title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Nothing much to see,We went to the Butterfly Park which is located within the same area to Poring Hot Spring. It was just a small area and nothing much to see. It looks like it is not well maintained. Not many butterflies can be found. Even if you don’t visit the place you will not lose much. We didn’t spend much time here.,September 2020,Poring Hot Spring and Nature Reserve,https://www.tripadvisor.com/Attraction_Review-g3539442-d2249325-Reviews-Poring_Hot_Spring_and_Nature_Reserve-Poring_Ranau_Sabah.html,"Poring, Malaysia",attractions,3.0,3.5
Nice and simple hotel,"Room is simply furnished. It’s clean. Comfortable bed. Check-in was fast. There is coffee and tea making facilities, a hair dryer. The room does not have a good soundproof. You can hear small kids in the other room making noises. There is also a convenient shop nearby. It’s cold at night. Our room facing Mount Kinabalu offers beautiful view. You can sit at the verandah, sipping the Tenom coffee and watch the Mount Kinabalu. It’s a simple hotel but a comfortable one.",September 2020,Kinabalu Pine Resort,https://www.tripadvisor.com/Hotel_Review-g3845613-d659703-Reviews-Kinabalu_Pine_Resort-Kundasang_Ranau_Sabah.html,"Kundasang, Malaysia",hotels,3.0,4.0
Good Experience,We had to walk about 550m before we reached the first canopy walk station. It was quite a challenge to climb up the trail especially for some of us who have knee problem. The canopy walk was a good experience for us to overcome our fear of heights. There were 5 parts of the canopy walk with different length. The last walk was the longest. The view was amazing with many tall trees.,September 2020,Poring Treetop Canopy Walk,https://www.tripadvisor.com/Attraction_Review-g298307-d3207861-Reviews-Poring_Treetop_Canopy_Walk-Kota_Kinabalu_Kota_Kinabalu_District_West_Coast_Divisi.html,"Kota Kinabalu, Malaysia",attractions,5.0,4.0
Natural Beauty,"Cool, calm, peaceful, serene and beautiful experience going through this national park. The sound of small insects and the river flowing is like music to our ears. There were many types of plants in the park. Our guide, Luq from Amazing Borneo is very knowledgeable explaining the many types of plants we saw. It was a very good experience for us since we learn new things about mother nature.",September 2020,Kinabalu Park,https://www.tripadvisor.com/Attraction_Review-g298306-d320273-Reviews-Kinabalu_Park-Sabah.html,"Sabah, Malaysia",attractions,5.0,4.0
Disappointed with Manager of the Day on 18/9/20,"We checked in twice at this hotel. During our first time checked in, we were given a nice & good smelling room. It was room 910 located on the 9th floor. Room was beautiful, carpeted & clean. We checked out the next day since we put a night at a hotel in Kundasang. Upon return from Kundasang, we checked in again at Hyatt. This time we were given room 1018 on the 10th floor. We were disappointed with the room given to us since it was smaller than our earlier room despite the same price paid, smell bad (old wood), looks rundown with no carpet. We complained to the reception and asked for a room change. The manager in charge of the day promised to call us once he identified a room for us. We patiently waited for his call for almost 45 minutes but he did not call us. Hence, we decided to call the reception to ask the status of our request. From his voice, it was clear that he could have forgotten about our request. We were really disappointed with the service of the manager. We were later given another room ie room 1112. This time the room was almost similar to our room 910 but without carpet. You can expect many different layout/design of room in Hyatt. Apart from the room design, the room is clean, have all the necessary facilities required like iron, hairdryer, bathrobe, slipper, safe box, fridge, tv, coffee tea making facilities. Staff at the dining area offered excellent service. Just don’t ask for room 1018.",September 2020,Hyatt Regency Kinabalu,https://www.tripadvisor.com/Hotel_Review-g298307-d305925-Reviews-Hyatt_Regency_Kinabalu-Kota_Kinabalu_Kota_Kinabalu_District_West_Coast_Division_Sabah.html,"Kota Kinabalu, Malaysia",hotels,4.0,4.0
Many Species of Flowers,"Enjoyed coming to this place. There were many types of flowers to look at. They are all beautiful. You can also buy flowers, fertilizers, souvenirs from the shop.",July 2020,Cameron highland orchid and rose garden,https://www.tripadvisor.com/Attraction_Review-g298293-d12726027-Reviews-Cameron_highland_orchid_and_rose_garden-Brinchang_Cameron_Highlands_Pahang.html,"Brinchang, Malaysia",attractions,4.0,4.5
Excellent Service!!!,"We booked few tours from this company. We booked the 2D1N tour to Kinabalu Park and Canopy Walk and Snorkeling from the boat. Our tour guide Luq was very kind and understanding. She made our tours a memorable one. She always make sure that we are comfortable and follow our own pace. The climb to the canopy walk was a challenge to most of us since we have problems with our knee and feet. There were times we almost gave up from climbing the trail to the canopy walk, but Luq was always giving us words of encouragement. She would wait and make sure that everyone reached the other side of the canopy walk safely. We were lucky to have Luq as our tourguide. Our driver Eddie was also very careful when driving ensuring our safety. He didn’t rush to reach the respective destinations. We felt comfortable and safe with his driving. I strongly recommend to use the service of Amazing Borneo Tours if you want to have a memorable holiday in Sabah. They have excellent tour guide and staff. Customer satisfaction is their priority. We will definitely use their service again if we were to come to Sabah for our holiday. Bravo Amazing Borneo Tours!",September 2020,Amazing Borneo Tours,https://www.tripadvisor.com/Attraction_Review-g298307-d2043076-Reviews-Amazing_Borneo_Tours-Kota_Kinabalu_Kota_Kinabalu_District_West_Coast_Division_Sab.html,"Kota Kinabalu, Malaysia",attractions,5.0,5.0
Fresh seafood and price is cheap,"We had our dinner here on our first night in Kota Kinabalu. Food was nice, fresh and cheap. Service was quite fast. They gave us discount since we ordered many food from them. Highly recommend for seafood lovers to eat here.",September 2020,De' Glams Seafood Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298307-d17676849-Reviews-De_Glams_Seafood_Restaurant-Kota_Kinabalu_Kota_Kinabalu_District_West_Coast_Divi.html,"Kota Kinabalu, Malaysia",restaurants,4.0,4.5
Nice capati & tasty fish head curry,"I love to come here for it’s capati, fish curry and Teh C drink. Every time we come to Ipoh, we would stop at this restaurant for it’s capati and fish curry. The capati is soft and taste really nice. Eat it with the fish head curry which is so tasty. Yummy....",July 2020,Restoran M Salim,https://www.tripadvisor.com/Restaurant_Review-g298298-d1161449-Reviews-Restoran_M_Salim-Ipoh_Kinta_District_Perak.html,"Ipoh, Malaysia",restaurants,5.0,4.0
"Excellent Service, Courteous Staff and Beautiful Hotel","We stayed here again because of it’s excellent service. Check-in was fast, staff are friendly, courteous and helpful. The hotel is well maintained. Room is very comfortable, cozy and beautiful. View from the room is also beautiful, facing the golf course. It’s located very near to the main road, so it’s expected to be noisy. Pillows and bed are comfortable, room is clean when we checked in. They really looked at every detail to make our stay comfortable. There’s even room freshener in the room. Room is spacious. The breakfast served is delicious. I love the basket of pastries especially it’s croissants. Crispy and buttery. We’ll definitely stay in this hotel if we were to come to Cameron again.",July 2020,Cameron Highlands Resort,https://www.tripadvisor.com/Hotel_Review-g1497917-d610856-Reviews-Cameron_Highlands_Resort-Tanah_Rata_Cameron_Highlands_Pahang.html,"Tanah Rata, Malaysia",hotels,5.0,4.5
Beautiful Boutique Hotel,"It’s our 2nd time stay at this hotel. Clean, cozy and comfortable hotel. Located in city center but not noisy. Check-in was fast and required deposit. Room facilities were good ie coffee tea making facilities, hair dryer, safe box, fridge, tv, were provided. Opposite the hotel about 5 minutes walk is Salim Restaurant which serves mamak food. We love the chapati and fish curry of this restaurant. The chapati and fish curry tastes really good. We will definitely stay here again if we come to Ipoh. Besides staying at a nice hotel, we also get to eat our favorite chapati and fish curry at Salim Restaurant.",July 2020,"Bedrock Hotel, Ipoh",https://www.tripadvisor.com/Hotel_Review-g298298-d12291206-Reviews-Bedrock_Hotel_Ipoh-Ipoh_Kinta_District_Perak.html,"Ipoh, Malaysia",hotels,5.0,5.0
Tasty food at a good price,"The restaurant is located at Halal Street, Hilal Town area. It’s right next to the mosque and close to the night bazaar market. The restaurant serves Indian, Pakistani, Arab and Thai food. We ordered garlic naan, shish tawook, egg curry, chicken biryani and “Teh Tarik”. Food was tasty, price was reasonable. There’s also wifi at the restaurant. It was just a small shop but clean. We would certainly recommend this restaurant if you are looking for tasty Indian and Pakistani food.",February 2020,Peshawar Restaurant,https://www.tripadvisor.com/Restaurant_Review-g293917-d9457780-Reviews-Peshawar_Restaurant-Chiang_Mai.html,"Chiang Mai, Thailand",restaurants,4.0,4.5
Half day Chiang Mai city tour by tuk tuk,"The half day Chiang Mai city tour by tuk tuk is a good way of getting to know Chiang Mai. We took the morning tour. The old city of Chiang Mai wasn’t that big, so a half day tour would be sufficient to cover some places of interest. Our tour guide arrived early at the hotel. First stop was the silver temple. Built by the silversmith living in the village. It’s beautiful. We went to few small temples before we stopped at the market. Nothing interesting to look at in the market since most of the vegetables or fruits sold in the market were the same like what we have in our country. Our tour guide showed us the way to the night market. It’s not that far from our hotel ie within walking distance. Generally, the tour was good, our tour guide was knowledgeable. The whole tour took about 3 hours before we were dropped back at our hotel.",February 2020,Chiang Mai City Tour,https://www.tripadvisor.com/Attraction_Review-g293917-d12674475-Reviews-Chiang_Mai_City_Tour-Chiang_Mai.html,"Chiang Mai, Thailand",attractions,5.0,5.0
Khum Khantoke Dinner and Show,"Attended the Khum Khantoke dinner which is something like a welcome dinner. We were entertained with shows which featured the Lanna culture whilst having our dinner. There were 2 parts of the show, inside the dining room and in an open area. Generally the show was okay nothing spectacular. I can’t comment on the food since I didn’t taste most of the dish. However, I believe the food must be nice since I saw most of the diners really enjoyed their food.",February 2020,Old Chiangmai Cultural Center- Khantoke Dinner,https://www.tripadvisor.com/Restaurant_Review-g293917-d3162111-Reviews-Old_Chiangmai_Cultural_Center_Khantoke_Dinner-Chiang_Mai.html,"Chiang Mai, Thailand",restaurants,3.0,4.0
Beautiful hotel. Good ambience,"Check-in was easy and fast. Staff were friendly, courteous and helpful. Hotel was about 15 minutes from the airport. Room was spacious, clean and has all the basic needs like coffee & tea maker, hairdryer, safe box, fridge, tv, slipper & bathrobe. It also provides body & face towel. Iron & iron board is based on request. Bathroom comes with shower and round bathtub. Air-cond works well. The only thing I don’t like about the room is it’s bed and pillow. The bed is a little hard, whilst the pillow was not comfortable. I had neck pain the following day. The breakfast was good. It has quite a good selection of food. There are also some local dish. The hotel has good ambience. In the evening, the staff will burn the mosquito coil. There are many restaurants and cafes nearby. There are no halal restaurants near the hotel. Most of the halal restaurants are located near the night market area. Opposite the hotel is a 7-eleven shop. Just a few steps away is a laundry shop. It’s also not far from the night market. If you are lazy to walk, you can take the tuk-tuk which cost about THB80 after bargain. Otherwise, they will ask for THB100. However, from the night market to the hotel, they usually ask for THB100, and it’s non-negotiable. If you are looking for a quiet, peaceful with good ambience hotel, this is the place to be.",February 2020,Bodhi Serene Hotel,https://www.tripadvisor.com/Hotel_Review-g293917-d777150-Reviews-Bodhi_Serene_Hotel-Chiang_Mai.html,"Chiang Mai, Thailand",hotels,5.0,4.5
Amazing Place to Be,"There are 2 parts of the Garden, namely Flower Dome and Cloud Forest. There were many different species of plants from different continents to see. The place was beautiful and clean. The man made waterfall was amazing. It’s recommended to visit this place if you enjoy looking at plants and flowers.",December 2019,Gardens by the Bay,https://www.tripadvisor.com/Attraction_Review-g294265-d2149128-Reviews-Gardens_by_the_Bay-Singapore.html,"Singapore, Singapore",attractions,4.0,4.5
It’s our favorite restaurant,"It’s our favorite restaurant and we always come here every time we visit Singapore. They serve good food and the service was fast. The restaurant is always full with customers. Our favorite dishes are Beef Murtabak, Chicken and Mutton Biryani. The food is really tasty. It’s recommended to eat here if you love Indian food.",December 2019,Zam Zam Restaurant,https://www.tripadvisor.com/Restaurant_Review-g294265-d19071090-Reviews-Zam_Zam_Restaurant-Singapore.html,"Singapore, Singapore",restaurants,4.0,4.5
Enjoyable Cruise,We really enjoyed our river cruise. The scenery of Singapore city along the river is beautiful. We took the cruise at night. Weather was nice and cool.,December 2019,Singapore River Cruise,https://www.tripadvisor.com/Attraction_Review-g294265-d6692280-Reviews-Singapore_River_Cruise-Singapore.html,"Singapore, Singapore",attractions,4.0,4.0
Convenient location,"Checked in was fast, staff were friendly. Room size was reasonably big for 2 persons. However, the bathroom size was small. Bathroom floor got very wet, when taking the shower. Between the shower and sink area it was only separated by a shower curtain. The hotel provided with only body towel and no face and hand towel were provided despite it being a 4 star hotel as stated by Agoda. There were 2 pillows provided for each occupants, 1 is hard & the other is soft, both were not comfortable to sleep on. Basic necessities were provided in the room like coffee tea making facilities, iron & ironing board, safe box. Wifi was very good. Centrally located in Malacca city. Located opposite of Dataran Pahlawan Melaka Megamall. There are many eating shops near the hotel. Most places of interest are within walking distance. If you want to buy local products, they can easily be found in Dataran Pahlawan or at Pahlawan Walk which is about 500m from the hotel. There is a parking space behind the hotel. One disadvantage is that the elevators were very slow and small.",December 2019,Imperial Heritage Melaka,https://www.tripadvisor.com/Hotel_Review-g306997-d7813085-Reviews-Imperial_Heritage_Melaka-Melaka_Central_Melaka_District_Melaka_State.html,"Melaka, Malaysia",hotels,4.0,3.5
Good experience,"Booked a private mangrove tour. It was a 2 hour tour. We boarded our boat at the Tanjung Rhu jetty. Along the river, we stopped at few places. We stopped at the eagle area to watch the eagles. Next, we stopped to look at some monkeys. Be careful with your belongings as some of the monkeys can be quite aggressive. One of the monkeys got into our boat and took away my daughter’s bottle of water. The view along the river is beautiful. We also stopped at the crocodile cave, bat cave and fish farm. Be careful when walking inside the bat cave. Some areas the ceiling is really low and you need to crawl or bend down to go to the other side. We did not enter another bat cave since it was close for renovation. We stopped at the fish farm to look at how some fish are reared and had our lunch there. There were boys who gave some information about the fish reared at the farm. It was informative and interesting. The food served was delicious and tasty. Fish tasted really fresh. After lunch, we headed back to the shore. We went back through Andaman Sea. Wow... the view is really beautiful. Highly recommended to go for the mangrove tour if you come to Langkawi Island.",December 2019,Langkawi Mangrove Tour - Day Tours,https://www.tripadvisor.com/Attraction_Review-g298283-d5566298-Reviews-Langkawi_Mangrove_Tour_Day_Tours-Langkawi_Langkawi_District_Kedah.html,"Langkawi, Malaysia",attractions,4.0,4.5
It’s our favorite restaurant,"It’s our favorite restaurant every time we come to Langkawi. Food is delicious and the seafood is fresh. Our favorite dish is the Kerapu Tiga Rasa or Garoupa in 3 Flavors which tasted hot, sweet and sour. The person who attended to our orders is friendly. However, the service was quite slow though the number of customers at the time were not many since we came early for dinner. Recommended to eat at this restaurant if you want delicious, tasty and fresh seafood.",December 2019,Restoran Haji Ramli,https://www.tripadvisor.com/Restaurant_Review-g1096282-d2667664-Reviews-Restoran_Haji_Ramli-Pantai_Cenang_Langkawi_Langkawi_District_Kedah.html,"Langkawi, Malaysia",restaurants,4.0,3.5
