title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Gods earth !!,"Stunning Acropolis and amazing views , you feel like been transported to the past and remember where the History had started . Break taking views and worthy to have a picture to remember .",February 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Acropolis by night ***,Lovely views from Athens by night Exciting just got there and then it was a magnificent experience I went alone but the staff was very nice and friendly . Expensive drinks but my Mojito was the best in a cold night . I wasn’t there long but definitely worth the views and nice friendly atmosphere . Worth the pennies .,February 2020,360 Degrees,https://www.tripadvisor.com/Restaurant_Review-g189400-d3694462-Reviews-360_Degrees-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.0
Nice Green Rooftops xxx,"Lovely views from Acropolis .I had a nice lunch with friends but a bit disappointed from services we wait for more than 20 minutes to take order , another 20 minutes for coffee and another 20 minutes for billing Nevertheless we had lovely food and to at the top to see Athens was well worth it Definitely comeback .",February 2020,Misafir,https://www.tripadvisor.com/Restaurant_Review-g189400-d13162067-Reviews-Misafir-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.0
Awesome night ***,I’ve been last weekend and had an amazing night Cuban Salsa Calipso Bachata good atmosphere girls are good serving and good entertainment at Gazi nice area in Athens . prices reasonable but worth decor very good remained me at Little nan “ .Good location other bars and restaurants around .,February 2020,Dos Gardenias,https://www.tripadvisor.com/Restaurant_Review-g189400-d14181569-Reviews-Dos_Gardenias-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.0
Nice trip to TURKEY,"We had a enjoyable flight ..lots of room for our legs even if we didn't paid for that..staff were very friendly and helpful.
we had a lovely flight to Turkey which 4 long hours ..but we had a pleasant flight and lots of information .I was a bit anxious about this airline bcz I never used before but I was pleased and I will book again. easy to book and easy to print boarding passes.",June 2019,Jet2.com,https://www.tripadvisor.com/Airline_Review-d8729098-Reviews-Jet2com,World,flights,4.0,4.5
poor hotel needs improvement,"We spend 2 nights in Havana ..this room waz old shower and rusty ..air conditioner broken
.we had to leave the wimdows open to get the breeze from the sea ..dinner 35 cub expensive
.also taxis ..we got a guy taking us everywhere we negotiste with him a deal .taxis very expensive ..area quiet near to bars and restaurants .Staff nice and helpful.",October 2018,Habana Panorama,https://www.tripadvisor.com/Hotel_Review-g147271-d249800-Reviews-Habana_Panorama-Havana_Ciudad_de_la_Habana_Province_Cuba.html,Cuba,hotels,3.0,3.5
Relaxing weekend,We been before to Camber Sands but never overstayed ..weather was beautiful and food lovely ..We loved because you can walk miles to a nice sandy beach and you just heard the waves crushing to the rocks at the same time crying child or boys just laughing or playing .Is a family point but it does get crowded in high season ..cughe for ice creams and burguers .toilets and parking can be hassle but overall we had a nice weekend . But there is room for everyone also you can do surfing.We had food at Wetgerspoon cheap food and drinks ..also at the caravans bar & restaurant .but food not so great and expensive .Good service .nice night entertaiment and games machines.,August 2018,Camber Sands,https://www.tripadvisor.com/Attraction_Review-g1752567-d2248776-Reviews-Camber_Sands-Camber_Rye_East_Sussex_England.html,"Camber, United Kingdom",attractions,4.0,4.5
Sands down &Riviera & promenade magical,"Beautiful place peaceful; tranquillity and nice for family's; if you want to hear the band sounding while you roasting in the sun,this is the place to visit ..it wasn't crowded at all but it was a pleasant day to stay .Nice fish and chips too. But variety of street food and restaurants all type ..Not much fun for the little ones but that made this seaside special and more QUIET. if you want have a walk to the beach or kayak . Unfortunately no sand just pebbles so better bring a small chair or strong mat so you can lie down .Overall nice weather and memorable time .",May 2018,Eastbourne Pier,https://www.tripadvisor.com/Attraction_Review-g190722-d2643068-Reviews-Eastbourne_Pier-Eastbourne_East_Sussex_England.html,"Eastbourne, United Kingdom",attractions,4.0,4.0
Nice candy shop,Nice experience .friendly staff and awesome ice cream ..i had always the strawberry waffle with ice cream ..delicious !! My daughter enjoyed the place too ..she had her birthday there a couple of times .sometimes can get very packed especially weekends .prices reasonables for the amount of ice cream and service .definetely going back now and then .,April 2018,Kaspa's,https://www.tripadvisor.com/Restaurant_Review-g186338-d12580883-Reviews-Kaspa_s-London_England.html,"London, United Kingdom",restaurants,4.0,3.0
"""Excellent location ""","Hotel was nice . Rooms clean and tidy every day , Breakfast was very good. The bar completely dead. Very good location with transports and places to visit like the TV TOWER. But I found the staff very arrogant and not helpful at all despite they speak perfectly English . I was out all day and my phone battery run out and I need it to made a phone call and I ask the receptionist if I could just charge my phone for few minutes because it was urgent and he replied no,, so then he changed his mind and offered the hotel phone but I said I need to check the number etc. at the end he did it but he wasn't happy . I found this hotel with a bunch of rude kids in reception. Apart from this incident was pleasant to stay . But I wouldn't come back again.",January 2016,H4 Hotel Berlin Alexanderplatz,https://www.tripadvisor.com/Hotel_Review-g187323-d1857196-Reviews-H4_Hotel_Berlin_Alexanderplatz-Berlin.html,"Berlin, Germany",hotels,3.0,4.0
