title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Overpriced and half hearted lazy service,"Ate at this restaurant and was pretty disappointed . Wanted to sit inside as we visited in December but the old waitstaff said that there was no seat indoors even though the seats were half empty inside. These seats remained empty for the over 1.5hours we were there . I think he reserved seats for his favorite customers .

We were plonked on a table meant for 4 people but he kept insisting that 5 people could fit in. After finally showing him that it is not possible, he merely said ‘sorry, don’t understand ‘ . That was going to be his favorite phrase the whole evening . After we were squashed on an obviously small table for 4, he passed the menu to us. We ordered our food and later as we asked to remove one order, he resorted to his famous phase ‘sorry don’t understand’ . As we ate the food, we noticed that customers around us were receiving complimentary plates of desserts such as Blakava . We struggled to finish our food and as the helpings were too large, we asked for the food to be packed so that we can give the food to the needy. The old guy grumbled and gave us aluminum foils instead to bring back the food. When we asked for the bill, the guy was insistent that we must tip him. I asked to lay by credit card and he said, ‘sorry, don’t understand ‘ and later card machine not working and insisted on cash .

For a restaurant that caters to Rick steves readers, it amuses me that he doesn’t understand English nor that there is no credit card machine and very ungreek to ask for a tip. I think Rick Steve’s book has spoilt this restaurant and the owner is getting a little big headed. Not an authentic Greek food and we all agreed that this was the must unpleasant and overrated restaurant we have eaten in our stay in Greece. Dont bother to eat, there are better restaurants nearby who treats customers in a respectable manner .",December 2019,Geros Tou Moria,https://www.tripadvisor.com/Restaurant_Review-g189400-d1840495-Reviews-Geros_Tou_Moria-Athens_Attica.html,"Athens, Greece",restaurants,1.0,4.0
Great place to eat where locals eat at wallet friendly prices,"Spent €3 per person eating slouvaki at a table in the middle of Athens without burning your wallet. The food here was great that we ended up eating here twice in 2 days . We tried the variety of food and it was cheap and good . We ordered the slouvaki as well as the kebabs and they were delicious together with the white dipping sauce which you eat with French fries . For 5 of us, the bill came to about €30 for a very filling meal. The helping ate huge though .

Service ya efficient and food cones very fast - it gas to as it is always pretty crowded with locals . Good place to eat Greek food .",December 2019,O Thanasis,https://www.tripadvisor.com/Restaurant_Review-g189400-d929471-Reviews-O_Thanasis-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
Nice place to wander around in the evenings,"Very peaceful side lanes, steps and atmospheric restaurants and shops lining this area . Adjacent to it is the Agora area and Acropolis area. Walking up the holly slopes and the touristy shops is part of the Greek experience you only get from this country. Worth going at least once when in Athens. Streets are relatively peaceful and safe compared to other parts of Athens .",December 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Nice place to eat Greek food.,"Nice place to eat Greek food. We had the usual suspects - Greek Salad, Mousaka , Mutton with pasta, Steamed fish, Blakava, another type of dessert related to Blakava, Greek beer and Greek coffee. Food tasted and looked exactly like Turkish food, but don’t tell that to the Greeks. Fish was rather bony and with the poor lighting ended up eating some bones .

Service was helpful in providing with suggestions. The helpings were relatively large and the 5 of us shared 4 dishes which was more than enough. Paid about €50 for the meal including tips. Nice place to eat at the Plaka area.",December 2019,Klepsidra Cafe,https://www.tripadvisor.com/Restaurant_Review-g189400-d3293192-Reviews-Klepsidra_Cafe-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.5
Good to visit to know more about Corinth,"Like all old sites in Greece, there is the old sites with all the ruins lying where they laid and nearby will be the museums where the artifacts are stored and displayed to protect them from the elements . The old sites as well as the beta where St Paul was tried by the Roman’s still stand. Temple of Apollo still in ruins but a display of what Corinth looked like in the past was very useful to visualize the magnificence of this place. Worth a visit if you are not templed out after 3 days.",December 2019,Ancient Corinth (Archaia Korinthos),https://www.tripadvisor.com/Attraction_Review-g189484-d243253-Reviews-Ancient_Corinth_Archaia_Korinthos-Corinth_Corinthia_Region_Peloponnese.html,"Corinth, Greece",attractions,4.0,4.5
Actually not much to see today,Looks nice on postcards but is worth perhaps 10 minutes of your time to snap this ancient feat of engineering . Good to visit enroute to other sites and a quick toilet break .,December 2019,Corinth Canal,https://www.tripadvisor.com/Attraction_Review-g1188932-d2454053-Reviews-Corinth_Canal-Isthmia_Loutraki_Corinthia_Region_Peloponnese.html,"Isthmia, Greece",attractions,3.0,4.5
Great visit to see the Corinthian city as well as the Bema,"Wanted to visit this city for 2 reasons- St Paul’s visit to the Corinthian and his famous letter of love written for the early Christian population in this city . Managed to see that. Another reason was that the Corinthian were a middle power in Ancient Greece compared to the superpower status of Athens and Sparta and we wanted to see what their city looked like in the past .

Place was pretty deserted as we visited it during winter which made it even more atmospheric. Entrance fee was €4 for non EU people . Enjoyed the serenity of the place and the 1€ Canned drinks from the vending machines . Good for a 1.5 hour visit including the attached museum.",December 2019,Archaeological Museum of Corinth,https://www.tripadvisor.com/Attraction_Review-g189484-d243255-Reviews-Archaeological_Museum_of_Corinth-Corinth_Corinthia_Region_Peloponnese.html,"Corinth, Greece",attractions,4.0,4.5
Great experience eating Greek food,"Great experience eating Greek food at this restaurant. Small non descript restaurant near the main pedestrian street that is visited by locals.

Tried the Greek salad, fish balls , cod fish and the quinoa . We had 4 dishes and it filled the 5 of us up completely . Food was delicious and the staff was very helpful who went out of their way to help us . Meal came to about €42 for the 5 of us including drinks. Good place to visit.",December 2019,Zisis - Fish in the Cone,https://www.tripadvisor.com/Restaurant_Review-g189400-d12692056-Reviews-Zisis_Fish_in_the_Cone-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
Expected for centrally located 3 star hotel for €75 a night,"Gave 5 stars by virtue of the fact that this hotel is centrally located 3 star hotel that can accommodate a triple room and cost about €85 for the triple and €75 for a double with breakfast included.

The very positive points:
1) very helpful staff who would go out of their way to help you to know more about Athens and who try to accede to your request.
2) centrally located hotel within 10-12 minutes walk of all that is significant in Athens . Think of the hotel as the Centre of a rectangle with the Agora, Acropolis, Temple of Olympian Zeus and Sygtama Square as corners of the rectangle . Very walkable area.
3) Good filling breakfast and polite and proactive staff . These alone meet the excellent ratings .
4) Safe area in Athens

The points below are suggestions for improvements. For a good price I got, I am not complaining about the hotel as it is not a 5 star hotel.
1) poor sound proofing of windows so you hear the sound of the city, garbage trucks and loud Greeks in the middle of the night.
2) Lighting is too dim so difficult to read at night
3) Shower tray always leak out water as the rubber tubing have worn away resulting in Wet bathrooms after every bath.

Will still stay here if looking for a budget family hotel.",December 2019,Plaka Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d197721-Reviews-Plaka_Hotel-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.5
Don’t bother 8€ admission fees,"After you have visited the Acropolis €10, Ancient Agora €5 and Acropolis Museum €5 for Non EU residents and during winter period, the €8 admission fee to see a Roman temple ruin is simply ridiculous and won’t understand why people would want to pay that amount of money to visit. Moreover, you need not go inside to see the site as you can merely go near the fenced up area near the entrance after the traffic lights and take a few pictures from there to see the site. Frankly way overpriced for such little to see . Don’t bother . Just take photos from outside .",December 2019,Temple of Olympian Zeus,https://www.tripadvisor.com/Attraction_Review-g189400-d242844-Reviews-Temple_of_Olympian_Zeus-Athens_Attica.html,"Athens, Greece",attractions,1.0,4.0
Great place to visit for an hour,"Decent entrance fee of €5 per person from non EU country . Layout of the place is great with pictures and illustrations highlighting what the place looked like before it was turned into ruins. We enjoyed the visit to the Ancient Agora museum and the special temple to graze at the majesty of this place . In truth, the Agora looks very similar to the Ronan Forum in Rome in terms of similarity of design and size . The site has a good toilet and water fountain as . Remember to visit the temple on the hill to appreciate the layout of the area. It is an 10 minute uphill walk to the Acropolis from here .",December 2019,Ancient Agora of Athens,https://www.tripadvisor.com/Attraction_Review-g189400-d198709-Reviews-Ancient_Agora_of_Athens-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Cute church that encapsulates Byzantine type of church,"Great small church to visit to see a typical Byzantine church with its distinct layout and architecture. May not be the biggest church but the small atmospheric church creates a sense of calmness in the middle of this very busy pedestrian street .

Drop by for a few minutes and appreciate it. Entrance is free but be respectful.",December 2019,Church of Kapnikaréa,https://www.tripadvisor.com/Attraction_Review-g189400-d3569017-Reviews-Church_of_Kapnikarea-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Poorly restored building with a modern crane inside it?,"This is supposed to be the symbol of Athens but the manner in which the authorities are restoring it is such an eyesore and sad. A historical building with a modern crane nestled in the interior of the pathenon is such an insult- imagine a crane inside the Abraham Lincoln memorial in Washington DCir or the Taj Mahal building in Agra.

I expect the authorities to take better care of these sites but I guess it explains why the Acropolis is not listed as a site of one of the new 7 wonders of the world. They could have done a better job restoring it",December 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,2.0,4.5
