title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Plaka area Athens,"The Plaka is an area that you meet when you get down from the Acropolice. Is is a very old sector of Athens, very alive, full of people, groups of players (guitars and such) walk around you. A lot of stores that sell things to tourists and locals. An interesting place- BUT WATCH OUT FOR THIEVES!!!! THERE ARE LOTS OF THE AND THEY ARE REAL PROFESSIONALS!!!! if your head is not connected to your body- they will steal that too....",November 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
A big must in Athens,"It is a place to be at sundown. the whole city is lit up, and the Acropolice is quite a view.
If you are not in a very good shape, Don't try to get to the train by stairs. Even the part to the beginning of the train is too much. Take a taxi. it cost very little. We paid 4 euros on the way down.",November 2019,Mount Lycabettus,https://www.tripadvisor.com/Attraction_Review-g189400-d245989-Reviews-Mount_Lycabettus-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
A must in Athens,"We bought tickets ahead on the internet and saved a lot of time. The climb is a little tiring, but worth every effort. The ruins are a facinating view into the past. Do not miss it.",November 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Great!,"The location is very good, near the train station and very close to the metro. Quite rooms and very comfortable, good prices, very attentive staff. The last day we left at 5AM and the staff got us packed breakfast to take with us.",November 2019,Athens Iris Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d17453705-Reviews-Athens_Iris_Hotel-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.0
Cruise and dinner on Danube river,"We took a cruise on the Danube river in the evening, with Dinner on board. A special experience that we enjoyed very much. We bought the tickets online before we arrived in Budapest and enjoyed an evening with live music, good local food and a nice tour of the city from the Danube.",August 2019,Budapest Danube River Evening Sightseeing Cruise by Legenda City Cruises,https://www.tripadvisor.com/AttractionProductReview-g274887-d11991250-Budapest_Danube_River_Evening_Sightseeing_Cruise_by_Legenda_City_Cruises-Budapest_.html,"Budapest, Hungary",activities,5.0,4.5
A very impressive building that shows us the greatness of Hungary when it was built,"Very impressive. The tour inside the building is a must. The stairs (lots of them) and the huge halls and rooms, the guards outside, very exceptional.",August 2019,Hungarian Parliament Building,https://www.tripadvisor.com/Attraction_Review-g274887-d276817-Reviews-Hungarian_Parliament_Building-Budapest_Central_Hungary.html,"Budapest, Hungary",attractions,5.0,4.5
A place where the Nazi regime throw the jews to the river. very mooving,An important part of history. not to forget. A nation that does not remember her history- is a nation with no future. We must learn from history,August 2019,Shoes on the Danube Bank,https://www.tripadvisor.com/Attraction_Review-g274887-d1063833-Reviews-Shoes_on_the_Danube_Bank-Budapest_Central_Hungary.html,"Budapest, Hungary",attractions,5.0,4.5
beautifull bridge,The bridge connects the big market and the Vaci Utca to the other side of the Danube. On the other side you can find the Gellert baths and the bridge presents a great walk over the river,September 2018,Liberty Bridge (Szabadsag hid),https://www.tripadvisor.com/Attraction_Review-g274887-d3228385-Reviews-Liberty_Bridge_Szabadsag_hid-Budapest_Central_Hungary.html,"Budapest, Hungary",attractions,5.0,4.5
The square of heros,A beautiful square with statues of heroes of Hungary. We spent there about an hour and enjoyed it. There are statues in the center of the square and on the outside circle too.,September 2018,Heroes' Square,https://www.tripadvisor.com/Attraction_Review-g274887-d276827-Reviews-Heroes_Square-Budapest_Central_Hungary.html,"Budapest, Hungary",attractions,5.0,4.5
A stroll on the bridge,"A place to stroll on to cross the bridge, to see the boat passing under you and to walk to the other side and back",September 2018,Széchenyi Lánchíd,https://www.tripadvisor.com/Attraction_Review-g274887-d276821-Reviews-Szechenyi_Lanchid-Budapest_Central_Hungary.html,"Budapest, Hungary",attractions,5.0,4.5
"Romantic, Very nice","The boat ride can be with dinner or without. The second time we did it without dinner. It was very quite, rerlaxing and romantic. recommend it",July 2019,Budapest Evening Sightseeing Cruise,https://www.tripadvisor.com/AttractionProductReview-g274887-d11475934-Budapest_Evening_Sightseeing_Cruise-Budapest_Central_Hungary.html,"Budapest, Hungary",activities,5.0,4.0
Nice boat ride with excellent dinner and music. Very relaxing and very romantic.,"Nice boat ride with excellent dinner and music. Very relaxing and very romantic. We were two couples, sat by the window and enjoyed it very much.",September 2018,Budapest Danube River Dinner & Cruise from 7 pm,https://www.tripadvisor.com/AttractionProductReview-g274887-d13296325-Budapest_Danube_River_Dinner_Cruise_from_7_pm-Budapest_Central_Hungary.html,"Budapest, Hungary",activities,5.0,3.5
Great icecream,Just simply great icecream! A lot of flavores and both diet and non diet. There are some sitting places but most take it home. there are boxes thatare keeping cold,March 2019,Anita ice cream,https://www.tripadvisor.com/Restaurant_Review-g293984-d12861821-Reviews-Anita_ice_cream-Tel_Aviv_Tel_Aviv_District.html,"Tel Aviv, Israel",restaurants,5.0,4.5
"Great restaurant, good prices","A very good place to eat, great food and very reasonable prices. We go there quite a bit and enjoy every time!",March 2019,Choco Lulu,https://www.tripadvisor.com/Restaurant_Review-g293984-d7686324-Reviews-Choco_Lulu-Tel_Aviv_Tel_Aviv_District.html,"Tel Aviv, Israel",restaurants,5.0,4.0
A very special part of history,A great place where you can see the way the city was built in the Roman Empire days long ago. How they lived and how they traveled,November 2018,Caesarea National Park,https://www.tripadvisor.com/Attraction_Review-g297742-d5858102-Reviews-Caesarea_National_Park-Caesarea_Haifa_District.html,"Caesarea, Israel",attractions,5.0,4.5
great museium,great museum. very interesting. The items on display are really intresting and are to be seen at least once,July 2018,Van Gogh Museum,https://www.tripadvisor.com/Attraction_Review-g188590-d190554-Reviews-Van_Gogh_Museum-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",attractions,5.0,4.5
Great flight,"As always, on time, cheap, fast. A real pleasure considering the price- value for money. I use this company a lot. use a priority deal and a discount club member",July 2018,Wizz Air,https://www.tripadvisor.com/Airline_Review-d8729187-Reviews-Wizz-Air,World,flights,5.0,3.0
"fast, on time, cheap",cheap and satisfactory. on time. cordial. I was looking for a nonstop and cheap flight and is what ryanair gave me. did not need anything else for a short flight,July 2018,Ryanair,https://www.tripadvisor.com/Airline_Review-d8729141-Reviews-Ryanair,World,flights,5.0,3.0
Andre Rieu Concert,The world's best Show! in the open air with great music and thousant music lovers. Andre Rieu is giving the best show in the world,July 2018,Vrijthof,https://www.tripadvisor.com/Attraction_Review-g188575-d5453933-Reviews-Vrijthof-Maastricht_Limburg_Province.html,"Maastricht, The Netherlands",attractions,5.0,4.5
