title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Night away,Absolute gem of a place to find. Fantastic friendly staff and a great choice of fantastic food. Easy to find as easily signposted too and a short drive to Totnes. Lovely gardens to sit and eat. All the COVID measures they have put in place are excellent too. Felt very safe. Our room was really clean and very quaint and quirky just loved this place.,July 2020,The Cott Inn,https://www.tripadvisor.com/Hotel_Review-g735763-d210017-Reviews-The_Cott_Inn-Dartington_Totnes_Devon_England.html,"Dartington, United Kingdom",hotels,5.0,4.5
Well worth the visit. A must visit place,Well worth the visit service exceptional and food fantastic. The covid precaution system is perfect too. I felt very safe and very well looked after. Well done to all the staff. Fantastic.,July 2020,Who'd Have Thought It Inn,https://www.tripadvisor.com/Restaurant_Review-g209971-d1912924-Reviews-Who_d_Have_Thought_It_Inn-Saltash_Cornwall_England.html,"Saltash, United Kingdom",restaurants,5.0,4.5
Mardi gras,"We had such a fantastic time visiting her, fantastic photos to be taken all.around the french quarter. Such a pretty place. We visited during Mardi Gras so was extremely busy and lots of entertainment going on everywhere. If you've not been I would highly recommend a walk.around.",February 2020,French Quarter,https://www.tripadvisor.com/Attraction_Review-g60864-d102533-Reviews-French_Quarter-New_Orleans_Louisiana.html,"New Orleans, Louisiana",attractions,5.0,4.5
Two night stay,"Had a short stay here. Lovely hotel and in a fantastic location
The room was very clean and nice and the bed was comfortable.
There are lots of easy to reach shops,bars and restaurants just a short walk away and also a joining walkway through the hotel to Riverside walk a huge mall. Also it's a beautiful.location for a walk along the river to see the paddle boats and just a lovely walk down the Mississippi river.",February 2020,Hilton New Orleans Riverside,https://www.tripadvisor.com/Hotel_Review-g60864-d93164-Reviews-Hilton_New_Orleans_Riverside-New_Orleans_Louisiana.html,"New Orleans, Louisiana",hotels,5.0,4.0
21st wedding anniversary,"Had a lovely stay here in this quirky place. We stayed in room 6, never actually seen anything but it was a bit odd. The room was lovely with wobbly floor and furniture which adds to the amusement as it's so old. We actually loved this place. The staff was amazing and friendly. We ate at the restraunt and the food was really good. One of the photos my husband heard the word Jamaica and got a tad confused x great stay and worth every penny. Hopefully want to return again soon for the ghost hunt.",January 2020,Jamaica Inn,https://www.tripadvisor.com/Hotel_Review-g528824-d188522-Reviews-Jamaica_Inn-Bolventor_Cornwall_England.html,"Bolventor, United Kingdom",hotels,5.0,4.0
50th birthday holiday,This place is huge! Pretty good location and a walk down to bourbon street is about 15 mins slow ish walk. We ate in the pizza restraunt and the food was good. Room was ok but very loud and can hear the huge fans underneath constantly 24 hours.also can hear the neighbours above. Was only a 1 night stay so can't really comment much more,February 2020,Hyatt Regency New Orleans,https://www.tripadvisor.com/Hotel_Review-g60864-d2346512-Reviews-Hyatt_Regency_New_Orleans-New_Orleans_Louisiana.html,"New Orleans, Louisiana",hotels,5.0,4.0
50th birthday holiday,Had an absolutely amazing time. Fantastic place to visit full of colourful characters.even though it was cold when we visited we found plenty to do.Plenty of bars and eateries To go in and out of,February 2020,Beale Street,https://www.tripadvisor.com/Attraction_Review-g55197-d147700-Reviews-Beale_Street-Memphis_Tennessee.html,"Memphis, Tennessee",attractions,5.0,4.0
50th birthday,"Was amazing to actually go here but felt a bit let down to be honest. Paid alot to go and felt pretty rushed through the main house,as the staff was telling us to keep moving on and were a bit harsh and rude. iPad navigation and earphones were useless too. Took some amazing photos of what I could, but would have liked to have had a few better opportunities photo wise.
Glad I have had the opportunity to visit here.",February 2020,Graceland,https://www.tripadvisor.com/Attraction_Review-g55197-d105746-Reviews-Graceland-Memphis_Tennessee.html,"Memphis, Tennessee",attractions,3.0,4.5
50th birthday holiday,"We had a very short stay here for 2 nights, absolutely beautiful hotel and literally right next door to Graceland,five min walk.
Room was beautiful bed was so comfy we had a twin bed room overlooking the pool.
Staff are lovely and friendly and so helpful. The guys at concierge are lovely and will make you laugh and smile,the night guy sorry forgot to get his name is lovely too and so helpful (l4th feb). The best stay in my opinion.",February 2020,The Guest House at Graceland,https://www.tripadvisor.com/Hotel_Review-g55197-d10061139-Reviews-The_Guest_House_at_Graceland-Memphis_Tennessee.html,"Memphis, Tennessee",hotels,5.0,4.5
50th birthday,"Had an absolute blast, such a busy and fascinating place full of colourful characters and a huge choice of bars.
Kid rock is a must,and Baileys for food.
A walk over the river on the prisoner of war bridge is worth the photo opportunity.,even though it was raining when we visited.",February 2020,Downtown Nashville,https://www.tripadvisor.com/Attraction_Review-g55229-d1378948-Reviews-Downtown_Nashville-Nashville_Davidson_County_Tennessee.html,"Nashville, Tennessee",attractions,5.0,4.5
50th birthday holiday,"Had a lovely stay here,room.was lovely and comfortable and very clean. Bed was amazing sink in and cuddle.
We only had a short stay here for 2 nights
In a fantastic area as it is put of all the hassle and bustle and noise.but a five minute walk from the main bar area.
Staff really friendly. Perfect place to stay",February 2020,"Noelle, Nashville, A Tribute Portfolio Hotel",https://www.tripadvisor.com/Hotel_Review-g55229-d12907868-Reviews-Noelle_Nashville_A_Tribute_Portfolio_Hotel-Nashville_Davidson_County_Tennessee.html,"Nashville, Tennessee",hotels,5.0,4.5
Christmas getaway,"Absolutely stunning hotel. We had the most fabulous stay here.On arrival your are welcomed by lovely door persons. The reception guy was also really lovely had a good old chat with him,very knowledgable and super friendly,great English speaking.
Our room was huge with everything we needed for our 4 night stay, and so spotlessly clean.wasn't a huge fan of our bathroom as I would have liked a bath,if we stayed longer would have probably asked to have moved.But the walk in shower did us for the time we was there.
Breakfast was great so much choice and decent quality too. We loved or stay here all the staff we met were good english speaking and very attentive which makes your stay feel a little more special. The location in in a fantastic place it's a 5min walk from a christmas market(depending when you travel) also a huge range of shops and bars. It's also close to the Brandenburg gate, the Hollacaust memorial and Checkpoint charlie. Which we walked to be honest it's all flat so a nice stroll. Would 100% book this hotel again. One happy lady our stay was amazing.",December 2019,The Westin Grand Berlin,https://www.tripadvisor.com/Hotel_Review-g187323-d191437-Reviews-The_Westin_Grand_Berlin-Berlin.html,"Berlin, Germany",hotels,5.0,4.0
Short visit,"We visited here but found the ques way too long and busy. So we walked around the outside only, which to be fair is still stunning.",November 2019,Colosseum,https://www.tripadvisor.com/Attraction_Review-g187791-d192285-Reviews-Colosseum-Rome_Lazio.html,"Rome, Italy",attractions,3.0,4.5
Very beautiful,"Although very very busy,we found this better to visit in the evening when it is all floodlit and looks amazing we ate supper just a little up from here.",November 2019,Trevi Fountain,https://www.tripadvisor.com/Attraction_Review-g187791-d190131-Reviews-Trevi_Fountain-Rome_Lazio.html,"Rome, Italy",attractions,5.0,4.5
2 night stay,"What a lovely welcoming hotel ️
The gelteman porter that helped us to our room was so helpful, I forgot to take his name,but he is a great asset to the hotel
This hotel.is in a great location with lots of shops bars and restaurants around it and only and 10 min ish walk from the fountain. We was surprised how big our room was and very clean.we had a lovely stay here and would definitely book here again",November 2019,Bailey's Hotel,https://www.tripadvisor.com/Hotel_Review-g187791-d232871-Reviews-Bailey_s_Hotel-Rome_Lazio.html,"Rome, Italy",hotels,5.0,4.0
Quick stop,"We had a very quick look.around here due to rain. Very pretty. We caught a local taxi as we was on a cruise,always better value for money and the guy was amazing and so funny ,very knowledgeable.",November 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Short trip,"Our trip was great but cut short due to really heavy rain. The veiw from the top is breathtaking so worth all the step, be sure to wear sensible shoes as it can be slippy when wet. For me I had to speak to all the local cats on the way,but if you are not a cat lover they won't bother you one bit they are too busy being photographed by cat lovers from around the world x",November 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Little lunch stop off,Myself and my husband visited here only yesterday. Staff are lovely and friendly and English speaking. Great place to sit and people watch. We had the most amazing Gyros meals and local beer all prepared fresh. Highly recommend this little gem of a find. You wont be dissapointed. X,November 2019,Erato Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d3419999-Reviews-Erato_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
Great and so intriguing,"We stopped off here as we had a morning free and ran out of time to see it all. So many turns and twists in the castle that take you to so many great room and corridors.so well kept and so interesting. We want to return here again next year and spend more time looking around. The grounds also around the castle are so beautiful. The summer flower gardens were just stunning. Definitely worth the visit,so don't miss this place and give yourself plenty of time to look around. Fantastic value for money.",July 2019,Malmohus castle,https://www.tripadvisor.com/Attraction_Review-g189839-d2664339-Reviews-Malmohus_castle-Malmo_Skane_County.html,"Malmö, Sweden",attractions,5.0,4.0
Great for people watching,"Great place to sit and watch the world go by. A very busy little square with such pretty old and new buildings. Plenty of restraunts,bars and cafe to choose from. So clean and photogenic",July 2019,Little Square,https://www.tripadvisor.com/Attraction_Review-g189839-d562381-Reviews-Little_Square-Malmo_Skane_County.html,"Malmö, Sweden",attractions,5.0,4.5
Always wanted to drive it!,"Wow just wow, to drive this was a total amazing experience. Absolute stunning piece of engineering. We had cruised underneath it a nd then decided we needed to drive over it. Was a tad pricey to cross but well worth it.",July 2019,Oresund Bridge,https://www.tripadvisor.com/Attraction_Review-g189839-d229592-Reviews-Oresund_Bridge-Malmo_Skane_County.html,"Malmö, Sweden",attractions,5.0,4.5
2 night stay,This hotel is in a great location 10 min walk to the town centre and also just one street back from the main train station. There is a couple of big supermarkets next door in a mall which is quite handy. Parking is right next to the hotel too. The dining area is so pretty and breakfast there was alot of good choice. Our room was huge and very clean.,July 2019,"Radisson Blu Hotel, Malmo",https://www.tripadvisor.com/Hotel_Review-g189839-d234265-Reviews-Radisson_Blu_Hotel_Malmo-Malmo_Skane_County.html,"Malmö, Sweden",hotels,5.0,4.0
Family dinner,We have visited here quite a few times now and the food is excellent.The staff are so friendly and nothing is too much trouble. Our son is a vegetarian and says the choice of food is great for him. The veiws from the conservatory on a clear day are really pretty.Parking is great as the carpark at the rear is quite big.,July 2019,Who'd Have Thought It Inn,https://www.tripadvisor.com/Restaurant_Review-g209971-d1912924-Reviews-Who_d_Have_Thought_It_Inn-Saltash_Cornwall_England.html,"Saltash, United Kingdom",restaurants,5.0,4.5
Just stunning,Well worth a stop off. We was lucky enough to visit on a really sunny day. The photo opportunity are endless. An absolutely beautiful place to visit.,July 2019,Egeskov Castle,https://www.tripadvisor.com/Attraction_Review-g189524-d243788-Reviews-Egeskov_Castle-Odense_Funen_and_Islands.html,"Odense, Denmark",attractions,5.0,4.5
Not to be missed,"My husband and I had a short break in Odense. Came across this restraunt as it was across from our hotel. The food is excellent ,great customer service. Well worth the visit.",July 2019,Restaurant Grønttorvet,https://www.tripadvisor.com/Restaurant_Review-g189524-d2180048-Reviews-Restaurant_Gronttorvet-Odense_Funen_and_Islands.html,"Odense, Denmark",restaurants,5.0,4.0
Boat ride,"We felt very let down after paying nearly €70 euro to find that it finished at teatime, so we had actually paid for two hours and felt a bit ripped off tbh. Did manage to take some great picture though in the short time and visited the ice bar.",July 2019,Amsterdam Canal Cruises,https://www.tripadvisor.com/Attraction_Review-g188590-d2010324-Reviews-Amsterdam_Canal_Cruises-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",attractions,2.0,4.5
Quirky and very photogenic,"We had a two night stay here recently. Great location and easy to get to,the train station is a ten min walk and cost around €6 ish return. Staff in the sky bar are very friendly and all.English speaking and food was good.really good veiws from the restraunt and sky bar.",July 2019,Fletcher Hotel Amsterdam,https://www.tripadvisor.com/Hotel_Review-g188590-d3533181-Reviews-Fletcher_Hotel_Amsterdam-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",hotels,4.0,3.5
"Probably one of the best,so worth the extra money.","We booked this hotel last min, what a absolutely wonderful and pampered place to stay. Staff are absolutely wonderful ,nothing is too much trouble.Pretty much all the staff mostly English speaking as our German is limited and a little rusty..Breakfast is a must! Our room is beautiful too with lots of added touches. You really have to book this place it's probably one of the nicest places I've ever stayed and I've traveled worldwide alot.",July 2019,Grand Elysee Hotel Hamburg,https://www.tripadvisor.com/Hotel_Review-g187331-d201189-Reviews-Grand_Elysee_Hotel_Hamburg-Hamburg.html,"Hamburg, Germany",hotels,5.0,4.5
St Patrick's day lunch,Sunday carvery at the copper penny again . All fresh veg and meat. Great service and lovely staff.Definitely worth the visit.,March 2019,The Copper Penny Inn,https://www.tripadvisor.com/Restaurant_Review-g190767-d2482108-Reviews-The_Copper_Penny_Inn-Tavistock_Dartmoor_National_Park_Devon_England.html,"Tavistock, United Kingdom",restaurants,5.0,3.5
