title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
a must see on a Delhi itinery,"having visited Delhi previously and had an argument with the tour guide as to whether you could access the building i was determined to return and bought him a ticket just to prove the point!. it rather says much about how the building is marketed that even some of the tour guides don't know how to access it. The building is stunning and well worth visiting even to see the small number of rooms on the guided tour. I won't give a history lesson you can read all about it in more eloquent terms than mine, what I will say is that the booking system is a nightmare hence the deduction of a star. the tickets are not released that early so don't dispair if you are told there is no availability, just keep trying. I ended up buying the tickets twice as the system told me it had failed the first time but at approx 50p a ticket it wasn't relevant. The mughal gardens are also worth the visit - even if you are guided via the boring herb garden! This really should be on a tour itinery as an absolute must in Delhi - be prepared for a little over enthusiastic security - I had my passort checked five times but that said there was no aggression or hostility and the setting and design are a must see",February 2020,Rashtrapati Bhavan,https://www.tripadvisor.com/Attraction_Review-g304551-d321495-Reviews-Rashtrapati_Bhavan-New_Delhi_National_Capital_Territory_of_Delhi.html,"New Delhi, India",attractions,4.0,4.5
tired hotel but with great service,"i arrived at the Plaza at about 1.30pm, the building is covered in scaffolding and not particularly attractive, the reception from the porters was excellent and i was escorted through the shabby entrance to reception. check in was quick but was told the room was not ready but that I was top of the list and they would call me as soon as the room was available even checking my mobile phone number (usual check in 3.00pm but often earlier) I wandered down to the food hall in the basement which was the first sign of the underlying problems of this hotel - far too many outlets with way too few places to seat - you can't have an Italian restaurant with 8 seats, it's nonsensical, the whole space felt like everything had been shoehorned in with the result of a confused mess, this whole space needs a serious re-think.
I then went upstairs to the rose club to sit while waiting for the room, dreadful worn out threadbare furniture, damaged tables and electrical wires sellotaped to the wall a thoroughly dismal space (to be fair from the new video on the website it appears that this has now been refurbished but I think it needs more than has been done), when it got to 3.30pm (way past usual check in) and not having received a call I went back to reception, suddenly the room was ready (no apology proffered for the fact that I hadn’t been called), an unfortunate welcome experience but now standard in my experience for Fairmont. I used to use Fairmont exclusively until they were taken over by Accord when standards fell significantly.
The room was adequate but again in need of attention, the faux Empire furniture with the hint of 1982 is dated as is the bathroom – the boast as to the mosaic walls slightly reminiscent of public conveniences is something that they should not be proud of, and the carpets are well past their best. On the plus side, the room was clean and the sheets good quality. Having gone out and done some touristy things, I returned to the hotel and decided to go for a drink in the rose club. Service was adequate but the atmosphere quite flat, I was however quite shocked to be blatantly approached and propositioned by a prostitute. Accepted this happens in hotels across the world but good hotels ensure it is discrete, I have never encountered low grade hookers clearly known to the staff propositioning clientele in front of families. I left (without the hooker) and had a decent night’s sleep. I had breakfast on two occasions in the Palm Court. Very attentive service, quite nice setting if a little tired, food was good but not mind blowing and $60 for an al a carte breakfast (consisting of Eggs Benedict and two slices of toast and a glass of orange juice) is overly pricey for the standard – the eggs were barely warm by the time they reached the table.
The hotel advertises a free hotel car and to enquire at concierge as to its availability, the concierge was rude in his response stating he wouldn’t know anything about it and to speak to the doormen. Of course, the car is always “out” and may be back in 20-30 minutes. I can’t really see the point in offering it as a service when maybe 1% of lucky guests get to ride in it - it is easier to take the subway.
I also visited the Palm Court for afternoon tea, again the staff were wonderful ensuring that even on a packed Saturday afternoon with no reservation they found me a table. The food was extremely average, probably one of the worst afternoon teas I have had, I have had better offering for free in club lounges. Five average small savouries, two poor scones (and the jam and cream are left open on the table) and five miniature patisserie items, a pot of tea and two glasses of champagne (the glasses are so small you need to take a second) $180! Before the tip, Total rip off. The equivalent in Harrods in London where plates are replenished as often as you wish and far better-quality food is less than half the price. It’s not that I have an issue paying the price if you get value for money, but there was little value here and the entire hotel trades on a past glory and in somewhat ignorance of the rest of the world.
Obviously location of the hotel is fantastic with a subway entrance on the same block, the service at the hotel was 95% excellent and the room was spacious and clean, but this hotel needs (a) a major make over including the peculiar Champagne bar area which is an illogicality in its design and was always crowded to the point I could never find a seat (b) the lifts are exceedingly slow (c) the hotel caters to too many non-residents – finding a table anywhere is a challenge (d) the “shopping mall” is dreadful – a range of awful rather pointless shops (e) the food hall is a poor concept and does not convey any hint of luxury – well not till you get the bill (f) the whole hotel is past its sell by date
I would see no reason to stay here again even with the proposed refurbishment, there are better offerings in NYC more attuned to the 21st century and to the true needs of a world traveller I doubt whether the Plaza will ever be anything more than a part of history and a spot on the tourist map.",November 2019,The Plaza New York,https://www.tripadvisor.com/Hotel_Review-g60763-d675616-Reviews-The_Plaza_New_York-New_York_City_New_York.html,"New York City, New York",hotels,3.0,4.5
no that amazing,"booked the trip to the 102nd floor to see the amazing skyline, not really sure what people get excited about, i've been up taller buildings with better facilities and views so yes i ticked it off the list, no it didn't amaze me and no i have no need to go again",November 2019,Empire State Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104365-Reviews-Empire_State_Building-New_York_City_New_York.html,"New York City, New York",attractions,3.0,4.5
solace from the darkness,"i was undecided whether this was worth the visit or not but was blown away by the incredible respect that was given in creating this memorial. the waterfall is an incredible understated statement and and extremely powerful message when you stand in its atmosphere - the museum is much larger than i expected, i took a guided audio tour for an hour - the tour leader was Will who provided lightness at the right times and extreme solemnity at others - impossible not to be emotionally moved by this humbling experience",November 2019,The National 9/11 Memorial & Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d1687489-Reviews-The_National_9_11_Memorial_Museum-New_York_City_New_York.html,"New York City, New York",attractions,5.0,4.5
excellent introduction to the treasures of the Met,"i prefer to take a private tour or a major attraction to get a good overview and then go back in my own time and study carefully the pieces that are to my particular interest, i met with the guide Katherine at the appointed time, she was engaging througout and made sure that we covered areas that were of my interest rather than just concentrating on her favourite pieces, we were so engaged in discussing various artists from our respective prospectives that we lost track of time and the tour went well beyond the alloted time - it was a very enjoyable tour and Katherine tailored it very well to my requirements",November 2019,Metropolitan Museum of Art Private Guided Tour with Skip-the-Line Ticket,https://www.tripadvisor.com/AttractionProductReview-g60763-d12471904-Metropolitan_Museum_of_Art_Private_Guided_Tour_with_Skip_the_Line_Ticket-New_York_C.html,"New York City, New York",activities,5.0,5.0
fair offering for a one night stay,"this was booked by the tour company as part of a luxury private golden triangle tour, i wouldn't book Hilton as a luxury hotel as they are usually adequate but corporate and lack the finesse of a true luxury hotel. Check in was swift and the room as adequate generally clean although not pristine - i didn't notice till i opened the curtains the next day that there was a thick layer of dust on the desk area.
the tour company had arranged a complimentary dinner in the restaurant, i went to the restaurant but it was heaving with noisy tour groups of Russians, Chinese and Americans all shouting over each other and very loud music being played over the top of it - i decided to forego the dinner, i popped my head into the bar which was also heaving and not a seat to be had. this was a Thursday night and i don't know whether it was a specific of that night or is the usual status, the hotel would be standard choice for tour groups so i wouldn't want to stay here longer than the one night. The bed was comfortable and i slept well. Breakfast was adequate with a fair choice but slightly marred by the tour groups descending on the buffet like locusts and with the need to shout at each other. Check out was again very swift. the staff i encountered were all friendly and professional. so if i found myself in Jaipur again I would consider the Hilton but probably book the executive level to avoid the large tour groups",October 2019,Hilton Jaipur,https://www.tripadvisor.com/Hotel_Review-g304555-d6540893-Reviews-Hilton_Jaipur-Jaipur_Jaipur_District_Rajasthan.html,"Jaipur, India",hotels,4.0,4.5
definately a place to visit when in Agra,"beautiful buildings with an interesting history, always best to go with a guide to explain more about what you are looking at
only downside is that the guy in the ticket booth short changed me by 1000 rupees - I wanted to pay by card but ""the machine is not working"" so I had to pay in cash, I gave him 2000 he gave me change for 1000. I wouldn't normally think about checking someone on the official desk and therefore only noticed when i went to tip the guide so the lesson is always check your change",October 2019,Agra Fort,https://www.tripadvisor.com/Attraction_Review-g297683-d319695-Reviews-Agra_Fort-Agra_Agra_District_Uttar_Pradesh.html,"Agra, India",attractions,4.0,4.5
stunning although you don't need to go at sunrise,"picked up from the hotel at 5.30am to visit the Taj at sunrise, there isn't much I can say that has not already been said many times, it is a stunning building and beautifully kept
I will however comment on the early start. we arrived at the entrance at about 5.45am to purchase the ticket, it was very dark and almost impossible to see. you then stand in a queue as it opens at 6. there were quite a lot of people all subjected to the early morning visit. the guide said it would be even worse by 10am. I waited for the sunrise, when it happened it was not that breath-taking - ok I visited on a hazy morning so perhaps it may be more impressive on a clear day. the guide then informed me it looks best in moonlight and that access is then limited to 50 people. if I am in Agra again I would certainly do the moonlight visit - but wild horses won't drag me out of bed before crack of dawn again",October 2019,Taj Mahal,https://www.tripadvisor.com/Attraction_Review-g297683-d317329-Reviews-Taj_Mahal-Agra_Agra_District_Uttar_Pradesh.html,"Agra, India",attractions,5.0,5.0
dirty sheets and dreadful breakfast,"i avoid Marriott hotels wherever possible and this reminded me how basic they are particularly at the Courtyard level - this hotel was booked by the tour company as part of a luxury golden triangel tour, if I'd known it would be the Courtyard in advance I would have ensured it was changed - i arrived at the hotel and my suitcase was immediatrely taken by the porter, check in was smooth and the reception area was decent. i went to the room, the first thing i do is to pull off the duvet and check the sheets, these did not look fresh, i turned over the pillows and they were dirty on the reverse, i waited 30 minutes and my case had still not arrived. I went to reception and reported the missing case and the dirty sheets. i was immediadly offered another room and asked if i could identify my case - it was sitting at the porters stand clearly they had no idea who it belonged to, i returned to the room and the porter arrived shortly after with the case and the new room key. new room same dirty sheets. managers appeared and suggested it was an ironing issue - i pointed out dirt was not an issue with ironing. the sheets were then changed in front of me - big shame they didn't notice the rather long black hair stuck to the matress protector. the only positive thing was that the managers and room staff were responsive and polite and did make efforts to resolve the issue I had with their wifi
breakfast the following morning was a miserable offering. probably the worst breakfast in any hotel i have ever experienced - having gone round the ""buffet"" several times i returned with a tomato, a piece of cheddar and a jacobs cracker. i asked for a black coffee, it was like dishwater. still hungry i returned to the buffet in search of a pastry and found a donut - well at least something masquerading as a donut - one bite, i had to spit it out. the staff in the breakfast room were average rather than excelling at anything, they had a general bored look on their faces.

if you are looking for a 5* luxury offering you won't find it here, it has a certain travellodge feel and the low cost ""eat all you can"" buffet round the pool in the dark is definitely one i would avoid at all costs",October 2019,Courtyard Agra,https://www.tripadvisor.com/Hotel_Review-g297683-d7384717-Reviews-Courtyard_Agra-Agra_Agra_District_Uttar_Pradesh.html,"Agra, India",hotels,1.0,4.5
beautiful and touching site,"there is so much to take in with the history of India it is not always easy to follow - good to have a guide who knows what to detail and what to leave out but always also good to try and understand a little before you go so you have an idea what you are looking at - this is an important historical site and an essential on any Delhi tour - stunning buildings and beautiful gardens - i was at first apprehensive that we went on a day that appeared to be school outing day but unlike many other ""civilisations"" all of the children were exceptionally well behaved and courteous",October 2019,Qutub Minar,https://www.tripadvisor.com/Attraction_Review-g304551-d311626-Reviews-Qutub_Minar-New_Delhi_National_Capital_Territory_of_Delhi.html,"New Delhi, India",attractions,5.0,4.5
