title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Very nice place,"Very nice place, great view around it is adjacent to Baron Rothschild Garden,The food is good, the service excellent, and the prices very reasonable",February 2020,Mata'im,https://www.tripadvisor.com/Restaurant_Review-g609101-d9853863-Reviews-Mata_im-Zichron_Yaakov_Haifa_District.html,"Zichron Yaakov, Israel",restaurants,4.0,4.0
Great falafel,"Old Falafel keeps the quality, really nice to eat there,Price is very reasonable The ratio of sellers is good, street food at its best",February 2020,Falafel zichron,https://www.tripadvisor.com/Restaurant_Review-g609101-d7599924-Reviews-Falafel_zichron-Zichron_Yaakov_Haifa_District.html,"Zichron Yaakov, Israel",restaurants,5.0,4.5
Excellent ice cream,"Excellent ice cream in the middle of a beautiful and special place, You can walk down the street right after eating ice cream.",February 2020,Mimi Gelato Art,https://www.tripadvisor.com/Restaurant_Review-g609101-d5982381-Reviews-Mimi_Gelato_Art-Zichron_Yaakov_Haifa_District.html,"Zichron Yaakov, Israel",restaurants,4.0,4.5
For those who love cannons,Anyone who loves military history will find plenty of artillery history there for many years. Everyone who cares about it will enjoy it very much,January 2020,Beit Hatotchan - IDF artillery museum and memorial monument,https://www.tripadvisor.com/Attraction_Review-g609101-d5823179-Reviews-Beit_Hatotchan_IDF_artillery_museum_and_memorial_monument-Zichron_Yaakov_Haifa_Di.html,"Zichron Yaakov, Israel",attractions,5.0,4.5
Nice,"Very nice museum, presents the first rise story in a pleasant and accurate way, definitely worth spending an hour or an hour to visit the museum",December 2019,First Aliyah Museum,https://www.tripadvisor.com/Attraction_Review-g609101-d7394448-Reviews-First_Aliyah_Museum-Zichron_Yaakov_Haifa_District.html,"Zichron Yaakov, Israel",attractions,4.0,4.5
amazing place,"One of the most beautiful places in the country, these are wonderful gardens and maintained in excellent shape, there is also the grave of Baron Rothschild which is very impressive.",January 2020,Ramat HaNadiv,https://www.tripadvisor.com/Attraction_Review-g609101-d2484492-Reviews-Ramat_HaNadiv-Zichron_Yaakov_Haifa_District.html,"Zichron Yaakov, Israel",attractions,5.0,5.0
Great neighborhood,"Great neighborhood,Very nice neighborhood, with lots of authentic little places, a place to get lost. A very worthwhile place",December 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
disappointment,"An untouched place, looks like a construction site,I was expecting a lot more, no detailed signs, although a place with unrealized potential.",December 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,3.0,4.5
average,"Expectations were high, but the place was very average,Looks like a construction site, very unimpressive in my opinion, average place",December 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,3.0,4.5
Excellent hotel,"Great hotel, wonderful attitude and service. Large rooms,Exceptional breakfast, the heated pool (we were there in December) located inside the hotel is just great.I highly recommend, when we return to Athens we will only go to this hotel.",December 2019,Electra Metropolis Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d10798588-Reviews-Electra_Metropolis_Hotel-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.5
Condition of furnishings and decor in the room,"The location of the hotel is great, the service and staff are excellent, and the breakfast is very good.The rooms are very comfortable,From the roof of the hotel there is a great view of Madrid, They have a small swimming pool on the roof, but when we were it is too cold to go into the water",December 2017,Dear Hotel Madrid,https://www.tripadvisor.com/Hotel_Review-g187514-d8331763-Reviews-Dear_Hotel_Madrid-Madrid.html,"Madrid, Spain",hotels,5.0,4.5
