title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great Jazz music for Jazz lovers,We made reservations online for 2 events. Very happy with the music. We were not very happy with the seating arrangements since we could not do that online. I guess you have to be a local or be there in person.,January 2020,Half Note Jazz Club,https://www.tripadvisor.com/Attraction_Review-g189400-d8671105-Reviews-Half_Note_Jazz_Club-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.0
Absolute visit,"Lots of history and very well organized. Make sure you keep your ticket with you, individually, at all times. In case you need to switch from one section to another. Very imformative.",January 2020,National Archaeological Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d198713-Reviews-National_Archaeological_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Great Sushi,This was our New Year's Eve treat. We enjoyed our taking away at home. Lovely and helpful staff who recommended what we should order. Excellent!,December 2019,Koi Sushi Bar,https://www.tripadvisor.com/Restaurant_Review-g189400-d5121936-Reviews-Koi_Sushi_Bar-Athens_Attica.html,"Athens, Greece",restaurants,5.0,3.5
A Historic Point,"Wow, what an amazing site. Looks very simple but defintely worth the time. Nice little museum with posters of nearly all olympics Worldwide. Just walking around and going up was breathtaking.",December 2019,Panathenaic Stadium,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Down to earth,Nice tasty vegetarian dishes. Most of the items ate 5euros each. We has lunch here with our tour guide who introduced the place and returned back the following day. Very homey!,December 2019,Yiasemi,https://www.tripadvisor.com/Restaurant_Review-g189400-d1944626-Reviews-Yiasemi-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Amazing,Very well organized museum. After visiting acropolis it was definetely wise to visit the museum. It was a rainy day in Athens so it was perfect to be indoor. The cloakroom was a plus. A lot of history and good video to watch.,December 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Must See,You cant be in Athens without visiting the Acropolis. My last visit was over 40 years ago and it felt like the first time visiting last Dec 2019. Wherever you are in Athens you can see the Acropolis. Beautiful sunny day and less crowded. Definetley recommend.,December 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Excellent Authentic food,"Excellent service, delicious authentic Indian food. Vegetarian is available. Good price. Highly recommend.",January 2020,Indian Haveli,https://www.tripadvisor.com/Restaurant_Review-g189400-d9979781-Reviews-Indian_Haveli-Athens_Attica.html,"Athens, Greece",restaurants,5.0,5.0
Our best day so far!,"Walking tour with Nikos was amazing. Nikos was very informative, he explained very well to make the tour enjoyable. Paid attention to all ages and had a good sense of humor. It was paced, had time to mingle with the group, stopped for drink and even lunch. We always take free walking tours but this was exceptional. I highly recommend this tour and don’t forget to tip!",December 2019,Nikos' Free Walking Tour in Athens,https://www.tripadvisor.com/Attraction_Review-g189400-d12928035-Reviews-Nikos_Free_Walking_Tour_in_Athens-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
comfortable and safe,We enjoyed our flight to and from Riga with Air Baltic. Flight was on time and all went well. We also ordered food in advance which was excellent. Will definetely use Air Baltic again!,September 2019,Air Baltic,https://www.tripadvisor.com/Airline_Review-d8728996-Reviews-Air-Baltic,World,flights,5.0,3.5
Excellent tour with Camilla,We had a wonderful time. Camilla was very informative and knowledge making this your worthwhile. Highly recommend this tour.,November 2019,Florence Free Tour-Tale,https://www.tripadvisor.com/Attraction_Review-g187895-d16713873-Reviews-Florence_Free_Tour_Tale-Florence_Tuscany.html,"Florence, Italy",attractions,5.0,5.0
Fun,"Something different, quite interesting and very creative. Pleasant visit. Fun for kids and adults too.",August 2019,Tagurpidi Maja,https://www.tripadvisor.com/Attraction_Review-g274959-d12817354-Reviews-Tagurpidi_Maja-Tartu_Tartu_County.html,"Tartu, Estonia",attractions,5.0,4.5
Unique,"An excellent place for tea, coffee, or any drink. Uniquely decorated and feels like a living museum or a an antique store. Friendly staff!",October 2018,Zlatna Ribica,https://www.tripadvisor.com/Attraction_Review-g294450-d1223297-Reviews-Zlatna_Ribica-Sarajevo_Sarajevo_Canton_Federation_of_Bosnia_and_Herzegovina.html,"Sarajevo, Bosnia and Herzegovina",attractions,5.0,4.5
Nice,Definitely take the city tram and do the whole loop to get an overview of Melbourne. Highly recommend!,February 2019,City Circle Tram,https://www.tripadvisor.com/Attraction_Review-g255100-d522372-Reviews-City_Circle_Tram-Melbourne_Victoria.html,"Melbourne, Australia",attractions,5.0,4.5
Bad experience,"Salmon was over cooked! Rocket salad was not fresh, sautéed vegetables were over cooked! Worse experience!",February 2019,Vons Restaurant & Bar,https://www.tripadvisor.com/Restaurant_Review-g255100-d1092065-Reviews-Vons_Restaurant_Bar-Melbourne_Victoria.html,"Melbourne, Australia",restaurants,2.0,3.5
Excellent Massage,"My husband and I both enjoyed our massage. The reception was very pleasant, the spa is a well equipped and professionally kept. We filled out a form first. The facilities were extra clean and the staff were experienced! We enjoyed our time and would go back if we are Hue. Highly recommend!",January 2019,Hue Shining Spa,https://www.tripadvisor.com/Attraction_Review-g293926-d9739008-Reviews-Hue_Shining_Spa-Hue_Thua_Thien_Hue_Province.html,"Hue, Vietnam",attractions,5.0,5.0
Excellent coffee and good dinner,"We stayed in a hotel near by in Cam Nam. Most of the hotels do not offer espresso coffee. We came here for our morning coffee and decided to try dinner on our last evening. Food was delicious, I had fillet fish in the banana leaf and ginger mojito was excellent! Highly recommend.",January 2019,Everyday Restaurant - Bakery - Coffee,https://www.tripadvisor.com/Restaurant_Review-g298082-d14108875-Reviews-Everyday_Restaurant_Bakery_Coffee-Hoi_An_Quang_Nam_Province.html,"Hoi An, Vietnam",restaurants,5.0,5.0
Lovely evening with lovely Jazz music,"Tucked in not a popular place. Excellent music by young musicians...a pianist, a guitarist, a flutist and a Erhu player at Guitar Hawaii! Unbelievably superb!",January 2019,Guitar Hawaii Hoi An Live Music Bar,https://www.tripadvisor.com/Attraction_Review-g298082-d3567273-Reviews-Guitar_Hawaii_Hoi_An_Live_Music_Bar-Hoi_An_Quang_Nam_Province.html,"Hoi An, Vietnam",attractions,5.0,4.5
Must See,"Don’t leave Hue without visiting The Citadel, it’s magnificent! You need at three hours to appreciate the beauty and enjoy your time.",January 2019,Hue Imperial City (The Citadel),https://www.tripadvisor.com/Attraction_Review-g293926-d317599-Reviews-Hue_Imperial_City_The_Citadel-Hue_Thua_Thien_Hue_Province.html,"Hue, Vietnam",attractions,5.0,4.5
Excellent Choice,"We had airport pick up, tour Hue visiting Minh Mang Tomb, Khai Dinh Tomb, Thien Mu Pagoda, a boat ride on the perfumed River, excellent lunch and a visit to the Citadel. And the next day, travel from Hue to Hoi An stopping at the fishing village, Hai Van Pass, the Largest Buddah and Marble Mountain. The whole package was very nicely and professionally organized by Stop & Go Tours. Our tour guide Ms. Nhu was very pleasant with lots of information and excellent English knowledge. Our Driver/tour guide, Mr Trung was excellent. Highly recommend this group. Thank you!",January 2019,Stop & Go Tours,https://www.tripadvisor.com/Attraction_Review-g293926-d1532574-Reviews-Stop_Go_Tours-Hue_Thua_Thien_Hue_Province.html,"Hue, Vietnam",attractions,5.0,5.0
3 day 2 night relaxing Cruise,"Even with the weather being not too good, we had a wonderful and relaxing time The service was outstanding, the food was excellent, very accommodating and friendly staff. Highly recommend this cruise.",January 2019,Paloma Cruise,https://www.tripadvisor.com/Attraction_Review-g293923-d6438408-Reviews-Paloma_Cruise-Halong_Bay_Quang_Ninh_Province.html,"Halong Bay, Vietnam",attractions,5.0,5.0
Turkish meal,"Excellent meze, mixed grill and delicious dessert. One of the non smoking restaurants. Staff were down to earth. Good food and good service",November 2018,Tiha Noc International Cuisine,https://www.tripadvisor.com/Restaurant_Review-g2549680-d10467538-Reviews-Tiha_Noc_International_Cuisine-Dobrota_Kotor_Municipality.html,"Dobrota, Montenegro",restaurants,5.0,4.5
Lively and convenient,"We had dinner after our hike. Big portion, good salad and friendly staff, reasonably priced and lively ambiance.",August 2018,Restaurant Oro,https://www.tripadvisor.com/Restaurant_Review-g1096284-d11725421-Reviews-Restaurant_Oro-Zabljak_Durmitor_National_Park_Zabljak_Municipality.html,"Zabljak, Montenegro",restaurants,5.0,4.0
Best Wine Bar,"Good choice of wince and great selection of cheese, meat, nuts and fruit platter. Knowledgeable staff and great ambiance.",October 2018,Fonoteka Sarajevo Wine shop&bar,https://www.tripadvisor.com/Restaurant_Review-g294450-d12549306-Reviews-Fonoteka_Sarajevo_Wine_shop_bar-Sarajevo_Sarajevo_Canton_Federation_of_Bosnia_an.html,"Sarajevo, Bosnia and Herzegovina",restaurants,5.0,5.0
Family friendly Restaurant,"Good food, wine all freshly prepared ....and friendly staff. Nice place for kids to run around away form cars and traffic.",August 2018,Restoran Toplik,https://www.tripadvisor.com/Restaurant_Review-g294450-d4892111-Reviews-Restoran_Toplik-Sarajevo_Sarajevo_Canton_Federation_of_Bosnia_and_Herzegovina.html,"Sarajevo, Bosnia and Herzegovina",restaurants,5.0,4.5
