title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Okay lunch,"I knew Pacific Catch is known for fresh seafood and I selected Walnut Creek location as our mid-point for lunch. We both saw the garage across the street and parked under 3 hours for free. Observing covid-19 codes, tables were spaced apart, everyone was masked, and attentive. I was disenchanted with my fish 'n chips because the fish pieces were half the size compared with the photos. Generous helping with the fries though, flavorful coleslaw, and the fish was fresh and hot. Meeting my friend was the highlight of our lunch.",October 2020,Pacific Catch,https://www.tripadvisor.com/Restaurant_Review-g33235-d14172074-Reviews-Pacific_Catch-Walnut_Creek_California.html,"Walnut Creek, California",restaurants,3.0,4.0
Great take-out,"Our friend called in our orders for pickup at noon. We arrived early and greeter was very friendly and told us they will get the order done. While waiting, several pickups came/went--the service was quick, efficient with a smile. Our order was ready and they added a wonderful double chocolate biscotti for my bday. The fried chicken was delectable; crunchy skin, moist meat, and yummy/full flavor. What a nice lunch!",July 2020,The Dutch Door,https://www.tripadvisor.com/Restaurant_Review-g32766-d18892188-Reviews-The_Dutch_Door-Napa_Napa_Valley_California.html,"Napa, California",restaurants,5.0,5.0
Wonderful lunch,"Via a review, open for dine-in now, we were welcomed and seated a table away from other diners, and were given extra napkins and iced water. Menu offered many variety dishes, even sukiyaki. The crispy chicken was very good but the ginger garlic rice lack flavor. The calamari rings were fried just right but missing the ""legs"". My drunken noodles came out hot and was tasty, shrimp was fresh. The service was attentive and there was a lot of take out orders which may have delayed our dishes. The freshness, flavors, cuisine, and service are incentives to come back when we are in Vacaville.",June 2020,Rice Barn Thai Eatery and Wine Bar,https://www.tripadvisor.com/Restaurant_Review-g33208-d13392022-Reviews-Rice_Barn_Thai_Eatery_and_Wine_Bar-Vacaville_California.html,"Vacaville, California",restaurants,4.0,4.5
Special Occasion Site,"Open Table's confirmation email attached Skates' menu and my mind was set Fettuccini. My party of 6 was fantastic served by Michael. I showed the manager the menu which she said it was very old and she will contact Open Table. The calamari and artichoke appetizers were delicious. 2 of our friends had the mahi mahi specials which they liked. The braised shortribs, fish/chips, and seafood Louie were generous portioned but we had the old menu choices in mind. Skates' 35th Anniversary pre fixe was only for dinner. The waterfront view was spectacular. There was an enforcement vehicle in the corner of the parking lot when we left.",January 2020,Skates on The Bay,https://www.tripadvisor.com/Restaurant_Review-g32066-d377656-Reviews-Skates_on_The_Bay-Berkeley_California.html,"Berkeley, California",restaurants,4.0,4.0
Homestyle cafe,"An old establishment with country home charm that serves breakfasts. We were greeted and seated right away and offered coffee. The ladies served us efficiently. My order was 2 just right scrambled fluffy eggs, 3 large sausage links, crispy hash browns, and yummy 2 large dollar size light pancakes. I enjoyed mine but my husband said his gravy over his chicken fried steak over waffles didn't have any taste. Our friend's ""Joe's Special"" omelette looked good. We were lucky to find street parking, no waiting in line, and glad to try this breakfast cafe.",October 2019,Heritage House Cafe,https://www.tripadvisor.com/Restaurant_Review-g33208-d5059882-Reviews-Heritage_House_Cafe-Vacaville_California.html,"Vacaville, California",restaurants,3.0,4.0
Excellent!,"Had this restaurant on my list, was referred by our tour guide who helped us made our reservations for 6. Short walk from Hilton, was welcomed warmly, sat outside, and service was very attentive. Our first ""Greek"" meal was fabulous; cooked just right crispy calamari, grilled octopus & sardine salads, carbonara/smoked bacon, generous roast suckling pig, with complimentary soup and lemoncello slushie for dessert. A marvelous and memorable meal on our first night in Athens. Thank you Oroscopo!",September 2019,Oroscopo,https://www.tripadvisor.com/Restaurant_Review-g189400-d2186282-Reviews-Oroscopo-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Great Museum,"Our tour guide leads us thru this lovely museum. The highlight was the bronze statue of Zeus. Lots of artifacts and so much information to absord. Glad to see the history, care and pride of Greece.",September 2019,National Archaeological Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d198713-Reviews-National_Archaeological_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Beautiful,Our Parthenon tour included Acropolis and Erechtheion. It was amazing to see how much is still standing. Worth climbing to see up close.,September 2019,Erechtheion,https://www.tripadvisor.com/Attraction_Review-g189400-d246656-Reviews-Erechtheion-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Lots to see,Wear good walking shoes to walk/shop/eat thru the neighborhood. Can get very crowded and the shops are catered to tourists. Get beyond the Plaka and see where the locals shop and eat.,September 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Wonderful,We took a tour and were glad and appreciate the conservation and the offer to allow people to see these ancient wonders up close. Not to miss when in Athens.,September 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Amazing Recoveries,"Part of our tour, this museum was very clean and orderly, which had to be for so many tours/people. Very good displays of the artifacts and statues. The café & service was very good too.",September 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
One of World's Wonders,"We had one free day before our cruise starts and to not miss the chance to see the Acropolis up close we took a tour, (Chat Tour), which included a coach city tour, Acropolis Museum, and tickets to the Acropolis thus avoiding the ticket line. The weather was great for 9/18, not too hot at 8AM but the hill was packed by 10AM. Would have enjoyed the site if not so many people, got strangers in my photos. Some marble steps are slippery and there were security and guides to handle the people traffic. It was a wonder to see the ancient ruins up close.",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
"Fresh Dumplings in ""Hole-in-Wall""","Fresh Dumpling has been in its soft opening for about a month so the menu is limited. Street parking and restaurant is close to theater, which the food is ideal for lunch, dinner or snack. Many choices of dumplings, green onion pancake, hot/spicy appetizers are made fresh. Service is very attentive. A party of 8 combined the 2 tables together otherwise limited seating. Food was good; no alcohol, hot tea and/or iced water. One noodle dish; beef noodle soup, so hopefully they expand their menu for more variety.",June 2019,New Dumpling,https://www.tripadvisor.com/Restaurant_Review-g32333-d17607546-Reviews-New_Dumpling-El_Cerrito_California.html,"El Cerrito, California",restaurants,4.0,4.0
Delicious & Good Value,"Our friends took us here after fishing nearby and the order line was moving at Tuesday 11:30 AM. Many sandwich choices and the service was efficient and accurate to the descriptions. Everyibody loved their big sandwiches which one can feed for two. What a value too because the size and quality of the meat would be twice the price at other delis. The bread was crunchy, soft in the middle, and good flavored. It was a wonderful lunch! Not 5 rating because the person behind the preorder didn't even smile when I politely asked and thank her for refilling the water pitcher.",June 2019,Michael's Sourdough Sandwiches,https://www.tripadvisor.com/Restaurant_Review-g33037-d5052078-Reviews-Michael_s_Sourdough_Sandwiches-San_Rafael_Marin_County_California.html,"San Rafael, California",restaurants,4.0,4.5
Closeup of a 15th century castle,"Prior our tour's ride thru the Ring of Kerry drive, we stopped and walked to the ruins of Ross Castle. Walking thru the ruins gave another perspective from viewing from the coach. It's amazing how some of these ancient structures remained standing. Ireland has another of my deep appreciation for its history. Self-guided with a detailed description of Ross Castle's history.",May 2019,Ross Castle,https://www.tripadvisor.com/Attraction_Review-g186612-d215124-Reviews-Ross_Castle-Killarney_County_Kerry.html,"Killarney, Ireland",attractions,4.0,4.5
Appreciate Ireland's Natiional Park,"Our tour included a ride thru Killarney National Park and we admired the natural beauty. This month of May had not ""Spring"" yet, so no heather or colors. Love the ""Leprechaan crossing"" sign. An enjoyable scenic ride.",May 2019,Killarney National Park,https://www.tripadvisor.com/Attraction_Review-g186612-d218643-Reviews-Killarney_National_Park-Killarney_County_Kerry.html,"Killarney, Ireland",attractions,5.0,5.0
Exhibit of Ireland history & the Titanic,"This attraction was included in our tour of Ireland and has proven to be interesting and informative. A modern museum with some hands-on tools for historical experience, a panoramic screen of the Titianic's decks, examples of the era, and the downfall details of the Titanic. A wonderful education of Ireland and the Titanic.",May 2019,Titanic Belfast,https://www.tripadvisor.com/Attraction_Review-g186470-d2322884-Reviews-Titanic_Belfast-Belfast_Northern_Ireland.html,"Belfast, United Kingdom",attractions,4.0,4.5
A Block From High Street,"After our city tour and visiting the Edinburgh Castle we walked High Street and discovered the many tunnels and stairways. We found The Doric, walked up more stairs, were greeted, and seated us. I researched The Doric and the cod-fish 'n chips were excellent; the best in our 10 day tour. My Homemade Shepards Pie with snap peas and long beans were delicious, along with half pint Guinness. Service was slow, requested for water and check, but the food was great.",May 2019,The Doric,https://www.tripadvisor.com/Restaurant_Review-g186525-d1316522-Reviews-The_Doric-Edinburgh_Scotland.html,"Edinburgh, United Kingdom",restaurants,4.0,4.5
Excellent Fish 'n Chips,"We've become fish 'n chips connoisseurs on this Scotland/Ireland tour. I researched Quinlans at home and our guide recommended it too. Walking distance from our hotel, was greeted and a table of four was ready. Small dining room so the tables were close. The seafood chowder bowl was hearty; fresh fish and fried squid/calamari were cooked just right. Our last fish 'n chips which is added to wonderful memories of this tour.",May 2019,Quinlans Seafood Bar,https://www.tripadvisor.com/Restaurant_Review-g186612-d2213105-Reviews-Quinlans_Seafood_Bar-Killarney_County_Kerry.html,"Killarney, Ireland",restaurants,4.0,4.5
"Lovely ""Castle Hotel","We arrived after viewing the Cliffs of Moher on our tour and had to wait a bit for our group's checkin. Bunratty was our last stay in Ireland and accommodations were top notched. Everyone was friendly and helpful. The Medieval Castle Banquet was included which the show and food was a wonderful experience. We used their laptop under the stairs to checkin and print our boarding passes. Breakfast was more than adequate; all the Scottish fare, fruits, cereal, etc.",May 2019,"Bunratty Castle Hotel, BW Signature Collection",https://www.tripadvisor.com/Hotel_Review-g212526-d215259-Reviews-Bunratty_Castle_Hotel_BW_Signature_Collection-Bunratty_County_Clare.html,"Bunratty, Ireland",hotels,4.0,4.0
Yummy Fish 'n Chips,"Before our tour starts we had lunch here. In an alleyway, up the stairs, Chippy Doon was welcoming, roomy/high ceilings, and clean. Fish 'n chips were great. Service was prompt. A lovely lunch.",May 2019,The Chippy Doon The Lane,https://www.tripadvisor.com/Restaurant_Review-g186534-d732292-Reviews-The_Chippy_Doon_The_Lane-Glasgow_Scotland.html,"Glasgow, United Kingdom",restaurants,4.0,4.0
Good walk for tourists and locals,"From our hotel it was an easy walk slightly downhill with lots to see, shop, and dine. Mix of old and new buildings with little alleyways. Very spacious boulevard, clean and safe. We walked this street to search for the fish 'n chips restaurant for lunch which we found easily. We also looked into the local's ""dollar"" and grocery stores. Plazas and other ancient buildings nearby. A fun and interesting walk.",May 2019,Buchanan Street,https://www.tripadvisor.com/Attraction_Review-g186534-d217924-Reviews-Buchanan_Street-Glasgow_Scotland.html,"Glasgow, United Kingdom",attractions,4.0,4.5
Authenic Chinese Food,"After 12 hours of flying and arriving Glasgow 7:30PM, we wanted to dine close to our hotel. Researched this Chinese restaurant at home and we walked 5 blocks from hotel. Large dining hall and all the Asian decorations. Menu had many selections and the Cantonese dishes were familiar as in the US. Good portions and similar flavors as back home. House soup was comfort food; the duck/bbq pork/roast pork over rice, and tofu/mushroom/black fungus/snap peas dishes were very good. Communication with the waitresses was fine and service was good.",May 2019,Loon Fung Restaurant,https://www.tripadvisor.com/Restaurant_Review-g186534-d3847134-Reviews-Loon_Fung_Restaurant-Glasgow_Scotland.html,"Glasgow, United Kingdom",restaurants,4.0,4.0
Centralized and easy walk,"A professional and experienced hotel for worldly travelers. The desk welcomed us with warm chocolate cookies. Spacious room, comfortable beds, and provided blankets which we always replaced the heavy down comforters. European tubs seemed to all have high ledges so there were grab bars to use. Breakfast was fantastic, had the ""Scottish"" porridge, haggis, blood sausage, eggs, sausages, potato scone and coffee at the buffet. Service was excellent. Everything was walking distance; Mark & Spencer for money exchange, City Center for shopping/dining. Wonderful memories of Glasgow--our first day in Scotland.",May 2019,Doubletree by Hilton Hotel Glasgow Central,https://www.tripadvisor.com/Hotel_Review-g186534-d188992-Reviews-Doubletree_by_Hilton_Hotel_Glasgow_Central-Glasgow_Scotland.html,"Glasgow, United Kingdom",hotels,4.0,4.0
Cozy Pub,"Down the street from our hotel and also recommended by our tour guide, this pub met my research prior our trip. The lamb shank was the best I have eaten for a long time and the baked cod with herb crust was perfect. Service was attentive and the ambiience was warm and inviting. No desserts though, the Guinness was good.",May 2019,O'Neills Victorian Pub & Townhouse,https://www.tripadvisor.com/Hotel_Review-g186605-d254397-Reviews-O_Neills_Victorian_Pub_Townhouse-Dublin_County_Dublin.html,"Dublin, Ireland",hotels,4.0,4.0
Fresh local fish,"Parking lot in front of the blue structure, menu overhead which had so much to study as first timers. Gave order to friendly counterpersons, grab sitting in the rolls of picnic benches. Many poke options, flavorful ""clam""/seafood chowder, and plate lunches; many locals here for lunch. Will come back.",December 2018,Fresh Catch,https://www.tripadvisor.com/Restaurant_Review-g60982-d1625571-Reviews-Fresh_Catch-Honolulu_Oahu_Hawaii.html,"Oahu, Hawaii",restaurants,4.0,4.5
Overrated,"Our server seated us right away since we were waiting at 10AM. Pang was courteous and accommodating. Limited photo menu which made it easier for new dim sum diners. Dishes were fresh but some lack flavor, quantity was small, but the Jasmine tea we ordered was fabulous. Open air restaurant so watch out for the sparrows. This branch does not match the Hong Kong Michelin star rating. To try once is enough.",December 2018,Tim Ho Wan,https://www.tripadvisor.com/Restaurant_Review-g60982-d14061272-Reviews-Tim_Ho_Wan-Honolulu_Oahu_Hawaii.html,"Oahu, Hawaii",restaurants,3.0,4.0
Met expectations,"Read about this ""new"" restaurant in busy Waikiki which is located next door to Laylow Hotel. Industrial setting, menu overhead, order at the counter, get a number and server brings your order to your table. Friendly service and delicious fresh fish dishes. Will be back.",December 2018,Paia Fish Market,https://www.tripadvisor.com/Restaurant_Review-g60982-d15054181-Reviews-Paia_Fish_Market-Honolulu_Oahu_Hawaii.html,"Oahu, Hawaii",restaurants,5.0,4.5
"Bright, clean and organized","We were in the area and checked the Island Princess products here. It looked like they stock all the Island Princess food stuff. Keep in mind the size and price of the item because the same item can be on sale elsewhere. Free parking, complimentary coffee tasting, and clean restrooms.",December 2018,Island Princess Hawaii - Macadamia Nut Factory Outlet,https://www.tripadvisor.com/Attraction_Review-g60982-d5602045-Reviews-Island_Princess_Hawaii_Macadamia_Nut_Factory_Outlet-Honolulu_Oahu_Hawaii.html,"Oahu, Hawaii",attractions,3.0,4.5
Fresh taro chip samples,We vistied here while we were in the industrial Sand Island area. They have expanded to across the street which allowed more parking. Not easy to find but sampling fresh taro chips is an experience. Ladies are friendly and are promoting the products.,December 2018,Hawaiian Chip Company,https://www.tripadvisor.com/Attraction_Review-g60982-d2229223-Reviews-Hawaiian_Chip_Company-Honolulu_Oahu_Hawaii.html,"Oahu, Hawaii",attractions,4.0,5.0
