title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great girls weekend,"Stayed here one night
Great location, right opposite beach
Modern decor, mezzanine floor
Spacious, poolside view
Chocolates and wine on arrival
Spa bath
Discount food for the Rye Hotel
Walking distance to shops and eateries
Friendly staff
Private parking
Will return",May 2021,Rye Hotel Accommodation - One Four Nelson,https://www.tripadvisor.com/Hotel_Review-g499625-d518343-Reviews-Rye_Hotel_Accommodation_One_Four_Nelson-Rye_Mornington_Peninsula_Victoria.html,"Rye, Australia",hotels,5.0,4.0
Lovely eatery,"Booked restaurant on a Saturday night to find it very busy.
Under staffed, only one waitress
Meal delicious and very tasty
BYO wine
Worth a visit",May 2021,Ruby Modern Thai Restaurant,https://www.tripadvisor.com/Restaurant_Review-g499625-d1818634-Reviews-Ruby_Modern_Thai_Restaurant-Rye_Mornington_Peninsula_Victoria.html,"Rye, Australia",restaurants,4.0,4.0
Entertaining atmosphere,"We were away for a sibling getaway and stopped by the Rye Hotel.
Despite not eating there, we enjoyed the solo artist that performed, he engaged the crowd well.
Small pokies area, bar attendance great, clean amenities, well positioned in main street.",May 2021,The Rye Hotel,https://www.tripadvisor.com/Restaurant_Review-g499625-d783608-Reviews-The_Rye_Hotel-Rye_Mornington_Peninsula_Victoria.html,"Rye, Australia",restaurants,4.0,3.5
1st glamping experience,"I'm.so excited to say that my first ever glamping experience exceeded my expectations.
Hosts Lucy and Josh and gorgeous daughter Harriet are very welcoming , friendly, professional and Josh is an amazing cook.
The glamping tents have all the comforts, amazing soft queen bed, quality linen, mood lighting, outdoor chairs, solar lightening , charging station, decor tasteful.
Very warm and cosy, small heater if needed.
Situated on a beautiful property with all the country charm.
Large gums, picturesque scenery, wildlife, clean amenities, amazing camp kitchen, fire pit.
If you're looking for a new experience close to town this is it.
Highly recommend, we will be back
Thanks again Josh and Lucy",March 2021,Mansfield Glamping,https://www.tripadvisor.com/Hotel_Review-g552207-d21345772-Reviews-Mansfield_Glamping-Mansfield_Victoria.html,"Mansfield, Australia",hotels,5.0,5.0
Waterfall breathtaking,"We drove up to Snobs falls and didn't expect the falls to be flowing so heavily
Very picturesque, some gorgeous fungi on the trees as well as bird life.",March 2021,Snobs Creek Falls,https://www.tripadvisor.com/Attraction_Review-g552167-d12128251-Reviews-Snobs_Creek_Falls-Eildon_Victoria.html,"Eildon, Australia",attractions,5.0,4.5
Well presented park,"We decided last minute for a getaway and decided to take our two dogs for their very first caravan experience.
The staff were very friendly, accommadating and professional.
The park and all the facilities and more.
Dog friendly, jumping pillow, pool, playground, river , games room and children's playground.
There are many different cabins to also choose from with powered and non powered sites.
Lots of dog poo bags scattered throughout the park and its big enough for the dogs to be walked.
You can hire fire pits and buy firewood.
The amenities where we were positioned were entry by key , very clean and modern
There is a general large toilet block without key entry.
Overall it was a lovely friendly park, with all the comforts.
Well equipped camp kitchen as well.
We are definately coming back.
Thanks Nola for making out getaway possible.",March 2021,Eildon Riverside Holiday Park,https://www.tripadvisor.com/Hotel_Review-g552167-d3854458-Reviews-Eildon_Riverside_Holiday_Park-Eildon_Victoria.html,"Eildon, Australia",hotels,5.0,4.0
Won't return,"My partner and I visited here for the first time on the weekend
What appeared a dated exterior, we were surprised to find a modern interior.
Staff were friendly on arrival and we requested to sit out on the lower deck outside, was far too windy for the upper deck
Drinks overpriced so we only had one each
Meal service quick but the chicken Parma was small and the chips had no flavour.
Unfortunately the side salad was bland and not very well presented.
I paid $30 for the calamari and chips which wasn't a disappointment.
Despite the calamari being tender and yes I we won't be returning, overpriced for pub meal",February 2021,Dava Hotel,https://www.tripadvisor.com/Restaurant_Review-g1066994-d5779386-Reviews-Dava_Hotel-Mt_Martha_Mornington_Peninsula_Victoria.html,"Mt Martha, Australia",restaurants,3.0,3.5
Lovely afternoon out,"First time visiting the brewery with my partner
Lovely, friendly staff on arrival
Intimate space not over crowded
Choice of indoor seating or outdoor
Very rustic, festoon lighting , beautiful trees
Cider very tasty, beer paddle a hit
My partner chose the pork ribs was a little disappointed by the portion size but extremely tasty
Would recommend for small groups or couples
Looking forward too visiting again",December 2020,Red Hill Brewery,https://www.tripadvisor.com/Restaurant_Review-g552249-d1989787-Reviews-Red_Hill_Brewery-Red_Hill_Mornington_Peninsula_Victoria.html,"Red Hill, Australia",restaurants,4.0,4.0
Beers & cheers,"My son decided to meet here for dinner on a Thursday night...
To our surprise we managed to book the last table.
Quite spacious downstairs with a few tables upstairs.
We arent members but enjoy their different specials they have each might of the week...Thursday night's are $14.99 burger and chips compared too $21 normal price.
Meal was great and filling service punctual despite their full eatery.
There is an upstairs sports bar but unfortunately not much of a view.
Plenty of tv large im size adorn the eating area.
The only negative i thought were the pricey drinks.
I'll definately be back, varied ages present.",February 2020,The Sporting Globe Knox,https://www.tripadvisor.com/Restaurant_Review-g255100-d19501340-Reviews-The_Sporting_Globe_Knox-Melbourne_Victoria.html,"Melbourne, Australia",restaurants,4.0,3.0
Stylish,"Apparently opened for now for 12 months we decided too take my mother inlaw for a country drive, and ended up here.
Despite being the long weekend we got a table.
The decor is tasteful, crisp with many hues of green.
There are 3 areas to the choose from when entering, the main dining area, coffee type lounge and a few tables outside.
The staff are very friendly, all matching attire, they had ran out of almond milk which was disappointing for someone that doesnt drink full cream or soy.
Wine via glass and bottle $$$
Menu was locally sourced, very small dishes and again a little on the pricey side.
Bread was served free with dipping oil, food came quickly and no doubt very tasty.
I admired the concrete flooring, large vases with green and white flowers, high ceilings, well maintained grounds and groves of olive trees made interesting pictures.
The road leading to the grove is gravel for those with prized cars whom cringe of dust and duco chips from small stones.
A lovely place for a special occassion, menu didnt appear kid friendly.",January 2020,The Grove Gippsland,https://www.tripadvisor.com/Restaurant_Review-g2260744-d16845094-Reviews-The_Grove_Gippsland-Krowera_Victoria.html,"Krowera, Australia",restaurants,3.0,4.0
Interesting place,"We arrived with a group of friends driving panelvans to the Buxton pub.
It was late in the afternoon to find the pub quite empty.
The bar attendant was very social and made us feel welcome. Large bistro out the back, lots of deer heads and quirky signs throughout, small bar with pool table and atari game. Large outdoor deck great to catch up with friends .....
Would highly recommend apparently they even have a free bus too collect people from nearby caravan parks.
Drinks reasonable prices, unsure about meals as we only stopped for a drink...",December 2019,Buxton Hotel Bistro,https://www.tripadvisor.com/Restaurant_Review-g1777251-d3434590-Reviews-Buxton_Hotel_Bistro-Buxton_Victoria.html,"Buxton, Australia",restaurants,4.0,4.0
Different,"First time on the weekend for my partnera birthday.
Restaurant very quite, prices pricey, staff lovely, recommend seafood pizza.
Not alot of choices for beer.
Outdoor eating area nice
Ordered nutella donuts to be given x 3 small nutella filled donuts for $16
5/10 prob wont return",December 2019,Mozza Pizzeria Napoletana,https://www.tripadvisor.com/Restaurant_Review-g580504-d12843541-Reviews-Mozza_Pizzeria_Napoletana-Doncaster_Manningham_Greater_Melbourne_Victoria.html,"Doncaster, Australia",restaurants,3.0,3.5
Never disappoints,"This is the 4th time i have climbed to Mt Oberon.
The climb is a gradual incline with some steps as you ascend to the top.
There are seats on the way if you need a rest and view points to take in the beauty.
On arrival to the top you are welcomed with spectacular views of the ocean, mountains and tidal river campsite.
Its a great place to gather thoights, take time to breathe it all in and take some memorable snaps. It does get windy at the top so hold onto your hats. Suitable for all age groups and fitness levels.
3km one way on average should take an hr to the top.
Good idea to take hat, water amd sunscreen.
Toilets in carpark at the start.
One not to miss at the Prom",November 2019,Mt Oberon Summit Walk,https://www.tripadvisor.com/Attraction_Review-g679085-d8122078-Reviews-Mt_Oberon_Summit_Walk-Wilsons_Promontory_National_Park_Gippsland_Victoria.html,"Wilsons Promontory National Park, Australia",attractions,5.0,4.5
Wonderful private walking tour,"From the moment we booked our walking tour in Athens with Antosis we felt completely at ease. He is a kind gentle soul with a passion for his home town city Athens. He took us too places that we never would have found on our own and personalised the trip to our liking. His English and communication skills are excellent and I wouldnt hesitate too both another trip with him.
He managed to show us the best gelato place, baklava and souvlaki resturants in town.
Thanks so much Antosis it was a pleasure to meet you",October 2019,Withlocals,https://www.tripadvisor.com/Attraction_Review-g189400-d12429012-Reviews-Withlocals-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
"Adventure, fun & friendship","I have now completed two overnight hikes with The Hiking Society.
John is very professional and makes the hikes not only interesting and challenging but overall safe and friendly.
John has all the correct safety measures in place for himself and the hiker and caters for all level of fitness.
I feel the business provides a unique speciality providing camping gear guides transport and food for those longer hikes.
The hikes offered are varied in location, distance and grades. John can even provide private hiking for friends for a group of 5 or more.
I thoroughly recommend The Hiking Society for those wishing to start their hiking journey or for the regular enthusiasts that are looking for their next challenge.",October 2019,The Hiking Society,https://www.tripadvisor.com/Attraction_Review-g255100-d15769896-Reviews-The_Hiking_Society-Melbourne_Victoria.html,"Melbourne, Australia",attractions,5.0,5.0
Overrated,"I expected this place tp be the hype of activity, but it smelt and wasnt very appealing. This is the hun of transport for taxis and hop on hop off buses.
It really could do with some life",October 2019,Monastiraki,https://www.tripadvisor.com/Attraction_Review-g189400-d265865-Reviews-Monastiraki-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.0
Busy tourist place,"My partner and I decided not to go with a tourist company and walk up on our own.
It took 20 mins from our apartment.
Amazing historical place of interest too many tourists.
It cost $20 euro for entry to the Acropolis.
Crowds lined the path but i wasnt missing out.
Worth the visit ...simply breathtaking",October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Unique find in a fantastic location,"My partner and I arrived around 930pm bia airport with arranged transportation to the hotel.
On arrival we were greeted by a very friendly gentleman that showed us to our room.
It has 15 rooms over 3 levels with a gorgeous rooftop bar/dining overlooking the Acropolis.
The decor from the moment we stepped inside had the wow factor. Hues of gray white and black filled the corridors and rooms.
Large chandeliers hung from the ceilings with beautiful ceiling roses. We chose a corner balcony suite which was quite spacious with x 3 small balconies opening up to different views of the street.
A gorgeous chime of church bells ring on the hour.
Breakfast was plentiful, not a huge choice but enough for myself and partner.
Great location walking distance to the acropolis , flea market, fresh produce market and historical sites.
Overall very impressed what the suites offer and would highly recommend.
Just be aware of the marnle staircase it can be slippery",October 2019,Athens Mansion Luxury Suites,https://www.tripadvisor.com/Hotel_Review-g189400-d13826069-Reviews-Athens_Mansion_Luxury_Suites-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.5
Nephews birthday,"We decided to celebrate my nephew's birthday party on a Sunday night.
It was quite busy suggesting its a great place to eat.
The younger children enjoyed the playground, I was enjoying the craftsmanship of the rock walls featured throughout the dining area. Large timber beams with quirky lighting are also a grrat talking piece.
Well equipped bar at reasonable prices.
The only disappointed was my meal.
I ordered the calamari which was tasteless and smothered with a mix of two different lettuce and dried noodles.
Other family members appeared happy with theirs.
Waitresses were pleasant , we didnt have to pay for cakeage which was a bonus.
Would recommend for large groups.
7/10",August 2019,Newmason,https://www.tripadvisor.com/Restaurant_Review-g552270-d8617248-Reviews-Newmason-Warragul_Gippsland_Victoria.html,"Warragul, Australia",restaurants,3.0,3.5
Blown away,"My partner and I decided to make a dinner booking for the bistro on a Saturday night.
Service friendly and swift, well priced, large meals. The complex is very lush with modern decor, swanky bar lounge, frinkle icecream bar, function room, tab, pokies and a room for over 18 Junction, with fires dj and cafe style seating.
We we so impressed by everything, would highly recommend.
Neat casual attire.",August 2019,Moama Bowling Club,https://www.tripadvisor.com/Restaurant_Review-g255324-d1604718-Reviews-Moama_Bowling_Club-Moama_New_South_Wales.html,"Moama, Australia",restaurants,5.0,4.0
Last minute getaway ...well worth it,"My partner and I decided last minute to escape Melbourne and head to Moama.
The Riverspa apartments ticked all our requirements for what we called a romantic escape.
On arrival we were greeted by a bush setting residing right beside the river, featuring outdoor pool, river side fireplace with surrounding seating, gorgeous manicured gardens and lawn with an ambundance of gums and bird attracting natives.
The apartments are quite well spaced with plenty of room for the car.
On entry to our studio apartment we were taken back at the presentation and cleanliness of our hideaway.
It featured king bed, kitchenette, tv, bathroom with large double spa, outdoor veranda with bbq
Very happy with everthing the apartments offer .
Highly recommend",August 2019,Riverspa Apartments,https://www.tripadvisor.com/Hotel_Review-g255324-d1672410-Reviews-Riverspa_Apartments-Moama_New_South_Wales.html,"Moama, Australia",hotels,5.0,5.0
Very busy but worth the wait,"I had often ducked into Franks cakes to pick up the odd slice or cake, but this morning we finally decided to sit and have brunch.
Unfortunately despite it being not overcrowded the young lady at the counter said they were under staffed.
It meant we were to order at the counter instead of seated ordering, i gathered our own glasses and jug .
The waitress was doing her best to please everyone, and we didnt end up waiting too long for the meal.
I ordered eggs benedict with ham and my partner had Franks big breakfast.
The presentation was on point as was the taste.
This experience hasnt turned me off eating here again, im actually looking forward to the next time.",April 2019,Franks cakes,https://www.tripadvisor.com/Restaurant_Review-g3734161-d4721646-Reviews-Franks_cakes-Ferntree_Gully_Greater_Melbourne_Victoria.html,"Ferntree Gully, Australia",restaurants,4.0,4.0
Deliciousness,"My partner and I have been living a few suburbs away for awhile and had heard this place is amazing.
We decided to give it a trial for breakfast one Sunday.
We didnt book, and managed to get the last table for rwo.
It was busy and obviously very popular.
Not only is the resturant busy but there was a continual flow of coffee lovers getting their morning fix.
Lots to choose from the menu , and a small selection of specials also.
The array of cakes, muffins and slices too choose from left me pondering for 15 minutes on what too choose.
Over great service, friendly atmosphere and fantastic value for money..",April 2019,Montanos Patisserie Cafe,https://www.tripadvisor.com/Restaurant_Review-g2671359-d8801378-Reviews-Montanos_Patisserie_Cafe-Bayswater_Greater_Melbourne_Victoria.html,"Bayswater, Australia",restaurants,5.0,4.0
Getaway,"We booked the inn for the historical component..built in 1859
Location right in town
Rooms very dated
Beds old wire base very squeaky
Lack of power points in room and the one that was there was right under the bed
Noisy being above a pub
Good views from balcony
Close too beach
Amenities clean showers hot
Communial lounge with small fridge
You pay for what you get
Disappointed",February 2019,Caledonian Inn,https://www.tripadvisor.com/Restaurant_Review-g495037-d1583673-Reviews-Caledonian_Inn-Robe_South_Australia.html,"Robe, Australia",restaurants,2.0,4.0
Mother nature at its best,"My mum and I wwnt to visit the Mareeba rock wallabies at Granite Rock.
You enter via a camping ground.
Unfortunately we couldnt do the complete walk due too flooding.
You can buy a bag of feed for $2 to feed the wallabies and we also got to feed mother and her baby peacocks.
There are other animals and birds of interest to view ...
Overall great afternoon out.
Suited for all group types",February 2019,Granite Gorge Nature Park,https://www.tripadvisor.com/Attraction_Review-g499671-d1590526-Reviews-Granite_Gorge_Nature_Park-Mareeba_Queensland.html,"Mareeba, Australia",attractions,5.0,4.5
"Great selection, fresh food","9 of us turned up to get some lunch
Lovely bakery with all the trimmings
Good food, can eat inside or outside
Friendly staff
Recommend the foccias",January 2019,Mount Beauty Bakery,https://www.tripadvisor.com/Restaurant_Review-g552218-d8506675-Reviews-Mount_Beauty_Bakery-Mount_Beauty_Victoria.html,"Mount Beauty, Australia",restaurants,5.0,3.5
Great central spot,"Our hiking leader booked this park for a night while we explored Rollasons falls and Mt Beauty.
Great location, 10 min drive too Bright.
The park.is clean, spacious and has a mixture of permanent sites, tents, caravans powered and unpowered.
There were 9 of us camping, they positioned us near gorgeous willow trees close to amenities and camp kitchen.
The oven river back onto tue caravan park was a short walk .
There is a games room, amentities modern and clean.
Our friends were happy too find a coffee van present in the morning.
Overall very happy with our stay.
Appeared family friendly, welcoming.
Guest carpark.",January 2019,Mt Buffalo Caravan Park,https://www.tripadvisor.com/Hotel_Review-g1390132-d8075622-Reviews-Mt_Buffalo_Caravan_Park-Porepunkah_Victoria.html,"Porepunkah, Australia",hotels,5.0,4.0
Great icon,"We were staying in Robe and took the road trip to Kingston SE.
I was last at Kingston 22 yrs ago, was so lovely to see the big lobster still there.
I had heard from a local in Robe that someone from the West wanted to buy it and move it.
Worth the stop,worth staying where its meant too",January 2019,The Big Lobster,https://www.tripadvisor.com/Attraction_Review-g261648-d584445-Reviews-The_Big_Lobster-Kingston_SE_South_Australia.html,"Kingston SE, Australia",attractions,5.0,3.5
Beautiful park lovely hosts,"We booked last minute and Kerryn helped us out with getting a lovely powered site with our caravan.
Lovely bush type setting 5 mins drive into town
Grassy areas, jumping pillow for kids, camp kitchen and clean amenities.
Close to bike path and drive to beaches
TV reception wasnt great for us but the reception have gold coin donation DVD hire.
Not that I drink coffee, but there is a little coffee caravan daily for those that need their fix
Beautiful mulberry trees in the park
Would highly recommend this park its very family friendly.
Thanks for a wonderful stay",January 2019,Robe Holiday Park,https://www.tripadvisor.com/Hotel_Review-g495037-d6411657-Reviews-Robe_Holiday_Park-Robe_South_Australia.html,"Robe, Australia",hotels,5.0,4.5
