title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Rooftop view was the only nice thing.,"The rooftop view here is exceptional but that's the only thing that was exceptional. The rooms were outdated and not what you would expect from somewhere saying they were 5 star. the breakfast is dismal and only some of the staff are friendly. Its almost like you have to pick and choose who you talk to which is quite sad. Needless to say what was the tip of the iceberg was we asked for a recommendation on our last night, hoping that we would get a recommendation of at least somewhere amazing to eat to remember our trip. They recommended a restaurant called Liondi. Being traditional we were expecting something amazing but the food wasn't even one of the best places we ate. Not only that, there were so many smokers at the tables all you could really taste was smoke (yes i know where in Europe, but most Europeans have the decency to smoke on the tables around the outside of the restaurant) and I'm almost certain the chef came out for a smoke as well near the tables. The prices were also very high for what they offered especially with that environment. So overall this was a terrible stay in a run down hotel and then a terrible last night, off the recommendation of staff who i expected would know great places to eat. Would have given a second star is they at least gave a great recommendation of a restaurant to eat at.",September 2019,Royal Olympic,https://www.tripadvisor.com/Hotel_Review-g189400-d206779-Reviews-Royal_Olympic-Athens_Attica.html,"Athens, Greece",hotels,1.0,4.0
Amazing view!,Its amazing to see the view from up here. Its very windy but that doesn't take away from all its glory. Only go up on a slightly warmer day because the heat can kill you.,September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Okay museum,"The museum is good for a hot day, but not as great as i was expecting. It feels disjointed to the climb up to the acropolis.",September 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,3.0,4.5
So interesting!,This place is very interesting! Definitely visit on a day that its not to hot because you'll be out in the sun but its still really interesting to see.,September 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Highlight of my trip,This museum is absolutely spectacular! There are no words to describe how amazing it is! you could spend a whole day here.,September 2019,Skip the Line: Rijksmuseum Amsterdam Entrance Ticket,https://www.tripadvisor.com/AttractionProductReview-g188590-d12863522-Skip_the_Line_Rijksmuseum_Amsterdam_Entrance_Ticket-Amsterdam_North_Holland_Provin.html,"Amsterdam, The Netherlands",activities,5.0,4.5
Interesting visit,"Its was really interesting to see all the windmils and what they did, some of them still work which is so amazing and the owners are so happy to explain what they do and how long they have been doing it for.",September 2019,"Volendam, Marken and Windmills Day Trip from Amsterdam",https://www.tripadvisor.com/AttractionProductReview-g188590-d11447689-Volendam_Marken_and_Windmills_Day_Trip_from_Amsterdam-Amsterdam_North_Holland_Prov.html,"Amsterdam, The Netherlands",activities,5.0,4.0
OMG this place is so cool!,This is the most amazing place ever! I think its a great way to find places where you might want to visit without having to spend all you time on the internet. Its so beautiful.,September 2019,Madurodam,https://www.tripadvisor.com/Attraction_Review-g188633-d191224-Reviews-Madurodam-The_Hague_South_Holland_Province.html,"The Hague, The Netherlands",attractions,5.0,4.5
Its small but still great!,"This place is very small so its quick to get through which is nice, but its still worth the visit which is even better! Its also very easy to get to by train and a short walk.",September 2019,The Mauritshuis Royal Picture Gallery,https://www.tripadvisor.com/Attraction_Review-g188633-d195877-Reviews-The_Mauritshuis_Royal_Picture_Gallery-The_Hague_South_Holland_Province.html,"The Hague, The Netherlands",attractions,5.0,4.5
Amazing to see!,People have always talked about it and now i finally got to see it and it was so interesting. Different to what i expected. Definitely a must see.,September 2019,Red Light District,https://www.tripadvisor.com/Attraction_Review-g188590-d190584-Reviews-Red_Light_District-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",attractions,5.0,4.0
Very busy square,"This square is very busy, its almost impossible to get a good photo but still its nice to see a great building in the flesh.",September 2019,Dam Square,https://www.tripadvisor.com/Attraction_Review-g188590-d189381-Reviews-Dam_Square-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",attractions,4.0,4.0
The station is beautiful,The station itself is very beautiful from the outside. the staff inside are also very happy to help you get the right ticket to wherever you want to travel to.,September 2019,Centraal Station,https://www.tripadvisor.com/Attraction_Review-g188590-d190573-Reviews-Centraal_Station-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",attractions,5.0,4.5
Amazing!,Definitely book an early time slot if possible as when we walked past later the line was very long. The museum itself was so interesting to see!,September 2019,Van Gogh Museum,https://www.tripadvisor.com/Attraction_Review-g188590-d190554-Reviews-Van_Gogh_Museum-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",attractions,5.0,4.5
This place is so amazing!,Its so amazing to see this roundabout in person with the Arc de Triomphe! Its so cool to see how all the streets lead to this center point!,September 2019,Arc de Triomphe,https://www.tripadvisor.com/Attraction_Review-g187147-d188709-Reviews-Arc_de_Triomphe-Paris_Ile_de_France.html,"Paris, France",attractions,5.0,4.5
Vibe is amazing!,"The vibe is absolutely amazing and its great to see the show for the first time, but its is very expensive. So keep that in mind.",September 2019,Paris Moulin Rouge Cabaret Show with Champagne Only or Dinner,https://www.tripadvisor.com/AttractionProductReview-g187147-d11450391-Paris_Moulin_Rouge_Cabaret_Show_with_Champagne_Only_or_Dinner-Paris_Ile_de_France.html,"Paris, France",activities,4.0,4.5
Great way to see paris,If your not much of a walker this is a great way to see Paris. It is also fairly cheap which is nice.,September 2019,Seine River Hop-On Hop-Off Sightseeing Cruise in Paris,https://www.tripadvisor.com/AttractionProductReview-g187147-d11453295-Seine_River_Hop_On_Hop_Off_Sightseeing_Cruise_in_Paris-Paris_Ile_de_France.html,"Paris, France",activities,4.0,4.0
So beautiful!,This is definitely a must if your ever in Paris! The museum is amazing and has so much history. You won't be able to do it one day but definitely pic what you want to see before you go in and its amazing!,September 2019,Louvre Museum,https://www.tripadvisor.com/Attraction_Review-g187147-d188757-Reviews-Louvre_Museum-Paris_Ile_de_France.html,"Paris, France",attractions,5.0,4.5
