title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Our stop over in dubbo,This motel exceeds all exceptions The staff are amazing and the rooms are quite large and comfortable. It is close to the town centre which is an easy walk. We have dinners at the RSL club which was only 2 blocks away and food was good. Highly recommend this motel,April 2021,The Palms Motel Dubbo,https://www.tripadvisor.com/Hotel_Review-g255320-d1774530-Reviews-The_Palms_Motel_Dubbo-Dubbo_New_South_Wales.html,"Dubbo, Australia",hotels,5.0,4.5
Meal time,"This RSL is amazing and so friendly. The food is good and the meals are large in size
The staff are so happy to assist recommend",April 2021,Dubbo RSL Bistro,https://www.tripadvisor.com/Restaurant_Review-g255320-d21115864-Reviews-Dubbo_RSL_Bistro-Dubbo_New_South_Wales.html,"Dubbo, Australia",restaurants,4.0,2.0
Zoo travel,This was a very informative and interesting place The history is amozing and they have performances at various times of the day Recommend,April 2021,Old Dubbo Gaol,https://www.tripadvisor.com/Attraction_Review-g255320-d2097439-Reviews-Old_Dubbo_Gaol-Dubbo_New_South_Wales.html,"Dubbo, Australia",attractions,4.0,4.5
Zoo time,This is worth every Penny. We arrived at 8.30 for the gates to open and then to the sarfarri bus which went for 15 mins Cost $10 per adult $5per child We spent a whole day there. We drove around and parked at various segments and walked around all the enclosures. Recommend,April 2021,Taronga Western Plains Zoo,https://www.tripadvisor.com/Attraction_Review-g255320-d601046-Reviews-Taronga_Western_Plains_Zoo-Dubbo_New_South_Wales.html,"Dubbo, Australia",attractions,5.0,4.5
Drop in for a coffee break,This place is a cafe that is small but the food is amazing and the staff very helpful and friendly recommend,April 2021,Ciao Thyme,https://www.tripadvisor.com/Restaurant_Review-g552083-d5067060-Reviews-Ciao_Thyme-Balmain_New_South_Wales.html,"Balmain, Australia",restaurants,4.0,4.5
coffee and tea,"dropped in to try this little cafe opposite the public school . The staff were very friendly and the coffee was good. The meals look amazing
recommend",March 2021,Thecrnrexpresso Cafe,https://www.tripadvisor.com/Restaurant_Review-g2642377-d23244028-Reviews-Thecrnrexpresso_Cafe-Caringbah_Sutherland_Shire_Greater_Sydney_New_South_Wales.html,"Caringbah, Australia",restaurants,4.0,4.0
A break after touring Parliament,After checking out all that was too offer in Parliament house we stopped off to have a coffee on the terrace. The view was amazing and coffee and tea good The staff were very friendly,March 2021,Queen's Terrace Cafe,https://www.tripadvisor.com/Restaurant_Review-g255057-d7222852-Reviews-Queen_s_Terrace_Cafe-Canberra_Australian_Capital_Territory.html,"Canberra, Australia",restaurants,4.0,4.0
Must see when in canberra,"It was worth seeing Parliament house although a lot was closed due to covid
Security was constant but very simple procedure",March 2021,Australian Parliament House,https://www.tripadvisor.com/Attraction_Review-g255057-d257668-Reviews-Australian_Parliament_House-Canberra_Australian_Capital_Territory.html,"Canberra, Australia",attractions,4.0,4.5
Dinner tine,The food was delicious. The warm chicken and chilli jam salad was hot but delicious. Staff were good and the meals reasonably priced,March 2021,Thai Cornar,https://www.tripadvisor.com/Restaurant_Review-g255057-d728679-Reviews-Thai_Cornar-Canberra_Australian_Capital_Territory.html,"Canberra, Australia",restaurants,4.0,3.5
Drop in dinner,The staff were once again very friendly and helpful. The meals were delicious and a reasonable size. Recommend,March 2021,Caph's Restaurant & Cafe Bar,https://www.tripadvisor.com/Restaurant_Review-g255057-d723267-Reviews-Caph_s_Restaurant_Cafe_Bar-Canberra_Australian_Capital_Territory.html,"Canberra, Australia",restaurants,4.0,3.5
