title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
History & views of Athens,"This is Athens we see on TV, postcards, movies... the Gods. Hercules... Aside from the obvious (history), you will enjoy the wonderful 360 views of Athens. Easy hike up to the top of the hill where most of the remains are, beauty & history combined. My favorite is the Erechtheion porch. Taking the steps down to Plaka you pass by Choragic Monument of Thrasyllos, “Our Lady in the Cave” church which is unfortunately not open to public & the Theater of Dionysus.",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Top of the Hill,There it stands beautiful on the top of the hill. Breathtaking! Climbing up the stairs I was astonished by the wonderful views of the city and the history marked on every step. Free admission. Totally worth the stairs climbing. was astonished by the wonderful views of the city and the history marked on every step. Free admission. Totally worth the stairs climbing.,June 2018,Basilique du Sacre-Coeur de Montmartre,https://www.tripadvisor.com/Attraction_Review-g187147-d190685-Reviews-Basilique_du_Sacre_Coeur_de_Montmartre-Paris_Ile_de_France.html,"Paris, France",attractions,5.0,4.5
Spiritual Sema ceremony,"I went there to see the Whirling Dervish. The music, the act itself, the voice of the singer, all soothing, serene & simply amazing. On the other hand the venue is beautiful, nicely renovated old building. They did a good job keeping the charm of the building on the top floor where the show is.",March 2019,Hodjapasha Cultural Center,https://www.tripadvisor.com/Attraction_Review-g293974-d3524344-Reviews-Hodjapasha_Cultural_Center-Istanbul.html,"Istanbul, Turkey",attractions,4.0,4.0
Great location,"Good breakfast buffet, great location, good size room. Needs updating here & there. But overall good for value. Again location is amazing a short walk from Topkapı, Hagia Sophia, The blue mosque, museum of archeology, restaurants & my favorite Hafiz Mustafa Baklava & Sweets store.",March 2019,Hotellino Istanbul,https://www.tripadvisor.com/Hotel_Review-g293974-d1456544-Reviews-Hotellino_Istanbul-Istanbul.html,"Istanbul, Turkey",hotels,3.0,4.5
The Bean,One of the 1st monuments that comes to mind when someone visiting asks where to go. A mirror surface sculpture sitting in Millennium Park reflecting Chicago’s gorgeous skyline & your image too.,December 2018,Cloud Gate,https://www.tripadvisor.com/Attraction_Review-g35805-d1134861-Reviews-Cloud_Gate-Chicago_Illinois.html,"Chicago, Illinois",attractions,5.0,4.5
The View!,"Gorgeous view, elevator up then you need to take spiral stairs to the top. There is a restaurant which I didn’t try. I went there for the beautiful 360 view. I got the pass for the Tower top only no extras. Long line but moves fast.",April 2019,Galata Tower,https://www.tripadvisor.com/Attraction_Review-g293974-d295194-Reviews-Galata_Tower-Istanbul.html,"Istanbul, Turkey",attractions,5.0,4.5
Interesting,"Overall interesting, missing the feel of that era as the renovations in some areas are a little bit clumsy resulted in jeopardizing some of the authenticity of the place. Love the mosaic & the domes. Got the 3 day pass for Hagia Sophia, Topkapı & the archeological museum which is a good deal. Remember separate pass for the Harem for 35 Turkish Lr which is ~ $5 USD. Not bad at all.",April 2019,Topkapi Palace,https://www.tripadvisor.com/Attraction_Review-g293974-d294547-Reviews-Topkapi_Palace-Istanbul.html,"Istanbul, Turkey",attractions,4.0,4.5
Astonishing architecture,"You wouldn’t believe that it was built in 537 AD, breathtaking structure, gorgeous domes. You see the overlapped history and overlapped religions in this museum. I bought the ticket for 135 LT (which is a 3 day access to Hagia Sophia, Topkapı Saray & Istanbul Archaeological Museum ~ $25) Which is not bad at all. I believe it’s should be ranked #1 of the spots to visit in Istanbul. From the dome ceilings, mosaic ceilings & arches, fabulous walls, marble & mosaic floors, to the chandeliers, even the resting cats, everything is beautiful.",March 2019,Hagia Sophia,https://www.tripadvisor.com/Attraction_Review-g293974-d294497-Reviews-Hagia_Sophia-Istanbul.html,"Istanbul, Turkey",attractions,5.0,4.5
Magical,"Magical experience, definitely a must if planning on going to Istanbul. You feel like a Sultan or a Sultana for the duration of the amazing experience, from the Hamam, the Bubble bath, sherbet & Turkish delight to the relaxing massage. I loved each & every minute. Not mentioning the great products they use, now a week later my skin is still super soft. Additionally you are receiving the service in a historic Hamam built for Hurrem Sultana, built by Mimar Sinan, amazing architecture, heated marble floors & walls and gorgeous dome ceilings with skylights.",March 2019,Ayasofya Hurrem Sultan Hamami,https://www.tripadvisor.com/Attraction_Review-g293974-d2203570-Reviews-Ayasofya_Hurrem_Sultan_Hamami-Istanbul.html,"Istanbul, Turkey",attractions,5.0,5.0
Christmas lights,"Colorful lights with Christmas music & hot chocolate. It was a perfect visit. Aside from holiday festivities, I love going to the zoo to have a nice walk. Cats (big cats) are my favorite. Also admission is free.",January 2019,Lincoln Park Zoo,https://www.tripadvisor.com/Attraction_Review-g35805-d110153-Reviews-Lincoln_Park_Zoo-Chicago_Illinois.html,"Chicago, Illinois",attractions,5.0,4.5
Beautiful!!!,"Beautiful, beautiful building with gorgeous Tiffany domes, amazing walls and ceilings works. I felt as if I’m inside a piece of Jewelry. Also the admission is free!!!!! A must see!",January 2019,Chicago Cultural Center,https://www.tripadvisor.com/Attraction_Review-g35805-d103785-Reviews-Chicago_Cultural_Center-Chicago_Illinois.html,"Chicago, Illinois",attractions,5.0,4.5
Happiness,"You have to go If you are in the area. Kanafa is amazing tried both the cheese kanafa & cream (qishta) kanafa.”, both are delicious.",December 2018,Shatila Bakery,https://www.tripadvisor.com/Restaurant_Review-g42130-d851653-Reviews-Shatila_Bakery-Dearborn_Michigan.html,"Dearborn, Michigan",restaurants,5.0,4.5
Great flavors,"Lebanese dishes, great flavors! Mix shawarma is delicious. Fattoush, tabouli and kebeh is a great option for an appetizer to share.",December 2018,Al Ameer Arabic Restaurant,https://www.tripadvisor.com/Restaurant_Review-g42130-d1166129-Reviews-Al_Ameer_Arabic_Restaurant-Dearborn_Michigan.html,"Dearborn, Michigan",restaurants,5.0,4.5
The highlight of my visit,Needless to say iconic! It’s incredibly astonishing historical structure. A must see during the day & at night too.,November 2018,Tower Bridge,https://www.tripadvisor.com/Attraction_Review-g186338-d187552-Reviews-Tower_Bridge-London_England.html,"London, United Kingdom",attractions,5.0,4.5
Interesting,"Very interesting, I was more interested in the buildings, walls, doors & huge ravens than the royal family crowns and treasure last. Definitely a must see.",November 2018,Tower of London,https://www.tripadvisor.com/Attraction_Review-g186338-d187547-Reviews-Tower_of_London-London_England.html,"London, United Kingdom",attractions,5.0,4.5
