title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
great place to visit,Covid did us a favour...no queues but be sure to check the opening and closing times - we arrived too late to walk around inside but its pretty awesome standing looking in especially with a fantastic sunset behind you. Really well kept stadium with great views.,September 2020,Panathenaic Stadium,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
exquisitely perfect in every way,"evening meal here, in the atmostphere of evening Athens, a side street brightly lit- music playing, attentive waiters, helpful advice on some of the meal names that we were not familiar with; offered 15% our next meal. we certainly will return next time. I had moussaka; Russel had a meal which was wonderful he says but can't remember the name of it!",September 2020,Plakiotissa Taverna Mezedopolio,https://www.tripadvisor.com/Restaurant_Review-g189400-d1601961-Reviews-Plakiotissa_Taverna_Mezedopolio-Athens_Attica.html,"Athens, Greece",restaurants,5.0,2.5
no queues due to covid,Covid did us a favour when we visited...there wer no q's. awesome views and able to take great photos with no one's head in the way. Very well looked after antiquity,September 2020,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
very light modern and airy museum,"excellent layout of museum with plenty of films to watch, people on hand to answer questions and to top it off glass floors ( which I hated) but its a great idea :)",September 2020,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
awesome trip,"We had a one day trip to two islands (shortened to 2 islands beacuse a storm was approaching. But this trip was our best ever trip. Food was top notch, swimming was perfect; time allocated to go aaboard, and also for swimming were excellent; the abilities of the crew were magnificient...this is one great company to take a boat cruise with :)",September 2020,Argonaut Travel Touristic,https://www.tripadvisor.com/Attraction_Review-g189400-d15218632-Reviews-Argonaut_Travel_Touristic-Athens_Attica.html,"Athens, Greece",attractions,5.0,3.5
great flight this time,"First flight to Athens; we arrived 20 minutes early into Athens..great. Staff were very capable in dealing with disembarking one row at a time, despite people wanting to race off the plane. All was kept in order. Easy jet all the way",September 2020,easyJet,https://www.tripadvisor.com/Airline_Review-d8729066-Reviews-EasyJet,World,flights,5.0,3.5
great place to visit,"very popular place to visit, but we just happened to chose a day when it was great weather, and kids back at school so not so crowded...beautiful contemplative place to be with many walks around.",September 2020,Clapper Bridge,https://www.tripadvisor.com/Attraction_Review-g551652-d4473656-Reviews-Clapper_Bridge-Postbridge_Dartmoor_National_Park_Devon_England.html,"Postbridge, United Kingdom",attractions,5.0,4.5
just the place to be,easy to climb with beautiful views at the top. A great introduction to soem of the mysteries of dartmoor,September 2020,National Park Visitor Centre - Haytor,https://www.tripadvisor.com/Attraction_Review-g186252-d7396405-Reviews-National_Park_Visitor_Centre_Haytor-Dartmoor_National_Park_Devon_England.html,"Dartmoor National Park, United Kingdom",attractions,5.0,4.5
The driver we had was awesome,"his Taxi was clean, he was a great driver, and he was able to tell us where to go in terms of good restaurents, landmarks, cheap yet nutritious food- thank you",September 2020,ATS - Athens Taxi Services,https://www.tripadvisor.com/Attraction_Review-g189400-d7856183-Reviews-ATS_Athens_Taxi_Services-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
exquisitely perfect in every way,"ne good thing about Covid - there were no QUeues to see these ancient monuments. We jsut went straight in, but well kept, plenty of staff around to ask questions, and also to make sure the public respected the old antiquity.",September 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
