title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Drinks,Sat on the second level deck looking at the water while enjoying happy hour. Live music several night a week. We did not eat.,April 2021,Mulligan's Beach House Bar and Grill,https://www.tripadvisor.com/Restaurant_Review-g34332-d593599-Reviews-Mulligan_s_Beach_House_Bar_and_Grill-Jensen_Beach_Florida.html,"Jensen Beach, Florida",restaurants,4.0,3.5
Wonderful!,We enjoyed a beautiful meal with great wine and excellent service while sitting outside and watching the world go by. Lovely evening.,April 2021,Caffè Milano,https://www.tripadvisor.com/Restaurant_Review-g34467-d9585143-Reviews-Caffe_Milano-Naples_Florida.html,"Naples, Florida",restaurants,5.0,4.5
Appetizer and wine,We stopped after our boat tour for peel and eat shrimp and a glass of wine. Beautiful view and really good shrimp.,April 2021,Little Bar Restaurant,https://www.tripadvisor.com/Restaurant_Review-g34252-d541848-Reviews-Little_Bar_Restaurant-Goodland_Marco_Island_Florida.html,"Marco Island, Florida",restaurants,5.0,4.5
Drinks!,We stopped for drinks on the deck and it was wonderful. A great way to relax on a sunny afternoon. Service was great. Didn’t have any food.,April 2021,Paradise Found Restaurant and Bar,https://www.tripadvisor.com/Restaurant_Review-g34252-d16650529-Reviews-Paradise_Found_Restaurant_and_Bar-Goodland_Marco_Island_Florida.html,"Marco Island, Florida",restaurants,4.0,4.0
Good location,"The service was excellent but the food only ok. My fish tastes like something I would prepare at home, which isn’t saying much.",April 2021,The Boathouse on Naples Bay,https://www.tripadvisor.com/Restaurant_Review-g34467-d393098-Reviews-The_Boathouse_on_Naples_Bay-Naples_Florida.html,"Naples, Florida",restaurants,3.0,3.5
Good Food and Wine,Enjoyed a couple of bottles of wine and good food on the patio with friends. Gluten free options available.,April 2021,Cooper's Hawk Winery & Restaurants,https://www.tripadvisor.com/Restaurant_Review-g34467-d10153897-Reviews-Cooper_s_Hawk_Winery_Restaurants-Naples_Florida.html,"Naples, Florida",restaurants,4.0,4.0
Great Deck,We love to sit by the water while having a good meal and this fit the bill exactly. Right on the beach.,April 2021,Shuckers on the Beach,https://www.tripadvisor.com/Restaurant_Review-g34332-d1657035-Reviews-Shuckers_on_the_Beach-Jensen_Beach_Florida.html,"Jensen Beach, Florida",restaurants,4.0,4.0
What a Burger!!,Can’t remember ever having such a goo burger! Juicy with yummy toppings. I had the jalapeño popper burger and it was amazing.,February 2020,Colt 804 Grill,https://www.tripadvisor.com/Restaurant_Review-g31204-d12096997-Reviews-Colt_804_Grill-Cottonwood_Arizona.html,"Cottonwood, Arizona",restaurants,5.0,4.5
Great Carry Out,The pizza we ordered was very good and prepared quickly. They have a lot of unusual combinations and gluten-free crust as well. So nice to take it back to your hotel and put your feet while you eat.,February 2020,Pisa Lisa,https://www.tripadvisor.com/Restaurant_Review-g31352-d4328335-Reviews-Pisa_Lisa-Sedona_Arizona.html,"Sedona, Arizona",restaurants,5.0,4.5
Interesting,"We really enjoyed the visit to this amazing historic site. The guides are well-informed and it’s astonishing how well-preserved it is. The drive in does require about 6 miles of dirt road which is not in the best shape. We drove it slowly in a MINI and did fine, however, my car dropped red dust for days afterward.",February 2020,Palatki Ruins,https://www.tripadvisor.com/Attraction_Review-g31352-d591300-Reviews-Palatki_Ruins-Sedona_Arizona.html,"Sedona, Arizona",attractions,4.0,4.5
So beautiful!,What a wonderful drive on a sunny day...especially in a convertible! Beautiful views around every curve and well worth the time.,February 2020,Red Rock Scenic Byway (SR 179),https://www.tripadvisor.com/Attraction_Review-g31352-d611391-Reviews-Red_Rock_Scenic_Byway_SR_179-Sedona_Arizona.html,"Sedona, Arizona",attractions,5.0,5.0
Stunning!!,"Such a beautiful church incorporated right into the gorgeous scenery. It was very crowded on a sunny Saturday, but they had people directing traffic and it all went well. Definitely worth a visit, even with the crowds.",February 2020,Chapel of the Holy Cross,https://www.tripadvisor.com/Attraction_Review-g31352-d117113-Reviews-Chapel_of_the_Holy_Cross-Sedona_Arizona.html,"Sedona, Arizona",attractions,5.0,4.5
Great Stay,"We had a great room with two queens, a sofa and fireplace, plus a balcony overlooking the pool and beautiful scenery. It was very clean and comfortable. The staff was very helpful and the breakfast delicious. Couldn’t have asked for more.",February 2020,Sedona Real Inn and Suites,https://www.tripadvisor.com/Hotel_Review-g31352-d225513-Reviews-Sedona_Real_Inn_and_Suites-Sedona_Arizona.html,"Sedona, Arizona",hotels,5.0,4.5
Really Great Class,"We had so much fun, learned a lot, and ate great food. Even though I worked on only a couple of the recipes, the chef was careful to draw our attention to tips he was giving to other students as they worked on their dishes. Definitely would recommend to someone who is not a chef, but wants to improve their cooking skills.",November 2019,Las Cosas Cooking Classes,https://www.tripadvisor.com/Attraction_Review-g60958-d2694650-Reviews-Las_Cosas_Cooking_Classes-Santa_Fe_New_Mexico.html,"Santa Fe, New Mexico",attractions,5.0,5.0
Fun...but,"It was very informative and the food was really great. However, I am not a good cook which is one of the reasons I signed up for the class, and I feel the only thing I could make again with confidence is the recipe I worked on in class. For example, while reviewing the other recipes after arriving home, I had a lot of questions on how to deal with tomatillos as well as dried and roasted peppers...a few things we don’t cook with on a regular basis in the Midwest.",November 2019,Santa Fe School of Cooking,https://www.tripadvisor.com/Attraction_Review-g60958-d147063-Reviews-Santa_Fe_School_of_Cooking-Santa_Fe_New_Mexico.html,"Santa Fe, New Mexico",attractions,4.0,4.5
Good Specials,"We enjoyed the choices of beer and hard cider, and the specials we ordered were very good. The ribs from the regular menu were ok, but disappointing because they were only ok. They were a letdown after everything else being so good.",November 2019,Fire and Hops,https://www.tripadvisor.com/Restaurant_Review-g60958-d7002937-Reviews-Fire_and_Hops-Santa_Fe_New_Mexico.html,"Santa Fe, New Mexico",restaurants,4.0,4.5
Breakfast!,Really yummy breakfast with GREAT coffee. The only downside to this place is the very limited parking.,November 2019,Dolina Bakery & Cafe,https://www.tripadvisor.com/Restaurant_Review-g60958-d12580776-Reviews-Dolina_Bakery_Cafe-Santa_Fe_New_Mexico.html,"Santa Fe, New Mexico",restaurants,5.0,4.5
Drive-through,"When you want quick, New Mexican food, but you don’t want to get dressed, drive through Bumble Bee’s. Enjoy at home!",November 2019,Bumble Bee's Baja Grill,https://www.tripadvisor.com/Restaurant_Review-g60958-d437533-Reviews-Bumble_Bee_s_Baja_Grill-Santa_Fe_New_Mexico.html,"Santa Fe, New Mexico",restaurants,4.0,4.5
No Tequila!,"The food and service at this restaurant are both very good, but they don’t have a full liquor license so the margaritas are made with agave wine instead of tequila. They’re not bad, but now quite the same.",November 2019,Casa Chimayo Restaurante,https://www.tripadvisor.com/Restaurant_Review-g60958-d2432100-Reviews-Casa_Chimayo_Restaurante-Santa_Fe_New_Mexico.html,"Santa Fe, New Mexico",restaurants,4.0,4.0
Good Margaritas,"The food, service, and margaritas were all very good. Our only objection was it was somewhat hard to know what we were eating because everything ran together on the plate.",November 2019,La Choza,https://www.tripadvisor.com/Restaurant_Review-g60958-d477186-Reviews-La_Choza-Santa_Fe_New_Mexico.html,"Santa Fe, New Mexico",restaurants,4.0,4.5
Love it!,"My daughter is an organic farmer, so of course we had to check out the market on our last visit. It is a great market with a good variety of food and crafts. One of the best I’ve seen.",November 2019,Santa Fe Farmers Market,https://www.tripadvisor.com/Attraction_Review-g60958-d580947-Reviews-Santa_Fe_Farmers_Market-Santa_Fe_New_Mexico.html,"Santa Fe, New Mexico",attractions,5.0,4.5
Beautiful,Very pretty historic church. I was especially fascinated by the old section that had been incorporated into the “new” church.,November 2019,The Cathedral Basilica of St. Francis of Assisi,https://www.tripadvisor.com/Attraction_Review-g60958-d123657-Reviews-The_Cathedral_Basilica_of_St_Francis_of_Assisi-Santa_Fe_New_Mexico.html,"Santa Fe, New Mexico",attractions,5.0,4.5
Very creative,"This is a must see at least one time just because it is so crazy creative. And crazy is an operative word. It’s hard to describe, and while you may not like the artwork, you won’t be bored.",November 2019,Meow Wolf Santa Fe,https://www.tripadvisor.com/Attraction_Review-g60958-d10084963-Reviews-Meow_Wolf_Santa_Fe-Santa_Fe_New_Mexico.html,"Santa Fe, New Mexico",attractions,4.0,4.5
Historic,"Very interesting and historic square with lots of shops, restaurants and people. Enjoyed wandering around and looking at the local crafts and fine art galleries.",November 2019,Santa Fe Plaza,https://www.tripadvisor.com/Attraction_Review-g60958-d107439-Reviews-Santa_Fe_Plaza-Santa_Fe_New_Mexico.html,"Santa Fe, New Mexico",attractions,4.0,4.5
Beautiful,"A beautifully, well-preserved chapel that is worth the admission price just to see the amazing staircase which boggles the mind.",November 2019,Loretto Chapel,https://www.tripadvisor.com/Attraction_Review-g60958-d123660-Reviews-Loretto_Chapel-Santa_Fe_New_Mexico.html,"Santa Fe, New Mexico",attractions,5.0,4.5
Outstanding!,"Had lunch at Pasqual’s and it was one of the best meals I had in Santa Fe. Fresh and well-prepared with cheerful, fast service. It’s easy to see why this place is so popular. AND the freshly made gluten-free bread is unbelievably good.",November 2019,Cafe Pasqual's,https://www.tripadvisor.com/Restaurant_Review-g60958-d458040-Reviews-Cafe_Pasqual_s-Santa_Fe_New_Mexico.html,"Santa Fe, New Mexico",restaurants,5.0,4.5
Good in a pinch,"Someone told us we MUST stop here on our way to Ghost Ranch. After reading the reviews I really expected more. They seem to carry a little bit of everything, but it’s just a store. Not worth a stop unless you need something.",November 2019,Bode's General Merchandise,https://www.tripadvisor.com/Restaurant_Review-g29757-d1497605-Reviews-Bode_s_General_Merchandise-Abiquiu_New_Mexico.html,"Abiquiu, New Mexico",restaurants,3.0,4.5
Beautiful Location,We made a day visit to Ghost Ranch and really enjoyed both the drive there and the hike to Chimney Rock. The scenery is beautiful. It’s easy to see how an artist could be inspired living there.,November 2019,Ghost Ranch,https://www.tripadvisor.com/Attraction_Review-g29757-d507659-Reviews-Ghost_Ranch-Abiquiu_New_Mexico.html,"Abiquiu, New Mexico",attractions,4.0,4.5
Fascinating!,What a wonderful look into a piece of ancient American history you won’t see anywhere else. The guide was knowledgeable and gave a good overview of life in the cliff dwellings.,November 2019,Puye Cliff Dwellings,https://www.tripadvisor.com/Attraction_Review-g47025-d116493-Reviews-Puye_Cliff_Dwellings-Espanola_New_Mexico.html,"Espanola, New Mexico",attractions,5.0,4.5
Amazing View,"We enjoyed a very nice dinner here with a wonderful view of the Acropolis lit up at night. There was only one gluten-free main course option, and while it was very good, I prefer more choices. Also, because of the way they had our table set up, I took a fall when getting up from my chair. There is a raised platform against the wall and they set the table lengthwise along that platform so four people in our party had the back of their chair just a foot or so away from the step down. I missed the step getting up and fell on my a**. People have broken bones on less, so be careful if you get that table!",October 2019,Kuzina,https://www.tripadvisor.com/Restaurant_Review-g189400-d1092052-Reviews-Kuzina-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.0
Excellent Lunch,"The food and service were top notch, plus it is a very relaxing place for a late lunch and an adult beverage.",October 2019,Balcony Restaurant & Bar,https://www.tripadvisor.com/Restaurant_Review-g189400-d10689208-Reviews-Balcony_Restaurant_Bar-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Wonderful Lunch,Really great food with an amazing view of the Acropolis from the rooftop. Anna was delightful to chat with while she gave us very attentive service.,October 2019,SENSE Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d12484364-Reviews-SENSE_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
