title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Enveloped with history,"Completed around the mid-1700s the original house was the Summer Residence of the British Viceroy. In Classical style with pediment and Ionic columns it presents a dignified presence.

In the period after the 1937 Constitution which established the Office of President there were plans to construct a new Aras in the Phoenix Park. But the World War intervened and it subsequently became the Official residence.

A much admired edifice visible from Chesterfield Avenue, it has hosted and welcomed many dignitaries over the decades.

Prior to 1990 and the election of the first woman President, Mary Robinson, the image of the incumbents was somewhat remote from everyday life of the citizens. It has changed significantly during the intervening three decades.",April 2021,Aras an Uachtarain (The Irish White House),https://www.tripadvisor.com/Attraction_Review-g186605-d215064-Reviews-Aras_an_Uachtarain_The_Irish_White_House-Dublin_County_Dublin.html,"Dublin, Ireland",attractions,5.0,4.5
Designed by celebrated architect,"One of the most striking features is a dramatic lantern extending the full length of the apex. Inside, this light filled enclosure is additionally wonderful to admire.

Designed by the applauded architect John Meagher it was consecrated in 1982. It makes for a marvellous profile when viewed from any number of stances, including through the leafing branches.

A harmony of brick, tile and glass, the facades are a testament to modernity in architecture. Moving inside is to see an intimate space of concentric arrays of seating beneath a pitched ceiling of warm wood.

With an altar area of lovely simplicity complemented by statuary in alcoves on either side, it is a thoughtful and contemplative room.

A grand freestanding bell tower was unveiled in 2006. With a century year old bell donated by a Connemara Convent atop and a cross further beneath, it is completed with attractive art work.

This is the creation of Cecilia Moore and comprises two vibrant mosaics of coloured glass inlaid with bronzes.

A small garden of remembrance dedicated to local youth is a further appealing attribute.",April 2021,Church Of The Immaculate Heart Of Mary,https://www.tripadvisor.com/Attraction_Review-g580196-d23321282-Reviews-Church_Of_The_Immaculate_Heart_Of_Mary-Clondalkin_County_Dublin.html,"Clondalkin, Ireland",attractions,5.0,5.0
Grandeur from Belle Epoque era,"Being the richest family in Ireland at the time, it was only a Guinness that would conceive of this magnificent mansion, almost immediately after purchasing a family mansion directly across the road.

A five bay edifice in Tudor Revival style it was completed for the young Arthur Ernest Guinness in the early 1900s. A place for excitement, entertainment and hosting society parties; in contrast to his recently acquired family home across the way that was for more prosaic pursuits such as sleeping.

A grand oak panelled entrance hall with parquet floor lead onto a sweeping wood carved staircase. Stained glass adornment was plentiful. Numerous decorated reception rooms greeted guests.

It was festooned with all contemporary aspects of Edwardian modernity. A large tiled indoor swimming pool was to be enjoyed; a rarity in those days.

Red chimney pots in barley twist style can be seen emerging over the wall on Tower Road. Another landmark feature is the enclosed footbridge over Knockmaroon Hill that links both mansions.

It was a playground for his three young daughters who in time would become known as the Golden Guinness Girls. One later remarked that it was always exciting going back to the house, never knowing what latest addition would greet them.

A new chapter began in 1949 on the death of Ernest when the houses passed to the Irish State as part of death duties. Shortly thereafter the State donated the properties to a religious congregation for use as a school and home.

Some years ago the properties were vacated and that remains the case. It is fascinating to contemplate what the next phase holds for this splendid edifice.",October 2020,Glenmaroon House,https://www.tripadvisor.com/Attraction_Review-g551505-d23255339-Reviews-Glenmaroon_House-Castleknock_County_Dublin.html,"Castleknock, Ireland",attractions,5.0,5.0
Ornate landmark,"A gorgeous sight on the skyline, this ornate edifice had three purposes when completed in the 1880s.

An aesthetically attractive tower of nearly 60 metres, an outstanding landmark, it told the time to local citizens.

But its main practical role was as a voluminous water reservoir. Containing an enormous tank of more than 8000 litres, it supplied water to Farmleigh Estate.

This was the home of Edward Cecil Guinness, a great-grandson of the famous brewery’s founder Arthur Guinness, and future first Lord Iveagh.

Additionally the endeavour provided electricity for the House, only the second house in Ireland with electric lighting, after its neighbour across the Park, the Vice Regal Lodge, now Áras an Uachtaráin the President’s Residence.

With construction materials of limestone and marble, fabulous vistas were to be had from the viewing balcony, enhanced by a telescope installed by Guinness.

On the east and west sides clock faces were installed, whose mechanism was designed by Sir Howard Grubb. He was most famous for designing intricate instruments and specifically astronomical telescopes.

This is thought to be the only clock by him. Interestingly the clock faces are at different heights, possibly reflecting disparate times for completions of tower and clock. A large container of sand is at the bottom of the stairs to protect the pendulum and weights in case of an accidental fall.

Until the early 2000s the clock was wound manually every day. At this juncture the mechanism was electrified.

Five clock bells on the top floor were to be heard chiming on the quarter hour. The hour bell was cast in Louvain, Belgium. The bells no longer chime.",October 2020,The Clock Tower At Farmleigh,https://www.tripadvisor.com/Attraction_Review-g551505-d23232160-Reviews-The_Clock_Tower_At_Farmleigh-Castleknock_County_Dublin.html,"Castleknock, Ireland",attractions,5.0,5.0
Fascinating life of a mid-1800s Mansion,"It began around the mid-1800s when the successful retailing entrepreneur Gilbert Burns decided to build a splendid family home in the countryside to the west of Dublin city, adjacent to the Phoenix Park.

A scenic site overlooking the River Liffey, the grounds sloped all the way to the river’s banks. Terraced gardens were beautifully laid out in the Italianate style providing gorgeous vistas. One access to it was via a horse and carriage bridge spanning the road.

In 1903 a new chapter began when the mansion was purchased by Arthur Ernest Guinness of the famous brewing empire. Recently married and with the first of three daughters born the following year, he progressed thorough the family business. It is said that he walked every day to the brewery at St James’s Gate.

One mansion not being sufficient, he soon decided to build another even more grand one across the road. They were connected by footbridge, a later version of which still spans Tower Road.

On his death in 1949 the estate passed to the Irish State as part of death duties. Some years later the properties were given to a Religious Order and were used as a school and later as a care home.

In the 2000s the Order relinquished the houses. They remain vacant.",October 2020,Knockmaroon Lodge,https://www.tripadvisor.com/Attraction_Review-g551505-d23215467-Reviews-Knockmaroon_Lodge-Castleknock_County_Dublin.html,"Castleknock, Ireland",attractions,5.0,5.0
Fine collection of Greek Art from recent times,"Striking works by Theofrastos Triantafyllidis were absorbing to admire, including Easter Procession from around 1939 and Last Rehearsal.

Set in an impressive former factory that was designed by the famous Danish architect Christian Hansen, it has been the gallery’s new home since 2010.

A child walking in an expansive landscape by the sea is the subject of Periklis Lytras's Returning. By contrast are the swirling ghostly figures in Melancholic Outbreak by Celeste Polychroniadi. Another by the same artist is Young Lady.

Yorgos Bouzianis was a renowned expressionist who represented Greece at the 1950 Venice Biennale. We saw two of his creations here - Woman in the Mirror and Two Women.

The Lady with a White Glove by Mimis Vitsoris is an elegant portrait. Daughter in the Window by Aglaia Papa and The Model and His Reflection created by Periklis Vyzantios are thought provoking.",March 2020,Municipal Art Gallery,https://www.tripadvisor.com/Attraction_Review-g189400-d2307236-Reviews-Municipal_Art_Gallery-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.0
Seemingly intended as a funerary monument,"Almost passed this by unnoticed, what with the verdant backdrop.

It’s a lovely depiction and was created in the early 1950s by the accomplished artist Nikos Perantinos.

It shows a young woman on one knee with flowers being offered from her right hand.

Apparently it was intended as a funerary statue, hence the title of Memory and the presence of flowers.

It has resided here since 1989.",March 2020,Memory Sculpture By Nikos Perantinos,https://www.tripadvisor.com/Attraction_Review-g189400-d23101014-Reviews-Memory_Sculpture_By_Nikos_Perantinos-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Superb reflection of its centrality in civic life of the city during ancient times,"We thoroughly enjoyed over two hours strolling throughout this superb area admiring the evocative remains of what was the centre of daily civic life in antiquity.

It was fascinating to learn that it was in use for millennia before becoming the Civic Centre of the City, including as a cemetery during the latter Bronze Age. But undoubtedly it’s as the former that is best reflected in the great remnants and restorations.

A gorgeous intricate Corinthian Capital is to be seen, as is a fine statue of Emperor Hadrian, who foremost of the Romans contributed most to Athens. Only the torso survives but it exquisitely shows a wolf suckling the twins Romulus and Remus of Roman legend and the Goddess Athena standing atop the wolf.

A number of Stoa are displayed - South Stoa I, possibly used by metronomoi who were officials in charge of weights and measures; Middle Stoa that dates from around 180 BCE; and the undoubted jewel that is the Stoa of Attalos.

Wonderfully restored in the 1950s it hosts the interesting Agora Museum with artefacts including fascinating Ostraca that were used to vote to banish or ostracise citizens.

A lovely Byzantine Church of Agios Apostoloi with grand stone craft is well worth perusing. It is one of only two original edifices in the complex.

The second is the gorgeous stunning Temple of Hephaestus, completed in 415 BCE and one of the highlights. A vista of Pentelic marble columns against the saturated early morning blue was delightful. Regarded as one of the best preserved Greek temples from antiquity it is a marvellous treasure.

A Dais that bore ten bronze sculptures representing the Tribes of Athens is still evocative after more than two millennia. It is known as the Monument of the Eponymous Heroes

Vestiges of Altars and Temples to numerous Deities are extant, including to Ares the Olympian Deity who was God of the Spirit of Battle. Further Altars are to Zeus and Zeus Agoraios, a most powerful God.

Impressive and ornate with arrays of Corinthian columns, the grand Odeon of Agrippa was a gift to the Athenians from Emperor Augustus’s Son-in-Law. Impressive sculptures line the outlines and the fine performance space could accommodate an audience of around 1000.

A water mill residue comprising two large circular mill stones is a further fascinating picture of ancient life, as is the Great Drain that provided essential drainage preventing flooding in the Agora.",March 2020,Ancient Agora of Athens,https://www.tripadvisor.com/Attraction_Review-g189400-d198709-Reviews-Ancient_Agora_of_Athens-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
"A Museum, Street of Tombs, Monumental Gates and much more","An important burial site since the 12th BCE it’s a fascinating place to visit.

A very good Museum displays many of the original artefacts excavated down the decades. A fabulous potent bull from the Grave Enclosure of Dionysios of Kollytos is wonderful, as is a radiant Sphinx.

A highlight is the Street of Tombs where many prestigious monuments were placed to honour the great departed.

Evocative are remains of sanctuaries and Sacred Gates, including the Dipylon which was the busiest in antiquity and it marked the arrival point of the road from the sacred site of Eleusis.",March 2020,Keramikos Archaeological Site,https://www.tripadvisor.com/Attraction_Review-g189400-d15076273-Reviews-Keramikos_Archaeological_Site-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.0
Delicious lunch,"After a morning enjoying the trio of fabulous art galleries and museums nearby we were set for refreshments. Here was perfect.

In the attractive space we had tasty fare from the wide-ranging menu. Partnered with refreshing white wine, all most enjoyable.

Staff were great, cheerfully friendly and helpful. Together with the fine value, it was a grand interval.",March 2020,Chez Michel,https://www.tripadvisor.com/Restaurant_Review-g189400-d9828554-Reviews-Chez_Michel-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.0
