title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Not worth it,"After just visiting similar malls in Italy and LA, we concluded that the selection of designer items is very limited, some 3 season old, and the prices are almost double than other outlet malls. I found better selection and prices in the center of Vienna. It is a good choice if you go for more mid-range labels, especially sports labels, but for A list designer is a total waste of time. Also, try to rent a car, as coming with the bus is the lottery of being able to come back",January 2020,Designer Outlet Parndorf,https://www.tripadvisor.com/Attraction_Review-g1572387-d1963632-Reviews-Designer_Outlet_Parndorf-Parndorf_Burgenland.html,"Parndorf, Austria",attractions,3.0,4.0
Traditional food,"The traditional Viennese schnitzel is very good as the other dishes we tried from the menu. The dessert was great. We didn't have reservation and we were lucky to find a table. The staff is fast, useful and attentive. The only downside is that the tables are so stuck to one another so you just can't help overhearing other conversations. Maybe it is different with the spring-summer terrace.",January 2020,Plachuttas Gasthaus zur Oper,https://www.tripadvisor.com/Restaurant_Review-g190454-d2365657-Reviews-Plachuttas_Gasthaus_zur_Oper-Vienna.html,"Vienna, Austria",restaurants,4.0,4.0
Almost royal - like,"After coming to Vienna many times, discovering this spot was probably the best surprise. On our first visit, we went on the second floor, there was a long and slow line, but my friend convinced me it was worth waiting, and she was right. The place is fancy, warm, sophisticated. The choice of sweet delights and drinks is really fine. Unfortunately, the top floor has limited working hours and they were closing down late afternoon. Next time we came back, we opt for the first floor, luckily there were no waiting lines as it was during the work hours. The first floor was even better. I found my favourite drink, the Gerstner special Baronini drink. Filled up the present basket on the ground floor with dessert boxes and mini bottles of wine. Just love this place",January 2020,Gerstner K.u.K Hofzuckerbacker,https://www.tripadvisor.com/Restaurant_Review-g190454-d7382239-Reviews-Gerstner_K_u_K_Hofzuckerbacker-Vienna.html,"Vienna, Austria",restaurants,5.0,4.5
Can't get more traditional then this,"We went on the recommendation from friends who live in Vienna, after a long day of traveling and sightseeing. We ere lucky there was no waiting line and we didn´t need a reservation. The service was nice and the food arrived fast. We truly enjoyed the traditional Austrian plates. The schnitzels were so big, as my daughter joked as a ""car wheel"". The menu is limited to a few specialties of the restaurant but all the other food options we tried were delicious. Definitely a recommendation",January 2020,Figlmuller,https://www.tripadvisor.com/Restaurant_Review-g190454-d711471-Reviews-Figlmuller-Vienna.html,"Vienna, Austria",restaurants,5.0,4.0
Brilliant combination between museum and palace,"Albertina is without a doubt one of the greatest art museums. It has a huge collection of works, especially from French impressionism including Monet, Picasso, Chagall.
The palace staterooms are worth a visit in their own right. They used to be the largest Habsburg residential palace were once lived in by the favourite daughter of Empress Maria Theresia, Archduchess Marie-Christine. The vibrant colors of the palace kept some of the original furniture. It is a true history journey, with spectacular esthetic, wealth and history. Every single room in the museum and the palace deserves a visit. Remarkable top to bottom mirrors combined with world art are just breathtaking. Put Albertin on your must-see list, you will not regret it",January 2020,Albertina,https://www.tripadvisor.com/Attraction_Review-g190454-d244507-Reviews-Albertina-Vienna.html,"Vienna, Austria",attractions,5.0,4.5
One of the most beautiful cities in the world,"Vienna is one of the most beautiful, historically rich and overwhelmingly vibrant cities in the world, certainly in Europe. There are so many things to be seen in all aspects, history, art, architecture, but do take time to walk around instead of using the public transport (although it is very well organized, safe, clean and punctual) all the time. The city is so vibrant, colorful and fresh, it is shame not to feel its street vibes.",January 2020,Historic Center of Vienna,https://www.tripadvisor.com/Attraction_Review-g190454-d1534524-Reviews-Historic_Center_of_Vienna-Vienna.html,"Vienna, Austria",attractions,5.0,4.5
Great location,"The hotel location is really good, you are on the walking distance from the few important spots in the city, like the Opera house, St. Stephen's Cathedral or Belvedere museum on the other side. The room was special and with a nice view. The breakfast was truly superb, excellent choice and stunning view from the restaurant. On the downside, was the service. The reception staff and concierge were not helpful at all during our attempt to get to Parndorf shopping, all they wanted to achieve was to get their partner company to drive us back and forth for absurd amount, without even trying to find another solution. Also, it was quite annoying that the mini bar in the room was locked, which was first time experience for us in a five-star hotel. We asked the front desk to unlock it, but they didn´t. After we left the money guarantee and asked for the second time they opened it. Besides these setbacks, the hotel is nice and comfortable, the pool and the spa are a real pleasure.",January 2020,Vienna Marriott Hotel,https://www.tripadvisor.com/Hotel_Review-g190454-d229407-Reviews-Vienna_Marriott_Hotel-Vienna.html,"Vienna, Austria",hotels,4.0,4.0
The best hidden gem in the city,"Amazing place, such a wonderful tribute to art, culture, sports. It is a true leisure spot for visitors. It is open to everyone, no reservations. The architecture is magnificent, the whole concept is remarkable. We spent the New Year's Eve there, and could not find any flaw. The library is just extraordinary, the parks, the green rooftop, the sledge park. There are permanent and temporary galleries, the National Opera Theater and the National Library are all part of it. The restaurants and the coffee spots are great with very good service. The best surprise in Athens, don't miss it",January 2020,Stavros Niarchos Foundation Cultural Centre,https://www.tripadvisor.com/Attraction_Review-g262046-d10494339-Reviews-Stavros_Niarchos_Foundation_Cultural_Centre-Kallithea_Attica.html,"Kallithea, Greece",attractions,5.0,4.5
Worth a visit,"Do not miss to witness the part of the history, in many details and packed with facts. If you are true art and history lover, do hire a guide, otherwise, the museum info would be quite enough. It is not very big, but there are several interesting corners. Worth a visit.",January 2020,Skip the Line: Athens New Acropolis Museum Ticket,https://www.tripadvisor.com/AttractionProductReview-g189400-d12835132-Skip_the_Line_Athens_New_Acropolis_Museum_Ticket-Athens_Attica.html,"Athens, Greece",activities,5.0,4.5
Great stroll,"A very pleasant pedestrian area that leads from the acropolis to the city center. It's full of small shops and traditional restaurants. Well spent time, surrounded with local amenities",January 2020,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
