title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Lots of fun!,"Enjoyable musical. Lead female role is huge and really has to work to bring the action along. Great songs, great show. Interesting topics raised to talk over with my teenage companions on the way home!",October 2019,Waitress The Musical,https://www.tripadvisor.com/Attraction_Review-g186338-d17571822-Reviews-Waitress_The_Musical-London_England.html,"London, United Kingdom",attractions,4.0,4.5
Amazing!,"What a fascinating tour underground! Loved it. Loved our knowledgeable and passionate guide. Wonderful opportunity for the whole family to learn more about it.
Fab cafe too!",October 2019,Poole's Cavern & Buxton Country Park,https://www.tripadvisor.com/Attraction_Review-g190756-d297151-Reviews-Poole_s_Cavern_Buxton_Country_Park-Buxton_Derbyshire_England.html,"Buxton, United Kingdom",attractions,5.0,4.5
Beautiful!,"Good 'old fashioned' gardens. Love the planting, the river, the meandering lake. Always plenty of people out taking the air and enjoying them. Lovely atmosphere.",October 2019,Pavilion Gardens,https://www.tripadvisor.com/Attraction_Review-g190756-d3156753-Reviews-Pavilion_Gardens-Buxton_Derbyshire_England.html,"Buxton, United Kingdom",attractions,4.0,4.5
Interesting - and could do with a bigger building!,"What interesting exhibits! Timeline approach is very interesting, but with the constraints of the building it gets hard to see everything when it is even moderately crowded.
Eclectic exhibitions. Well worth a vist if you are in the area.",October 2019,Buxton Museum and Art Gallery,https://www.tripadvisor.com/Attraction_Review-g190756-d2173401-Reviews-Buxton_Museum_and_Art_Gallery-Buxton_Derbyshire_England.html,"Buxton, United Kingdom",attractions,4.0,4.5
So helpful and friendly and so interesting!,"Great range of maps and local guides, plenty of knowledge in the staff members, and lots of bottles ready to fill with the local water from the fountain head in the building. Fascinating information about it all. Recommended!",October 2019,Buxton Visitor Centre and Crescent Experience,https://www.tripadvisor.com/Attraction_Review-g190756-d12343115-Reviews-Buxton_Visitor_Centre_and_Crescent_Experience-Buxton_Derbyshire_England.html,"Buxton, United Kingdom",attractions,5.0,4.0
I can't wait for it to be finished!,"Glimpses of the buildings, behind the hoardings, and the info boards around make it sounds as though it's going to be wonderful. Not much to see until the hoardings come down though.",October 2019,The Crescent,https://www.tripadvisor.com/Attraction_Review-g190756-d15053250-Reviews-The_Crescent-Buxton_Derbyshire_England.html,"Buxton, United Kingdom",attractions,3.0,3.5
"Stunning, but busy","Even on a chilly October day this walk was packed (as were the nearest car parks) - although it was half term. Wonderful views, which is why it is so popular. Well worth it!",October 2019,Ridge Walk Mam Tor to Losehill,https://www.tripadvisor.com/Attraction_Review-g499576-d3474329-Reviews-Ridge_Walk_Mam_Tor_to_Losehill-Castleton_Hope_Valley_Peak_District_National_Park_.html,"Castleton, United Kingdom",attractions,5.0,5.0
Windy and wonderful,"Lovely walk (even for the less fit and able) and fascinating history to be found, as well as wonderful views!",October 2019,Tegg’s Nose Country Park,https://www.tripadvisor.com/Attraction_Review-g191278-d6440715-Reviews-Tegg_s_Nose_Country_Park-Macclesfield_Cheshire_England.html,"Macclesfield, United Kingdom",attractions,5.0,4.5
Great place and really helpful!,"We'd booked a mobility buggy for a post knee replacement op member of the family - the staff made it easy for us to do this and we are very grateful!
THe gardens are truly beautiful - take as much time as you can to enjoy them and explore thoroughly. You will be well rewarded.",October 2019,Chatsworth House,https://www.tripadvisor.com/Attraction_Review-g209968-d213894-Reviews-Chatsworth_House-Bakewell_Peak_District_National_Park_England.html,"Bakewell, United Kingdom",attractions,5.0,4.5
Best Meal Ever!,"Declared by my youngest to be her best meal ever, the rest of the family enjoyed ourselves too - so much that on our only other free evening we came back! Good food for both vegetarian and non vegetarians, great value, perfect location in the city centre. We loved it!",February 2020,Ella Greek Cooking,https://www.tripadvisor.com/Restaurant_Review-g189400-d15124215-Reviews-Ella_Greek_Cooking-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
