title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Amazing place, but go there early morning","This is amazing, majestic place, huge piece of history, wonderful views. Be sure you head there early morning if you want to take nice photos and see the place without the crowd. 1-2 hours after opening the place is packed with people",June 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Amazing place,"Must-see if you are in Kalbarri, beautiful gorge and rock formations. All trails around the Z Bend are worth walking",April 2019,The Loop and Z Bend Gorge,https://www.tripadvisor.com/Attraction_Review-g488349-d2489075-Reviews-The_Loop_and_Z_Bend_Gorge-Kalbarri_Western_Australia.html,"Kalbarri, Australia",attractions,5.0,4.5
Amazing rock but bit overcrowded,"It is really amazing rock formation, definitely must-see if you are in the area. As all the people want to take a picture inside the window it may get very overcrowded. There is also 9km trail starting at Nature’s Window - one of the best trails I’ve ever done",April 2019,Nature’s Window,https://www.tripadvisor.com/Attraction_Review-g488349-d8141323-Reviews-Nature_s_Window-Kalbarri_Western_Australia.html,"Kalbarri, Australia",attractions,4.0,4.5
Definitely worth visit,"This is great spot to visit if you are in Kalbarri. Needs proper light to be really pink though, otherwise it looks more greyish",April 2019,Pink Lake,https://www.tripadvisor.com/Attraction_Review-g488349-d3967616-Reviews-Pink_Lake-Kalbarri_Western_Australia.html,"Kalbarri, Australia",attractions,4.0,4.0
Great fish and chips,Great fish&chips place. Fish fresh and tasty and chips not too oily. We visit The Jetty Shack every time we come to Kalbarri,April 2019,The Jetty Seafood Shack,https://www.tripadvisor.com/Restaurant_Review-g488349-d1541383-Reviews-The_Jetty_Seafood_Shack-Kalbarri_Western_Australia.html,"Kalbarri, Australia",restaurants,5.0,4.0
Wonderful trail,"This is short but amazing walk trail, especially when you walk among the rocks few meters from the ocean! One of the most beautiful places around!!!",April 2019,Mushroom Rock Walk Trail,https://www.tripadvisor.com/Attraction_Review-g488349-d10358946-Reviews-Mushroom_Rock_Walk_Trail-Kalbarri_Western_Australia.html,"Kalbarri, Australia",attractions,5.0,4.5
Amazing rocks formation,"I was very impressed with that place, amazing cliffs not far from Perth. Looks stunning especially in the arvo when the sun is right. Definitely will be coming back when I am around",February 2019,Wilyabrup Sea Cliffs,https://www.tripadvisor.com/Attraction_Review-g255367-d9722997-Reviews-Wilyabrup_Sea_Cliffs-Margaret_River_Margaret_River_Region_Western_Australia.html,"Margaret River, Australia",attractions,5.0,5.0
Beautiful spot,"Nice hidden spot in the WA South West. You can get there walking (Cape to Cape trail) or driving (4WD only). Definitely worth checking out. Waterfall by itself is not too high but looks very interesting, some kind of small jungle-type oasis among dunes.",February 2019,Quinninup Falls,https://www.tripadvisor.com/Attraction_Review-g4604613-d16858008-Reviews-Quinninup_Falls-Wilyabrup_Margaret_River_Region_Western_Australia.html,"Wilyabrup, Australia",attractions,5.0,3.5
Amazing location,"Great beach about 3-4 hours drive from Perth. Amazing location and awesome views. Bit hard to swim due to massive waves, enjoyed the stay though",February 2019,Conto Beach,https://www.tripadvisor.com/Attraction_Review-g255367-d9723224-Reviews-Conto_Beach-Margaret_River_Margaret_River_Region_Western_Australia.html,"Margaret River, Australia",attractions,5.0,4.5
Driver service,"We used this company to provide us with whole-day driver+car service (2 days in a row). Our driver Eka was very professional, always on time and always happy to help. We did couple of really long trips to remote locations and everything was great. Can definitely recommend it",June 2018,Bali Adventours,https://www.tripadvisor.com/Attraction_Review-g297694-d7939737-Reviews-Bali_Adventours-Denpasar_Bali.html,"Denpasar, Indonesia",attractions,5.0,5.0
