title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
One of the best hotel,"One of the best hotel with amazing view, location and service
What a friendly staff
Rooms are small but personal villas with pool makes it unique
One can spend whole day at hotel and not go out
Amazing food in restaurant",August 2019,Ambassador Aegean Luxury Hotel & Suites,https://www.tripadvisor.com/Hotel_Review-g1189834-d3825503-Reviews-Ambassador_Aegean_Luxury_Hotel_Suites-Akrotiri_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,5.0,4.5
Excellent,"Excellent Place to Eat Pizza and salads, Good Amount of choice, fast service and very friendly people",February 2020,Sauce Pizza & Wine,https://www.tripadvisor.com/Restaurant_Review-g60950-d1521581-Reviews-Sauce_Pizza_Wine-Tucson_Arizona.html,"Tucson, Arizona",restaurants,5.0,4.5
Very Nice,"Very Nice Food specially for vegetarians, went twice to eat and will go again in future, Very good for value and would recomond higly",February 2020,Pita Jungle - Tucson Broadway,https://www.tripadvisor.com/Restaurant_Review-g60950-d2054836-Reviews-Pita_Jungle_Tucson_Broadway-Tucson_Arizona.html,"Tucson, Arizona",restaurants,5.0,4.0
Average,"Nice rooms but very poorly maintianed, Vents are too dirty, All teh doors and Windows drifts air, balnkets are ripped
Hilton accuired double tree but this is not even clsoe to theri Standards or name
Very disappointed",February 2020,DoubleTree Suites by Hilton Hotel Tucson - Williams Center,https://www.tripadvisor.com/Hotel_Review-g60950-d74449-Reviews-DoubleTree_Suites_by_Hilton_Hotel_Tucson_Williams_Center-Tucson_Arizona.html,"Tucson, Arizona",hotels,3.0,4.0
4000 years Old,"Never witnessed place like this before, 4000 years before and all burried under volcanic ashes excavated very well",August 2019,Akrotiri Archaeological Site,https://www.tripadvisor.com/Attraction_Review-g1189834-d4126654-Reviews-Akrotiri_Archaeological_Site-Akrotiri_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,5.0,4.0
Amazing Place,"What a view this place has, never seen like this beautiful before, would love to go again If I get chance",August 2019,Nikolaou Nomikou,https://www.tripadvisor.com/Attraction_Review-g482941-d15673049-Reviews-Nikolaou_Nomikou-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,1.0,4.5
Worst Customer Service,"One of the Worst treatment by staff and management, they don't even know what food they have and how to treat customer, never go again in life",December 2019,Confetti Ristorante & Vinoteca,https://www.tripadvisor.com/Restaurant_Review-g48394-d1828865-Reviews-Confetti_Ristorante_Vinoteca-Piermont_New_York.html,"Piermont, New York",restaurants,1.0,4.0
Nice Place,"Nice Church adn Very Nice Place for Photography, Oia is a place to spend whole day, Enjoy, walk, food and View",August 2019,Church of Panagia,https://www.tripadvisor.com/Attraction_Review-g482941-d6873932-Reviews-Church_of_Panagia-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,5.0,4.5
Most Amazing,"One of The Most Amazing Sunset ever seen, famous of sunset and people really line up, hard to find good spots if late",August 2019,Sunset in Oia,https://www.tripadvisor.com/Attraction_Review-g482941-d3369820-Reviews-Sunset_in_Oia-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,5.0,4.5
Best Hotel,"One of The best and Most Beautiful Hotel in Santorini, Wow! What a view, Designs of Villas, private pools and Hotel Staff - Simply Amazing, Food and Service is Outstanding, Paradise for Photographers, Staff was ready to help in any manner",August 2019,Ambassador Aegean Luxury Hotel & Suites,https://www.tripadvisor.com/Hotel_Review-g1189834-d3825503-Reviews-Ambassador_Aegean_Luxury_Hotel_Suites-Akrotiri_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,5.0,4.5
Of Of The Best Ancient Site,"OMG - One of the best Ancient site visited, little too crowded but I guess due to Heavy Tourist Season",August 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
