title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
beautiful,"stunning view! quite crowded towards lunch time but otherwise, the place looks so beautiful and you get a nice view of the city as well as the other monuments",February 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
waiting time,"tram 28 goes through Lisbon and you will get a nice view of everything. however, if you get on the very first stop in Martim Moinz make sure to plan enough time as there will be a long queue around 10am till 7pm.",August 2019,Tram 28,https://www.tripadvisor.com/Attraction_Review-g189158-d262792-Reviews-Tram_28-Lisbon_Lisbon_District_Central_Portugal.html,"Lisbon, Portugal",attractions,3.0,4.0
crowded,during day time it is very crowded. in the late afternoon when there are less people it is much nicer to go there and just enjoy the sunset. it is also fun to ride on the electric scooter around that area,August 2019,Torre de Belém,https://www.tripadvisor.com/Attraction_Review-g189158-d524074-Reviews-Torre_de_Belem-Lisbon_Lisbon_District_Central_Portugal.html,"Lisbon, Portugal",attractions,4.0,4.0
beautiful view,if you want to have a nice view from the city and the bridge go to the castle. you have to pay a little for the entrance but it is worth the money.,August 2019,Castelo de S. Jorge,https://www.tripadvisor.com/Attraction_Review-g189158-d195107-Reviews-Castelo_de_S_Jorge-Lisbon_Lisbon_District_Central_Portugal.html,"Lisbon, Portugal",attractions,4.0,4.0
nice view,beautiful district to stroll through the streets. the view up there is stunning. be sure to wear comfortable shoes.,August 2019,Alfama,https://www.tripadvisor.com/Attraction_Review-g189158-d195649-Reviews-Alfama-Lisbon_Lisbon_District_Central_Portugal.html,"Lisbon, Portugal",attractions,5.0,4.5
worst decision,"We were walking around Lucerne and saw this asian restaurant selling Ramen and other kind of dishes. It was by far our worst decision! It was instant ramen, Shin Ramen to be precise. And to make it even funnier it costs us 13.- p.p. Shin Ramen can be bought in any supermarket here in Switzerland for about 2CHF. I can only talk about the Ramen dish the other dishes might be better. The cashier couldn’t talk in German and her English wasn’t good as well. She had a hard time to understand us.",June 2019,Mashida,https://www.tripadvisor.com/Restaurant_Review-g188064-d8857227-Reviews-Mashida-Lucerne.html,"Lucerne, Switzerland",restaurants,1.0,3.5
good place,"Went to Domodossola for a day trip and we didnt look up any places to eat as we wanted to surprise ourselves. This restaurant has many different Pizzas and dishes to offer. The portion is really huge also delicious! Friendly staff even though they couldnt really understand English but a little German. I can highly recommend this place! For one anti pasti, 3 main dishes and drinks (soft drink and coffee) we paid under 50$ which is in my opinion such a good price for the good quality",January 2019,Terminus,https://www.tripadvisor.com/Restaurant_Review-g681250-d1821095-Reviews-Terminus-Domodossola_Province_of_Verbano_Cusio_Ossola_Piedmont.html,"Domodossola, Italy",restaurants,5.0,4.0
shopping and food,Dam Square has many things to offer from clothing shops to fancy restaurants. They have expensive brands and more affordable prices like Primark. It is a very good spot if you want to go shopping and eat a lot of food. There are some street performers and a lot of pigeons around. Be careful of pickpockets bc it gets really crowded.,July 2018,Dam Square,https://www.tripadvisor.com/Attraction_Review-g188590-d189381-Reviews-Dam_Square-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",attractions,4.0,4.0
relaxing,Vondelpark is close (15mins) to the Rijks Museum. You can get there by tram or walk. The park is huge and there are good spots to take pictures. A lot of space just to lie around if you don't like ducks do not go close to the pond. If you like a little nature go there for a walk!,July 2018,Vondelpark,https://www.tripadvisor.com/Attraction_Review-g188590-d189384-Reviews-Vondelpark-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",attractions,4.0,4.5
beautiful,"Nyhaven is very beautiful and worth visiting when you are in Copenhagen. There are many spots where you can take nice pictures. However, the prices for the drinks and ice cream there is expensive.",July 2018,Nyhavn,https://www.tripadvisor.com/Attraction_Review-g189541-d207265-Reviews-Nyhavn-Copenhagen_Zealand.html,"Copenhagen, Denmark",attractions,4.0,4.5
