title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
It’s time,"Would definitely go back. Lots of interesting choices on the menu... lots. My meal was great; so was my date’s. And the portions were large. Our drinks were good, the chips and salsa were good, our server was friendly and quick, and the place has a nice atmosphere. I liked this place quite a bit.",May 2021,Casa Toro Mexican Grill,https://www.tripadvisor.com/Restaurant_Review-g52511-d12334937-Reviews-Casa_Toro_Mexican_Grill-Doylestown_Pennsylvania.html,"Doylestown, Pennsylvania",restaurants,5.0,3.5
a relaxing evening,The tavern is old but well maintained. There are several seating ares and arrangements. The quality of the food is very good. You will leave full.,January 2020,Piper Tavern,https://www.tripadvisor.com/Restaurant_Review-g53446-d512129-Reviews-Piper_Tavern-Pipersville_Pennsylvania.html,"Pipersville, Pennsylvania",restaurants,5.0,4.0
A great playground for kids,An unbelievable structure and full of many activities. The three story tube slide is a must if you can get thru the maze.,April 2019,Kids Castle,https://www.tripadvisor.com/Attraction_Review-g52511-d1218087-Reviews-Kids_Castle-Doylestown_Pennsylvania.html,"Doylestown, Pennsylvania",attractions,5.0,4.5
Pizza a different way,There is a large variety of pizzas. I like most of them. The pizza with fruit is just not for me. it is worth a stop.,August 2019,Jules Thin Crust,https://www.tripadvisor.com/Restaurant_Review-g52511-d811620-Reviews-Jules_Thin_Crust-Doylestown_Pennsylvania.html,"Doylestown, Pennsylvania",restaurants,4.0,4.5
Where have I been all this time?,The restaurant is mid size. The service was attentive. The food was plentiful. The price a bit above average but the quality above average. Drive past the restaurant several days a week but never went in. Will not hesitate to stop and dine again in the future,January 2020,Piccolo Trattoria,https://www.tripadvisor.com/Restaurant_Review-g52511-d10337618-Reviews-Piccolo_Trattoria-Doylestown_Pennsylvania.html,"Doylestown, Pennsylvania",restaurants,5.0,3.5
Very disappointing,Flight staff was aloof and gave us misinformation concerning customs. The airport was chaos. Food on the plane was actually pretty good.,November 2019,Air Canada,https://www.tripadvisor.com/Airline_Review-d8728998-Reviews-Air-Canada,World,flights,3.0,3.0
The mosaic architecture is astonding,There are frescoes in the garden. The garden is outlined by gorgeous mosaic columns and benches. The museum inside is also worth a look.,November 2019,Complesso Monumentale di Santa Chiara,https://www.tripadvisor.com/Attraction_Review-g187785-d243317-Reviews-Complesso_Monumentale_di_Santa_Chiara-Naples_Province_of_Naples_Campania.html,"Naples, Italy",attractions,5.0,4.5
Immpressive,This museum has a collection that dates back several thousand years. The displays explain the ancient history of Crete starting with the Minoans. A walk down history lane.,November 2019,Heraklion Archaeological Museum,https://www.tripadvisor.com/Attraction_Review-g189417-d195895-Reviews-Heraklion_Archaeological_Museum-Heraklion_Crete.html,"Crete, Greece",attractions,5.0,4.5
An ancient marvel,If you want to see an actual aqueduct up close this is the stop. Nothing else to see or read about just a photo op.,November 2019,Aqueduct of Caesarea (Mei Kedem),https://www.tripadvisor.com/Attraction_Review-g297742-d379278-Reviews-Aqueduct_of_Caesarea_Mei_Kedem-Caesarea_Haifa_District.html,"Caesarea, Israel",attractions,5.0,4.5
Oldie but Goodie,This is a nice walk around piece of history. There is plenty of room to walk and rest and learn. There is a video which explains the history. The scenery is also beautiful.,November 2019,Caesarea National Park,https://www.tripadvisor.com/Attraction_Review-g297742-d5858102-Reviews-Caesarea_National_Park-Caesarea_Haifa_District.html,"Caesarea, Israel",attractions,5.0,4.5
