title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Good for a leisurely lunch,"We went for lunch on a weekend. There was parking available. The restaurant is on the 4th floor. The place was less than half filled. We decided to go for the buffet lunch on table option.
The menu is available below in the pictures. The spread is good, for both veg and non-veg options. There’s the soup, three starters, three curries in the main, all roti/ naan options, biryanis, noodles, etc and lastly three desserts.
The food was tasty in general. The quantity is good and you might just stick to the first serving unless you really like a particular dish. Amongst starters the fish was good. The only dish I was disappointed with was the mutton rogan josh. It was bad. If I had go for the a la carte then I wouldn’t risk the mutton dishes.
The people are good but keep in mind that service is slow, hence the leisurely lunch!",February 2020,Indian Foodies Hub,https://www.tripadvisor.com/Restaurant_Review-g297586-d15067036-Reviews-Indian_Foodies_Hub-Hyderabad_Hyderabad_District_Telangana.html,"Hyderabad, India",restaurants,4.0,4.0
Intricate carvings and architecture!!,"The Sun temple is a must visit if you’re in Bhubaneswar/ Puri / Chilika zone.
It’s a monument and not a functioning temple.
There were three structures out of which the largest has almost completely broken down so the middle one can be seen, and it is quite a huge structure at 100 feet. It was higher than that at some point of time when it was built in the 13th century.
The entry ticket is Rs 40 and it takes about an hour if you want to do a quick round of the ruins. It is advisable to hire a guide for about Rs 250 to see the main points and understand the intricate carvings, architecture and history.
There’s a Yatri Nivas a couple hundred meters from the site, where you can park your car, refresh and walk to the temple. That’s almost where all vehicles need to stop and you need to proceed by walk.
TIP: The Yatri Nivas can help give a pass for vehicles if you have someone who cannot walk.
It’s sad to see the stone carvings slowly eroding. I had visited the place one in early 90s and the carvings were clearer then.",January 2020,Konark Sun Temple,https://www.tripadvisor.com/Attraction_Review-g424925-d319933-Reviews-Konark_Sun_Temple-Konark_Puri_District_Odisha.html,"Konark, India",attractions,5.0,4.5
Pilgrimage tour,"We visited in December. There were enclosures for pilgrims and red carpets all through.
There’s car parking a couple hundred before the temple complex.
The process to go in is quite straight forward but if you want a pundit to accompany you then you can engage one outside the temple while in the queue.
The entrance was quite clean well maintained.",January 2020,Jagannath Temple,https://www.tripadvisor.com/Attraction_Review-g503703-d666591-Reviews-Jagannath_Temple-Puri_Puri_District_Odisha.html,"Puri, India",attractions,5.0,4.5
"Good food, accommodation & ambience!!","We were there for a night while visiting Puri and Konark.
The resort is almost at the end of all hotels/resorts near the beach. Ample parking.
The checkin process was smooth. The reception staff were helpful. They have rooms on the ground and 1st / 2nd floors. Their staff was helpful in taking our luggage to the allotted 2nd floor room. If you have any difficulty in climbing then make a request for a ground floor room in advance.
The room was big with a sofa cum bed big enough for a third guest/kid/adult. The room were very neat clean and well maintained. The bathroom was good, hot water etc. Wifi is available on payment.
The dinner was at their restaurant which serves buffet and alacarte. We went in for the buffet as it was a very impressive spread of largely Indian and a few Chinese/ Italian dishes. The breakfast was also at the same place and the spread was equally good. South /North Indian spread plus live counter for dosa, eggs etc.
The facilities include indoor games, swimming pool, proximity to the beach.
In all was a good experience.",January 2020,Sterling Puri,https://www.tripadvisor.com/Hotel_Review-g503703-d735907-Reviews-Sterling_Puri-Puri_Puri_District_Odisha.html,"Puri, India",hotels,5.0,4.0
Keema-Naan breakfast!!!,"You want to enjoy Keema naan for breakfast then Paradise at Paradise, Secunderabad is the place to go!!!
One naan and a plate of keema is just the right quantity. Add a dash of lemon to make it tangy. Follow it with a cup of hot Irani chai.
Keema naan in Paradise is a speciality only in Secunderabad the original Paradise. And not in the other joints across the city. This is available only early mornings from around 7 to 9 am. Sometime later too if you’re lucky!",December 2019,Paradise Restaurant,https://www.tripadvisor.com/Restaurant_Review-g297586-d1737132-Reviews-Paradise_Restaurant-Hyderabad_Hyderabad_District_Telangana.html,"Hyderabad, India",restaurants,5.0,4.0
Loved the pasta al forno!!,"This place is at the end of the lane adjacent Neerus near Madhapur. There’s valet service. We went for dinner on a weekday. We didn’t make a reservation and didn’t seem like it was required. The place was half full. The ambience was good. Minimalistic style. High ceiling with lamps. Looked nice and warm on a December evening.
We were a family and friends group of 6. Ordered a couple of pizzas, pastas and lasagne.
The pizzas are 10” - 8 slice ones. We Iiked the chicken pizza - Straniera, and the vegetarian- pizza margherita. Thin crust, with good amount of cheese and cottage cheese cubes. Tasted good!
The lasagne tasted good. The portion was small.
The pasta Al forno was my favorite! Spaghetti in pink mushroom sauce. Added a bit of crushed black pepper and it was exactly the way I like it!
The service was good. The overall experience was good!!!",December 2019,Flying Spaghetti Monster,https://www.tripadvisor.com/Restaurant_Review-g297586-d7981636-Reviews-Flying_Spaghetti_Monster-Hyderabad_Hyderabad_District_Telangana.html,"Hyderabad, India",restaurants,5.0,4.0
Sizzling joint for sizzlers!,"At 9 pm on a weekday the place was reasonably full. Families, couples, friends seemed to be enjoying the sizzlers.
We ordered a chilli paneer sizzler and a non-veg mixed grill sizzler. It took a few minutes browsing through the variety to decide.
The ambience is good, warm. The service is good, warm and reasonably fast.
Both the sizzlers were very good, meeting expectations! You can opt for noodles or rice. The veg paneer sizzler was the Chinese style. The mixed grill comes with a fried egg. No frills.
The kitchen, rest rooms and parking seem common for three joints adjacent each other. The path to the rest rooms can be improved. Reminds me of dhabas.
In all a good experience! Will go back to try the other options!",December 2019,Kobe Sizzlers,https://www.tripadvisor.com/Restaurant_Review-g297586-d13370795-Reviews-Kobe_Sizzlers-Hyderabad_Hyderabad_District_Telangana.html,"Hyderabad, India",restaurants,5.0,3.5
Hotel in the center of sightseeing attractions in Athens,"The hotel staff was kind enough to guide us with the places to visit using a local map. The places are almost in a circular route - all around this hotel. Starting with the acropolis to the museum, stadium, parliament etc.
The local market area, flea market is also quite close - 5 min walk. It’s close to the Monastiraki metro station.
The hotel itself is very neat and professionally managed. The staff are courteous. The rooms are spacious, well designed and clean. The one we were in had a small balcony good enough to get a sunset view and a view of the acropolis top.
The roof top bar and restaurant is a great place to spend the evening during sunset. Get some good food, drinks and sunset photographs.
The wifi is excellent.",October 2019,Central Athens Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d554815-Reviews-Central_Athens_Hotel-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.0
Colorful Sunday market along the canal!!,"Navigli Sunday market - On the last Sunday of each month the path/road along the canal in Milan - Naviglio Grande, is transformed into a long and beautiful market. There are several stalls/shops selling flowers, vegetables, cheese, handicrafts, toys and many other things Along the canal stretch for a kilometer or more.
The stuff you can see is sometimes very unique and beautiful. And each seller is so passionately involved in selling explaining their goods.
I liked the experience. It’s a good time to spend for a couple hours on a last Sunday morning each month.",October 2019,I Navigli,https://www.tripadvisor.com/Attraction_Review-g187849-d194970-Reviews-I_Navigli-Milan_Lombardy.html,"Milan, Italy",attractions,5.0,4.5
Warm experience!!,"Villa Anemoessa is beautiful hotel or like a resort. Nice swimming pool, beautiful rooms, sea view, great breakfast spread. Very well located. Just 15 min walking distance from the most popular Santorini sunset point as well as the market area that you can walk through and spend your evenings.
Irine, at the reception desk is a very warm person and very helpful. She guided us on places to visit, transportation and other local guidance.
Strongly recommend staying here!!",October 2019,Anemoessa Villa,https://www.tripadvisor.com/Hotel_Review-g10521928-d572694-Reviews-Anemoessa_Villa-Finikia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,5.0,5.0
