title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Such authentic dishes from Bali, Indonesia, Vietnam & more","For our first trip to Barcelona after many months, we wanted lunch in El Ravel to celebrate & were attracted by the great reviews. We sat outside in the sunshine and loved our choice of menu. There is not a huge choice but each one was so tasty and yes, we asked for the piquant option which is still quite mild for those not too keen on chilli. We definitely will be back!",April 2021,Makan Makan,https://www.tripadvisor.com/Restaurant_Review-g187497-d14065274-Reviews-Makan_Makan-Barcelona_Catalonia.html,"Barcelona, Spain",restaurants,5.0,5.0
"Fantastic value, delicious menu and friendly atmosphere","Lloret de Mar twon was very quiet early in the season but we soon found where everyone was, Al Freskita! All the dishes were served fresh and very quickly with lovely friendly staff to make the atmosphere seem more holiday like atmosphere. I am sure you will need to book when the tourist season begins. Recommended for home cooked food.",April 2021,Al Freskito,https://www.tripadvisor.com/Restaurant_Review-g494960-d2406941-Reviews-Al_Freskito-Lloret_de_Mar_Costa_Brava_Province_of_Girona_Catalonia.html,"Lloret de Mar, Spain",restaurants,4.0,4.5
Great lunch stop for delicious grilled meat,"Choose from a great choice of dishes here cooked well on the grill, including lots of speciality sausages. There's lots of outside space, although when we visited it was on the chilly side and we huddled around the wood burning stove. I am sure it will be excellent in the Summer. Only thing letting the place down was a rather sullen waitress, but hey, the food was so good we went back again!",March 2021,Grill Ruta Baviera,https://www.tripadvisor.com/Restaurant_Review-g652136-d8120887-Reviews-Grill_Ruta_Baviera-Santa_Cristina_d_Aro_Costa_Brava_Province_of_Girona_Catalonia.html,"Santa Cristina d'Aro, Spain",restaurants,4.0,3.5
"Perfect setting, perfect menu, perfect staff!",It was a first visit for my daughter's birthday and we were so lucky with the weather so could enjoy the great views from the terrace outside in April. There is covered space and beautiful internal rooms if you prefer. The menu was luxurious as we pushed the boat out with oysters and lobster! but each course was a delight including the mise en bouches that began the meal. Thoroughly recommend and just sorry I did not find it sooner!,April 2021,Restaurante Can Roquet,https://www.tripadvisor.com/Restaurant_Review-g652136-d995475-Reviews-Restaurante_Can_Roquet-Santa_Cristina_d_Aro_Costa_Brava_Province_of_Girona_Catalon.html,"Santa Cristina d'Aro, Spain",restaurants,5.0,4.5
"What a gem, worth a special trip to Bisbal.","We were exploring old Bisbal after a long lockdown restriction and I found this friendly little restaurant from its excellent reviews. We were very impressed with the menu and although there is no outside space, the high ceilings and well spaced tables meant we felt very safe inside. We will return!",March 2021,Restaurant La Cantonada,https://www.tripadvisor.com/Restaurant_Review-g609017-d3206393-Reviews-Restaurant_La_Cantonada-La_Bisbal_d_Emporda_Province_of_Girona_Catalonia.html,"la Bisbal d'Emporda, Spain",restaurants,4.0,4.5
Fine dining with a South American twist on the Costa Brava,"I have been following this restaurant since it opened, living close to Palamos, but never having the time to visit. The sad reduction in tourist visitors this summer meant that there was a chance for locals to enjoy this wonderful experience on a Sunday in August! Thoroughly enjoyed the combination of two cultures and the maitre d was welcoming and informative. Just sorry not to thank the chef personally at the end of our meal but the restaurant was so busy late afternoon. Hope to return soon for the taster menu.",August 2020,Entre Dos Mons,https://www.tripadvisor.com/Restaurant_Review-g663680-d9991622-Reviews-Entre_Dos_Mons-Palamos_Province_of_Girona_Catalonia.html,"Palamos, Spain",restaurants,5.0,4.5
Excellent weekend menu with wonderful staff & great outdoor seating,"We were excited to get out & enjoy a meal after the long lockdown. We loved our visit to Arrels after a few trips when eating outside felt scarey & uncontrolled. This week our shoulders relaxed and we remembered how much fun it is to enjoy good food in a great environment! The dishes were wonderful, with melt in the mouth meat dishes, we sat under the awnings outside with lots of distance between tables do felt very safe and the staff in masks were attentive and friendly. Thoroughly recommend for your first trip out after lockdown!",June 2020,Arrels,https://www.tripadvisor.com/Restaurant_Review-g1984118-d14024268-Reviews-Arrels-Quart_Province_of_Girona_Catalonia.html,"Quart, Spain",restaurants,5.0,4.0
Impressive ancient theatre with great acoustics,"It was appalling weather when we visited but still worth the walk around to see this great building. We also took a look in the museum which had a few interesting steles relating to the cure of illnesses, but dare I say it, needs a bit of a revamp for a modern audience or young family.",November 2019,The Great Theatre of Epidaurus,https://www.tripadvisor.com/Attraction_Review-g815573-d198893-Reviews-The_Great_Theatre_of_Epidaurus-Epidavros_Argolis_Region_Peloponnese.html,"Epidavros, Greece",attractions,4.0,5.0
Highly decorated old church with interesting votive offerings,This is a great little place to visit on a tour of the old town. I wish there was more information there to appreciate it.,November 2019,Church of Ayios Georgios,https://www.tripadvisor.com/Attraction_Review-g319780-d524658-Reviews-Church_of_Ayios_Georgios-Nafplio_Argolis_Region_Peloponnese.html,"Nafplio, Greece",attractions,4.0,4.5
Impossible not to feel a huge sense of history in this ancient palace,We visited in atrocious weather but in a way that made it more evocative of the Trojan story in the moody light. The musuem is a good source of information and I enjoyed a walk around the site to see the mountain wild flowers.,November 2019,Archaeological Site Mycenae,https://www.tripadvisor.com/Attraction_Review-g189486-d522565-Reviews-Archaeological_Site_Mycenae-Mycenae_Argolis_Region_Peloponnese.html,"Mycenae, Greece",attractions,5.0,4.5
