title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Another fantastic meal,"Went with friends for Sunday lunch. All had the roast. Three pork and one beef. Once again the meal was excellent as were the puddings. Got as busy as social distancing would allow. Hope the pub gets through these difficult times as there are too many closing down at the moment. The beer garden is great, very neat and tidy with plenty of tables and on a sunny day would be great to sit there and have a beer. Long may it continue. I am related but by no means has this influenced my opinion.",August 2020,The Crown Inn,https://www.tripadvisor.com/Restaurant_Review-g652382-d4757380-Reviews-The_Crown_Inn-Shepton_Mallet_Somerset_England.html,"Shepton Mallet, United Kingdom",restaurants,5.0,4.5
With friends,Took friends for Sunday carvery. Great Yorkshire puddings. Excellent meal. The desert was to die for. Very friendly guy behind the carvery deck.( I have to say he is my nephew) but this hasn't influenced my review. If it wasn't good I'd have written nothing. Good selection of beer as well. Enjoyed it immensely.,September 2019,The Crown Inn,https://www.tripadvisor.com/Restaurant_Review-g652382-d4757380-Reviews-The_Crown_Inn-Shepton_Mallet_Somerset_England.html,"Shepton Mallet, United Kingdom",restaurants,5.0,4.5
So good we went back,"Had a couple of meals in other restaurants close to our hotel. The meal we had in Gods Restaurant was so good we went back on our last night. It wasn't a fluke, the next meal was as good if not better. The waiters were very friendly and we were made very welcome. After our second visit we felt like family. Go there or regret it.",November 2019,Gods' Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d1724517-Reviews-Gods_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Fantastic,Great building with a fantastic collection of ancient artifacts. Very interesting and if history had been as exciting as this when I was at school I'd have taken more interest.,November 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
. Great visit,Another site to tick off in the task book of life. Getting a good selection now but this is near the top. Amazing views.,November 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Amazing,Photographs don't do it any justice. You have to stand next to it. Its a good walk to the top but once you are there the views are worth it. Amazing!,November 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Excellent Service.,"Four day trip to Athens with friends. Pre booked Georges taxis to pick us up from the airport and return us after our visit. Could not have wished for a better service . Both drivers were friendly, punctual, very knowledgeable and gave us some great tips that enhanced our trip. Alex picked us up from the airport and John took us back.Excellent service. Couldn't fault it",November 2019,George's Taxi,https://www.tripadvisor.com/Attraction_Review-g189400-d1905851-Reviews-George_s_Taxi-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Seen it,Go there. Amazing sight. Didn't go in because of the queues but it was a great thing to see. Walked along the shore to see other great statues and squares.,November 2018,Torre de Belém,https://www.tripadvisor.com/Attraction_Review-g189158-d524074-Reviews-Torre_de_Belem-Lisbon_Lisbon_District_Central_Portugal.html,"Lisbon, Portugal",attractions,4.0,4.0
its a castle,At the top of the hill. Got there by tram. A very nice quite place and the views over the city are fantastic. Go there and tick it off in your task book of life.,November 2018,Castelo de S. Jorge,https://www.tripadvisor.com/Attraction_Review-g189158-d195107-Reviews-Castelo_de_S_Jorge-Lisbon_Lisbon_District_Central_Portugal.html,"Lisbon, Portugal",attractions,4.0,4.0
Amazing,Stepping back in time really. Not sure where we had to get off but the tram ride was so hairy we decided to stay on it. Got us up most of the hill to the castle. Got off before it started to go down the hill. good trip and not expensive.,November 2018,Tram 28,https://www.tripadvisor.com/Attraction_Review-g189158-d262792-Reviews-Tram_28-Lisbon_Lisbon_District_Central_Portugal.html,"Lisbon, Portugal",attractions,5.0,4.0
Great restaurant,The last meal of our four day break. possibly the best steak I have ever had. All of our meals were fantastic. The service was great and the waiters were very friendly. A great end to our holiday.,November 2018,Restaurante Sancho,https://www.tripadvisor.com/Restaurant_Review-g189158-d1308087-Reviews-Restaurante_Sancho-Lisbon_Lisbon_District_Central_Portugal.html,"Lisbon, Portugal",restaurants,5.0,4.0
