title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Cake with a view,"Great atmosphere both indoors and outdoors; nice view. The cakes are amazing, try all of them. Recommended.",October 2020,Platán Restaurant & Café,https://www.tripadvisor.com/Restaurant_Review-g274917-d1524386-Reviews-Platan_Restaurant_Cafe-Tata_Komarom_Esztergom_County_Central_Transdanubia.html,"Tata, Hungary",restaurants,5.0,4.5
Poor experience,"The service is poor, the team is not nice, the food is expensive and not matching the quality. I would value the existing customers much more, especially in these challenging times...",October 2020,Veranda,https://www.tripadvisor.com/Restaurant_Review-g274887-d3471919-Reviews-Veranda-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,2.0,3.5
"It’s a nice, enjoyable place","It’s a nice, enjoyable place with delicate Italian cuisine. The staff is helpful. Parking might be challenging in the neighborhood.",June 2020,Trattoria Venezia,https://www.tripadvisor.com/Restaurant_Review-g274887-d1062747-Reviews-Trattoria_Venezia-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,4.0,4.5
"Nice sushi, a bit slow service","Nice sushi, a bit slow service during the packed hours. The business menus are safe choices - some include drinks and salad.",February 2020,MOON,https://www.tripadvisor.com/Restaurant_Review-g293984-d952433-Reviews-MOON-Tel_Aviv_Tel_Aviv_District.html,"Tel Aviv, Israel",restaurants,4.0,4.0
Great choice!,"The hotel is located in the very center of the city, next to tons of restaurants, coffee shops and other shopping opportunities. The rooms are clean, the staff is THE BEST. The view from the roof bar is amazing. They also have a tiny gym and a conference room.",February 2020,Athens Cypria Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d235722-Reviews-Athens_Cypria_Hotel-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.0
Nice sushi in the very center,Nice sushi in a very central location. The table service is quick and the staff is nice. There is also an option to eat from conveyor belt and pay according to the color of the plate.,February 2020,Koi Sushi Bar,https://www.tripadvisor.com/Restaurant_Review-g189400-d5121936-Reviews-Koi_Sushi_Bar-Athens_Attica.html,"Athens, Greece",restaurants,4.0,3.5
A very good local restaurant.,A very good local restaurant with authentic dishes. Better to reserve place in advance. The service is fast.,February 2020,Kanella,https://www.tripadvisor.com/Restaurant_Review-g189400-d794340-Reviews-Kanella-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Super location and experience.,"Super location and experience. From the roof there is a great view, especially in the evening. The food is tasty. Live music.",February 2020,Cafe Avissinia,https://www.tripadvisor.com/Restaurant_Review-g189400-d1911009-Reviews-Cafe_Avissinia-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
Amazing place.,"Amazing place. The interior design is special. I liked both the food and the drinks, and what is really special - the staff. Even in the most crowded period always smiling, friendly and happy to help.",February 2020,Noel,https://www.tripadvisor.com/Restaurant_Review-g189400-d8310138-Reviews-Noel-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
Absolutely the top top top,"Absolutely the top top top place, in a very good location. In a few days became addicted. Everything is amazing, the staff is very helpful and friendly. They award winners, for real, and by me.",February 2020,Choureal,https://www.tripadvisor.com/Restaurant_Review-g189400-d15812472-Reviews-Choureal-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Tiny and important place,Tiny and important place. High quality exhibition with well-prepared guide. There is also a small shop.,February 2020,The Jewish Museum of Greece,https://www.tripadvisor.com/Attraction_Review-g189400-d242834-Reviews-The_Jewish_Museum_of_Greece-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
A nice piece of story,"A special exhibition for history lovers. The museum’s staff is very helpful, guided tours are also available.",February 2020,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
A historical must-see,"This is a historical must-see location. The entry fee is OK. The guards are not polite and absolutely not friendly - be careful where you step and what you do, as no written rules and some shouting greeks might ruin your experience...",February 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
