title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
palm beach to philadelphia,"American is a solid airline. The last flight was delayed some 20 minutes and they told me why which I appreciated. The best thing, we landed on time anyway. The service for drinks was well organized. We were comfortable and the plane was clean. We fly American all the time to Florida but we always pay for better seats.",January 2020,American Airlines,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-American-Airlines,World,flights,5.0,3.0
Cheerful dinner in Boca,Last night was an excellent meal. I had the filet mignon and it was cooked to perfection. There is usually a choice to eat outside or inside. The outside bar had a reservation for a large party but we sat by the window. It is worth your time.,January 2020,Burtons Grill & Bar,https://www.tripadvisor.com/Restaurant_Review-g34088-d13085947-Reviews-Burtons_Grill_Bar-Boca_Raton_Florida.html,"Boca Raton, Florida",restaurants,5.0,4.0
Real Mexican restaurant,We went to the Mariachi Grill after reading all the reviews in the area and we were not disappointed t all. The waitress was engaging and knew the menu well. I liked my food and so did my wife. It was clean and a nice atmosphere.,November 2019,Mexican Mariachi Grill y Tequila Bar,https://www.tripadvisor.com/Restaurant_Review-g46462-d14083054-Reviews-Mexican_Mariachi_Grill_y_Tequila_Bar-Glassboro_New_Jersey.html,"Glassboro, New Jersey",restaurants,5.0,4.0
DUBLIN TO PHILADELPHIA was first class,"I thought the service was very good and so did my wife and we fly often. The seats turn into a bed and we were offered champagne or wine of our choice. The food was good, check-in was smooth and I would fly with them again.",February 2019,Aer Lingus,https://www.tripadvisor.com/Airline_Review-d8728986-Reviews-Aer-Lingus,World,flights,5.0,3.5
The best of Glassboro,There are not a lot of places I can say I never had a bad meal if I went there many times but I can say that about the Monarch Diner. The owners and managers are very alert to what is going on at the busy times in the diner. The service is top shelve and the food is fresh. If there is one complaint it would be the parking. There are times there is such a rush and I may need to park across the street. Nice problem to have if you are a restaurant.,December 2019,Monarch Diner and Restaurant,https://www.tripadvisor.com/Restaurant_Review-g46462-d16721966-Reviews-Monarch_Diner_and_Restaurant-Glassboro_New_Jersey.html,"Glassboro, New Jersey",restaurants,5.0,4.5
EXPERIENCE MODERN JAPANESE,We had a group of 8 and it was a wonderful time for everyone. Our waiter explained the menu and the choices. He was excellent. We all got the $75.00 per person and ate just about everything the restaurant had to offer. The steak was perfect and I had this drink called Widow of The East and was really good. The atmosphere was good but a little too dark so bring your flashlight. This is high end dinning but worth the experience.,November 2019,Izakaya in Borgata Hotel,https://www.tripadvisor.com/Restaurant_Review-g29750-d1205782-Reviews-Izakaya_in_Borgata_Hotel-Atlantic_City_New_Jersey.html,"Atlantic City, New Jersey",restaurants,5.0,4.0
A well organized diner,"I previously spoke about Monarch's breakfast and have been back several times, never to be disappointed. If you go on a Sunday morning you will see a big crowd, but do not let that deflate you. This is a well organized restaurant that moves people in & out like clock-work. I went to lunch recently and it was very good.",November 2019,Monarch Diner and Restaurant,https://www.tripadvisor.com/Restaurant_Review-g46462-d16721966-Reviews-Monarch_Diner_and_Restaurant-Glassboro_New_Jersey.html,"Glassboro, New Jersey",restaurants,5.0,4.5
Best seat in the house,This is a remarkable view for a restaurant. The food is very good. a variety of drinks but you may need to wait a bit because it gets very packed.,October 2019,Olive Garden,https://www.tripadvisor.com/Restaurant_Review-g189400-d1898490-Reviews-Olive_Garden-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
New Jersey to Athens,It was so exciting to see something so ancient. The caretakers have done an excellent job of preserving this Greek culture from many years ago. It is worth your time.,October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Best view of Athens,Hey you want to see the most beautiful view of the Acropolis and the Parthenon at night time you will want to go to the 11th floor at this hotel. Sit outside in the nice Greek atmosphere and watch the sunset on a lighted Acropolis while you sip your favorite wine. The food is good and bathrooms are small but you will forget all that when you sit outside on the top floor looking at the brilliantly glowing ancient Acropolis. I recommend the Titania.,October 2019,Titania Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d228891-Reviews-Titania_Hotel-Athens_Attica.html,"Athens, Greece",hotels,5.0,3.5
The Titanic comes alive.,There are many facts about the Titanic that are all brought to light in this comprehensive exhibition. Everyone in our group enjoyed the visit and guides were very pleasant.,December 2018,Titanic Belfast Entrance Ticket: Titanic Visitor Experience Including SS Nomadic,https://www.tripadvisor.com/AttractionProductReview-g186470-d12027392-Titanic_Belfast_Entrance_Ticket_Titanic_Visitor_Experience_Including_SS_Nomadic-Be.html,"Belfast, United Kingdom",activities,5.0,4.5
"Bond, James Bond. That Casino.","It is just part of Monte Carlo and legend. The elegant casino is good for a short visit unless you are a gambler but when you walk out, look around to see some of the most expensive autos in one place you may ever see. We did not eat there so I can not comment but rumor has it, It is very good.",November 2018,Casino of Monte-Carlo,https://www.tripadvisor.com/Attraction_Review-g190409-d195263-Reviews-Casino_of_Monte_Carlo-Monte_Carlo.html,"Monte-Carlo, Monaco",attractions,5.0,4.0
King crab & raw clams are the best,Seafood and bring your own salad because this is a special restaurant. The new owner copied exactly the previous owner's everything. My opinion is it is the best raw claws anywhere. The large king crab is something you need to experience. Some evenings there is a piano player and the décor,September 2019,Joseph's Original Cap'n Cat Clam Bar,https://www.tripadvisor.com/Restaurant_Review-g46452-d2203803-Reviews-Joseph_s_Original_Cap_n_Cat_Clam_Bar-Franklinville_New_Jersey.html,"Franklinville, New Jersey",restaurants,5.0,4.0
Best of Washington Twp.,This restaurant has been around since the 70s but has never been better managed since Otts has made it a complete bar & restaurant. Outside dinning or belly up to two large bars you get a good choice of bar type food. Some nights there are good live bands playing.,August 2019,Otts Township,https://www.tripadvisor.com/Attraction_Review-g46815-d5842194-Reviews-Otts_Township-Sewell_New_Jersey.html,"Sewell, New Jersey",attractions,5.0,4.0
Best breakfast in town.,Oldies but goodies is the 1950s atmosphere. I have been here many times and never had a bad breakfast. Fresh made orange juice made right in front of you. My favorite is chip cream beef egg omlett . Great service,September 2019,Nifty Fifty's,https://www.tripadvisor.com/Restaurant_Review-g46877-d2355094-Reviews-Nifty_Fifty_s-Turnersville_New_Jersey.html,"Turnersville, New Jersey",restaurants,5.0,4.0
Fine Italian Cucina.,If your looking for the best Italian fine dinning in South Jersey you need to go to Scarpinatos restaurant. I can tell you besides great food it is real hard not to bring a portion home with you. The new place is large & Elegant. The meatball balls are outstanding as well as the spinach egg drop soup.,September 2019,Scarpinato's Cucina & Catering,https://www.tripadvisor.com/Restaurant_Review-g46877-d18344725-Reviews-Scarpinato_s_Cucina_Catering-Turnersville_New_Jersey.html,"Turnersville, New Jersey",restaurants,5.0,3.5
Best breakfast around.,"This is a place you will know the whole menu is very good. The Monarch Diner is a family restaurant under new management. Many Greek style dishes and it is delicious. Try Diablo Omlete if you like hot & spicey.

guarantee you will not leave hungry",June 2019,Monarch Diner and Restaurant,https://www.tripadvisor.com/Restaurant_Review-g46462-d16721966-Reviews-Monarch_Diner_and_Restaurant-Glassboro_New_Jersey.html,"Glassboro, New Jersey",restaurants,5.0,4.5
