title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great stay!,"We enjoyed our stay in Hilton Athens. Our room was spacious and clean, the breakfast buffet had quite a lot of variety. Location wise, it is about 10 min walk to Evangelismos metro station, so it's quite convenient too. Thank you Hilton Athens for providing us with an enjoyable stay!",December 2019,Hilton Athens,https://www.tripadvisor.com/Hotel_Review-g189400-d198932-Reviews-Hilton_Athens-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.5
Ok for one night,"Stayed in this hotel as part of our 2 day 1 night tour to Delphi and Meteora organised by key tours. Room was simple, clean and not big. However, the basin in my room was dirty and a little clogged. Was thinking if I should tell the receptionist about it but decided not to since we were only staying for one night. Hotel's dinner and breakfast was decent. This place would be good enough for 1 or 2 nights but I would choose another hotel if I were to stay longer.",December 2019,Orfeas Hotel,https://www.tripadvisor.com/Hotel_Review-g315843-d506589-Reviews-Orfeas_Hotel-Kalambaka_Trikala_Region_Thessaly.html,"Kalambaka, Greece",hotels,3.0,3.5
Try their truffle pasta!,"We ordered their truffle pasta after reading good reviews about it. It was really delicious! But selling at 19 Euros per plate, I did hope that the portion could be slightly bigger. Still a place to go to you're craving for pasta though.",December 2019,Cacio E Pepe,https://www.tripadvisor.com/Restaurant_Review-g482942-d2194334-Reviews-Cacio_E_Pepe-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,4.0,4.5
Grilled mushrooms were nice,"This place was within walking distance from our hotel so we decided to give it a try on our first evening in Santorini. Their grilled mushrooms were delicious, but chicken chop was a bit too charred for my liking.",November 2019,No Name Grill House,https://www.tripadvisor.com/Restaurant_Review-g635607-d14072615-Reviews-No_Name_Grill_House-Firostefani_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,4.0,4.5
Perfect place to watch sunset,"Stopped at the Imerovigli bus stop and walked from there to Skaros Rock. We couldn't get to the top as it was during winter time and the winds were very strong. Nonetheless, the view from nearby was just as awesome! It's a good place to watch Santorini's sunset without the crowd. :)",December 2019,Skaros Rock,https://www.tripadvisor.com/Attraction_Review-g635864-d3300798-Reviews-Skaros_Rock-Imerovigli_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,5.0,4.5
Must see!,You have to watch the sunset in Oia if you ever visit Santorini! We were there during winter so the crowd wasn't that bad. Was relatively easy to find a good spot to catch the sunset view.,December 2019,Sunset in Oia,https://www.tripadvisor.com/Attraction_Review-g482941-d3369820-Reviews-Sunset_in_Oia-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,5.0,4.5
Beautiful!,"We took the local bus to Oia and walked to Amoudi Bay. The walk took quite a while but it was worth it! The view at the bay was really nice, clear waters and amazing views of the rock and buildings above. Worth a visit!",December 2019,Amoudi Bay,https://www.tripadvisor.com/Attraction_Review-g482941-d1223227-Reviews-Amoudi_Bay-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,5.0,4.5
Great place to learn about wine making,"Saw lots of good reviews on this museum so we decided to check this place out. We paid 10 Euros per pax for a tour around their underground museum, which included an audio guide in our preferred language, as well as tasting of 4 of their different wines. We were the first 2 visitors on that day and there weren't anybody else after us for quite a while, so we could walk around the museum and listen to the audio guide at a comfortable pace. We learnt a great deal about the history and about wine making, and enjoyed the wine tasting very much. This place is a value for money indeed!",December 2019,Wine Museum Koutsogiannopoulos,https://www.tripadvisor.com/Attraction_Review-g14821057-d2712962-Reviews-Wine_Museum_Koutsogiannopoulos-Vothonas_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,5.0,4.5
Learn about the Akrotiri,This place is worth a visit if you want to learn more about how it was in the past. We couldn't quite imagine how it was used to be like and had to rely on the information board and our imagination.,November 2019,Akrotiri Archaeological Site,https://www.tripadvisor.com/Attraction_Review-g1189834-d4126654-Reviews-Akrotiri_Archaeological_Site-Akrotiri_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,4.0,4.0
Nice view,"We decided to visit the Red Beach as I saw its beautiful pictures online. The place was beautiful, but since it was winter, there wasn't many activities to do there except to take pictures. It was still a pleasurable walk from the bus stop to this place.",November 2019,Red Beach,https://www.tripadvisor.com/Attraction_Review-g1189834-d641334-Reviews-Red_Beach-Akrotiri_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,4.0,3.5
Great view of the Caldera from view,"This hotel has a great view of the Caldera, which we never got sick of during our 4 nights of stay there. It was so beautiful! Breakfast was basically the same for all mornings, hard boiled eggs, bread with spread provided and yogurt, but was adequate for us. Location wise, it's a 10 min walk from the main town of Fira where you can take the local bus to all the other towns in Santorini. They seem to lack in manpower, but the staff are still helpful when it comes to queries. Would recommend this place if you want affordable stay in Santorini with the amazing Caldera view.",November 2019,Manos Small World,https://www.tripadvisor.com/Hotel_Review-g635607-d630203-Reviews-Manos_Small_World-Firostefani_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,5.0,4.5
"Great location, friendly staff","Stayed here for 3 nights during our stay in Athens. This apartment has a superb location! Less than 10 min walk to the Akropoli Metro station and attractions like the Acropolis and Acropolis Museum. Lots of cafes and restaurants nearby too. We accidentally broke a wine glass during our stay, but the staff were kind enough to give us a new one without having to pay. They answered our queries very patiently too. Would recommend this place if you want an affordable stay with great location in Athens!",November 2019,Acropolis Stay,https://www.tripadvisor.com/Hotel_Review-g189400-d12606994-Reviews-Acropolis_Stay-Athens_Attica.html,"Athens, Greece",hotels,5.0,5.0
Tasty food at affordable price,Visited this place after reading so many good reviews of it. Wasn't disappointed! We ordered the tasting menu as recommended by their waitress and enjoyed most of it. It was 10 Euros per pax and we were full by the 5th dish. Would definitely recommend this place!,December 2019,5F,https://www.tripadvisor.com/Restaurant_Review-g189400-d5312490-Reviews-5F-Athens_Attica.html,"Athens, Greece",restaurants,5.0,5.0
