title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great sishi,"Beautiful decor, big inside, friendly staff, delicious food. Fare price. Free parking right by the restaurant",August 2019,Xaga,https://www.tripadvisor.com/Restaurant_Review-g48158-d3862848-Reviews-Xaga-Merrick_Long_Island_New_York.html,"Merrick, New York",restaurants,5.0,4.0
Learning history,"A model museum, a must see. Walking distance from acropolis. It was worth the visit. Very friendly staff",September 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
A little disappointed,"It’s not like 30 years ago. There is a place for the taxis, for buses to drop off the tourists. Very crowded. The lines moved fast, bathrooms facility , do wear high heal. Sneakers will do you a favor. Wear a hat and sunscreen",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Party time,"A beautiful clean, calm beach. Restaurants, clubs, cafes right in front of the beach. Public bus stop is right in front of the entrance to paradise beach. Music all day and night. Pack with tourists. Loved it",September 2019,Paradise Beach,https://www.tripadvisor.com/Attraction_Review-g6845054-d207080-Reviews-Paradise_Beach-Paradise_Beach_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",attractions,5.0,4.0
Amazing beach,"Crystal clear water, accessible by bus. No sand. It’s pebbles all over. Bars at the beach , you can rent chairs,umbrellas",September 2019,Kamari Beach,https://www.tripadvisor.com/Attraction_Review-g658914-d2663198-Reviews-Kamari_Beach-Kamari_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,5.0,4.0
Amazing Hotel,"Great location , walking distance to the beach, to the marker, to restaurant and to the bus stop. This hotel is extremely clean, the room was very big, great bathroom, comfortable beds, excellent experience with the receptionists and the staff. Beautiful pool, super clean. Delicious breakfast with lots of options. Will return next year. I already recommended to friends.",August 2019,Epavlis Hotel,https://www.tripadvisor.com/Hotel_Review-g658914-d610094-Reviews-Epavlis_Hotel-Kamari_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,5.0,4.0
Spring Break,"I had book this trip with family a few months prior and the company was sending me emails changing the times of the flights. I was about to cancel the trip but decided to call customer services to find out what was going on. It was explained because of the planes that were ground , the company had to use another company. To make a long story short and decided to go ahead but changed the dates. And it was free of charge. Flight was on time both ways. Will flight norwegian again
Already got tickets to Greece for September",April 2019,Norwegian,https://www.tripadvisor.com/Airline_Review-d8729125-Reviews-Norwegian,World,flights,4.0,3.5
Massage and relaxation,"Place is very clean. Very small , with 2 tanks hot and cold water. Receptionist in a hurry and the staff that works near the tanks is like a police officer. Massage was great. I hated that we had to give the mandatory tip of $20 . No use of a face mask. If you do , will be charged $50. And don’t forget to pay taxes at the entrance. Please read every little posting around it. It was what save us a lot of money. We had brought a mask and was ready to used. Good that I like to read every post
I will not go back",June 2019,Paradise Spa & Sauna,https://www.tripadvisor.com/Attraction_Review-g46446-d13820198-Reviews-Paradise_Spa_Sauna-Fort_Lee_New_Jersey.html,"Fort Lee, New Jersey",attractions,2.0,1.5
Great sushi/ great services,"We chose this restaurant because was across street from the spa we went
It is a small cozy place. Very busy Friday night. No alcohol but we got a bottle of wine across from the restaurant and it was no problem. Great food , great services
I will recommend, and will go back",June 2019,Hachi Sushi,https://www.tripadvisor.com/Restaurant_Review-g46446-d4619206-Reviews-Hachi_Sushi-Fort_Lee_New_Jersey.html,"Fort Lee, New Jersey",restaurants,5.0,3.5
Fun Night,"A beautiful show. I love Cher , the music was amazing. I had a good time with my friends at this show. It was more than I expected.",March 2019,The Cher Show,https://www.tripadvisor.com/Attraction_Review-g60763-d15671145-Reviews-The_Cher_Show-New_York_City_New_York.html,"New York City, New York",attractions,4.0,4.5
