title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Good food and a good host,Lola was an excellent host to show us around Barcelona through local food. We stopped at many different places to try sweet and savory food and learned some history along the way. We ending the tour with a lunch of paella in a restaurant near the beach. I would definitely recommend this tour,November 2019,3-Hour Tapas Secret Food Tour in Barcelona w/ Private Tour Option,https://www.tripadvisor.com/AttractionProductReview-g187497-d12577000-3_Hour_Tapas_Secret_Food_Tour_in_Barcelona_w_Private_Tour_Option-Barcelona_Catalon.html,"Barcelona, Spain",activities,4.0,5.0
Good price for menu del dia special,"Had lunch of first course fideua, grilled rabbit, crema Catalan, a glass of cava and a plate of spicy snails for 12 euros. Good food and good price.",November 2019,Bar Joan,https://www.tripadvisor.com/Restaurant_Review-g187497-d6419438-Reviews-Bar_Joan-Barcelona_Catalonia.html,"Barcelona, Spain",restaurants,4.0,4.5
Nice local market,"Nice local market where you can pick up cheese, jamon, and olive oil for good prices. There are even restaurant/bars to sit down and have tapas, a meal or drinks.",November 2019,Mercat Santa Caterina,https://www.tripadvisor.com/Attraction_Review-g187497-d2015831-Reviews-Mercat_Santa_Caterina-Barcelona_Catalonia.html,"Barcelona, Spain",attractions,4.0,4.5
Good tour for my first night in Barcelona,Dom was an excellent guide and took us to places we would know to go on our own to taste some of the local flavor. Got to taste a lot of food on the tour and enjoyed the atmosphere of the local restaurants. I would recommend this tour to other people.,November 2019,"Barcelona Tapas, Taverns and History Tour",https://www.tripadvisor.com/AttractionProductReview-g187497-d11903975-Barcelona_Tapas_Taverns_and_History_Tour-Barcelona_Catalonia.html,"Barcelona, Spain",activities,4.0,5.0
You select your fresh seafood and they cook it,"When you go in, you select the fresh seafood you want to eat (lobster, prawns, clams, scallops, squid, octopus, fish all sitting on ice), tell then how you want it cooked and then they send it to the cooks in back who call you when your order is up. You pay per kilo so you can order as much or as little as you like. And I have top say, it was very good.",November 2019,La Paradeta Born,https://www.tripadvisor.com/Restaurant_Review-g187497-d6131690-Reviews-La_Paradeta_Born-Barcelona_Catalonia.html,"Barcelona, Spain",restaurants,4.0,4.5
"Small, cozy room--good location and value","I booked this on hotel.com without realizing it was basically a hostel. With that being said, the room was small but comfortable. Walking distance to Las ramblas, the beach and other areas. Even though the church bells went off, I didn't hear them enough to disturb my sleep. If you are okay with a hostel type environment, even though you have your own room, this was a good value. Only thing I didn't like was the safe had a skeleton key type set up, so I was worried someone else might have a key so I didn't use it. Breakfast was provided which was good and I had lunch in the restaurant which was also good.",November 2019,Hostal Fernando,https://www.tripadvisor.com/Hotel_Review-g187497-d208586-Reviews-Hostal_Fernando-Barcelona_Catalonia.html,"Barcelona, Spain",hotels,4.0,4.0
"Restaurant near Plaza Mayor for tapas at good, fair prices",Many of the restaurants near Plaza mayor are set up to take tourist money. I had some good classic tapas dishes at a good price.,October 2019,Mirador del Arco de Cuchilleros,https://www.tripadvisor.com/Restaurant_Review-g187514-d10276765-Reviews-Mirador_del_Arco_de_Cuchilleros-Madrid.html,"Madrid, Spain",restaurants,4.0,3.5
Interesting market to walk around,"This market is much better than the Mercado Colon. Produce, fish, meat, spices, a little of everything",November 2019,Central Market of Valencia,https://www.tripadvisor.com/Attraction_Review-g187529-d574603-Reviews-Central_Market_of_Valencia-Valencia_Province_of_Valencia_Valencian_Country.html,"Valencia, Spain",attractions,4.0,4.5
Great tour to introduce you to greek food,"Dmitri was an excellent guide for the food tour. He took me to places to take some of the authentic local food and even gave me names of good restaurants to visit. And of course he took me to a place to get real authentic, inexpensive souvlaki. I would definitely recommend this tour especially for your first day in Athens.",October 2019,The 10 Tastings of Athens With Locals: Private Food Tour,https://www.tripadvisor.com/AttractionProductReview-g189400-d12923724-The_10_Tastings_of_Athens_With_Locals_Private_Food_Tour-Athens_Attica.html,"Athens, Greece",activities,4.0,5.0
Basically set up for tourists,"This is mostly restaurants set up for tourists, not a traditional market. There are places to eat, especially if you order the menu del dia and a place to get really good horchata made with tiger nuts. You can see it once then head down to the Central market for a more standard type market.",November 2019,Mercado Colon,https://www.tripadvisor.com/Attraction_Review-g187529-d562019-Reviews-Mercado_Colon-Valencia_Province_of_Valencia_Valencian_Country.html,"Valencia, Spain",attractions,3.0,4.0
