title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
First BA business flight...hopefully last!!,"We had bus. class purchased with cruise fare. The bad: Checking bags and getting boarding passes they acted like it was such a ""bother"". We asked where the gate was and they said it would be ""up"" 15 minutes before boarding. kinda hard when we were in a strange airport. It is a zoo, so difficult to find gates. The aircraft had no real bus. class. They just give u 3 seats, no more room, very crowded. Why pay for bus.class?? Seats were just like coach class. No food, they were out of everything except what we were alergetic to. (fish)",October 2019,British Airways,https://www.tripadvisor.com/Airline_Review-d8729039-Reviews-British-Airways,World,flights,1.0,3.5
wonderful food and atmosphere,"Food is exceptional and service. We had all our meals here during our stay.
View is perfect! We will defininely return",September 2019,GB Roof Garden,https://www.tripadvisor.com/Restaurant_Review-g189400-d1048185-Reviews-GB_Roof_Garden-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Luxury at its finest,"This hotel deserves all of it's 5 star ratings! Service from staff is wonderful. Our luggage was lost upon arrival and they did the impossible to help us find. I give them all the credit for finding our luggage.
The restaurant is very good. We had breakfast and dinner there. The view is fabulous.",September 2019,"King George, a Luxury Collection Hotel, Athens",https://www.tripadvisor.com/Hotel_Review-g189400-d276262-Reviews-King_George_a_Luxury_Collection_Hotel_Athens-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.5
Great flight on 787,"WOW What a great experience! My husband and I flew this great plane from Chicago to Athens. The seating arrangement in B.Class is perfect. Great food and drink. Pushed one button and bed was made. Slept wonderful after a movie. 2 or 3 flight attendants were there all the time. Love to make this flight every day.
Bummer: Flew British A return---terrible., Don't ever pay for B.Class on B.A.",October 2019,American Airlines,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-American-Airlines,World,flights,4.0,3.0
beautiful ancient ruins,"We were there the last of Sept. Seemed crowded, but we heard it was really bad during the summer months. It was a long climb, but worth it. We took our time and it made it easier.
It is very sad that some people have to stop and take pictures of EVERYTHING. I ran right over a lady who stopped in front of me!!",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Wonderful Lunch on Patio,"We stopped here because we were at the Chamber office near this restaurant. Hyatt lets all visitors use there nice rest rooms! We saw a table on the patio and it was lovely weather.
Food was excellent! Wait staff (Linda) was very good. We had a mix-up on our order and it was resolved quickly.
Whenever in Louisville we plan to return. The hotel looked nice too!
We had burbon breaded chicken fingers. Great!!",July 2019,Sway Restaurant,https://www.tripadvisor.com/Restaurant_Review-g39604-d3389334-Reviews-Sway_Restaurant-Louisville_Kentucky.html,"Louisville, Kentucky",restaurants,5.0,4.0
Great tour,"We were looking for a city tour and didn't seem to find one on TA. We went to the Chamber location downtown and they recommended this tour. WOW, we were so glad we discovered them. The young men guides are very good. They know the city well and give a very interesting short tour..
The trolleys are clean and well kept.
We recommend to anyone who wants to see the city.",July 2019,Trolley de'Ville Fun Tours & Charters,https://www.tripadvisor.com/Attraction_Review-g39604-d6589735-Reviews-Trolley_de_Ville_Fun_Tours_Charters-Louisville_Kentucky.html,"Louisville, Kentucky",attractions,5.0,5.0
Beautiful Hotel,"The Brown is a beautiful hotel. I think it is living on its past glory. Rooms are average in size, bath is nice. Absolutely NO water pressure in shower. All was clean and great towels. The staff is wonderful, very efficient and nice.
The location is good. Easy to walk to city center.
We spent 3-nites here before a River Cruise.",July 2019,The Brown Hotel,https://www.tripadvisor.com/Hotel_Review-g39604-d88855-Reviews-The_Brown_Hotel-Louisville_Kentucky.html,"Louisville, Kentucky",hotels,3.0,4.5
"We didn't plan to go here, but glad we did...","We had planned to go to Bricktown, since we had never been there. The hotel told us there was a ball game and very crowded, with parking a premium.
Charleston's was right by our hotel, so we chose this restaurant. Great choice!!
Very crowded, but didn't seem to be a problem for them. Menu is great and lots of choices. Staff is excellent and fast. We will definitely go back next time in OK city.",May 2019,Charleston's Restaurant,https://www.tripadvisor.com/Restaurant_Review-g51560-d4477708-Reviews-Charleston_s_Restaurant-Oklahoma_City_Oklahoma.html,"Oklahoma City, Oklahoma",restaurants,5.0,4.5
Wonderful restaurant,"We had been here several years ago and couldn't wait to return.
It has great seafood and the service is exceptional. Dining on the patio is really nice with the water falls.
We made reservations, afraid we wouldn't get to sit on patio. All worked great. If ever in Spokane, you must go here.",August 2017,Anthony's at Spokane Falls,https://www.tripadvisor.com/Restaurant_Review-g58759-d595414-Reviews-Anthony_s_at_Spokane_Falls-Spokane_Washington.html,"Spokane, Washington",restaurants,5.0,4.0
