title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Fun,family friendly","Very cool and not complicated activity, easygoing. Definitely unique! Unforgettable! Water is comfortable temperature.",March 2019,Diving Cenotes Tulum,https://www.tripadvisor.com/Attraction_Review-g150813-d3254667-Reviews-Diving_Cenotes_Tulum-Tulum_Yucatan_Peninsula.html,"Tulum, Mexico",attractions,5.0,5.0
comfortable ride,"Everything is good for transportation, comfortable, professional. Traffic is not to bad,service is 4 star.",March 2019,Cancun Airport Transportation,https://www.tripadvisor.com/Attraction_Review-g150807-d7702001-Reviews-Cancun_Airport_Transportation-Cancun_Yucatan_Peninsula.html,"Cancun, Mexico",attractions,5.0,4.5
Good choice,"I am very happy that I decided to travel to Greece. Well worth it! !!Everything like in the movie. Beautyful,historical.",February 2019,Athens Super Saver: Athens Sightseeing Tour plus Delphi Day Trip,https://www.tripadvisor.com/AttractionProductReview-g189400-d11448514-Athens_Super_Saver_Athens_Sightseeing_Tour_plus_Delphi_Day_Trip-Athens_Attica.html,"Athens, Greece",activities,5.0,4.0
Саve diving,"Absolutely beautiful experience, very unique, safe,water is not could, very clear.small fish present.",March 2019,Pacha Cave Diving,https://www.tripadvisor.com/Attraction_Review-g150813-d10793281-Reviews-Pacha_Cave_Diving-Tulum_Yucatan_Peninsula.html,"Tulum, Mexico",attractions,5.0,5.0
Super!!!,"Out of this world! !!Absolutely beautiful place! Very romantic, good idea to go there early in the morning less traffic. But unforgettable!",February 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Tulum stay.,"Very safe for family with small children or teens.Rooms are beautiful, food is real,all fresh, good cooks,we had good experience, no problems. Staff well trained, very pleased. It's definitely four and a half star so experience, no nonsense. Night intertainment is good quality, also lots to do for kids.",March 2019,Dreams Tulum Resort & Spa,https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html,"Tulum, Mexico",hotels,5.0,4.5
Great travel to Tulum,"Comfortable, clean professional. Good cars,very up to date,airconditioned.polite stuff. Roads are good,safe.",March 2019,Private Transfer from Cancun Airport to Tulum,https://www.tripadvisor.com/AttractionProductReview-g150807-d14953002-Private_Transfer_from_Cancun_Airport_to_Tulum-Cancun_Yucatan_Peninsula.html,"Cancun, Mexico",activities,5.0,3.0
Good for family,"Great breakfast,family friendly, good atmosphere, welcoming,food is good.We had a pleasant experience.",September 2018,Stella G's,https://www.tripadvisor.com/Restaurant_Review-g46481-d4274444-Reviews-Stella_G_s-Hackettstown_New_Jersey.html,"Hackettstown, New Jersey",restaurants,4.0,4.5
Good place to visit,"Comfortable easy going, good food,friendly.Nice out door tables and lighting, good garden,food was fresh,tasty,stuff was pleasant.",June 2018,Pandan Room Restaurant,https://www.tripadvisor.com/Restaurant_Review-g46481-d651276-Reviews-Pandan_Room_Restaurant-Hackettstown_New_Jersey.html,"Hackettstown, New Jersey",restaurants,4.0,4.5
"Space is actually smaller than on the picture, but service is frendly.","Food presentation is not like on the picture, freshness is ok,if they have it like on the picture, they can be the best in NY.",December 2018,Times Square Diner & Grill,https://www.tripadvisor.com/Restaurant_Review-g60763-d6892205-Reviews-Times_Square_Diner_Grill-New_York_City_New_York.html,"New York City, New York",restaurants,4.0,4.5
"Summer oysters are good,salads fresh,presentation sophisticated.","Oysters are good in the summer, salads fresh,presented sophisticated. Place is clean, staff is trained well.Family friendly. Bands playing.",November 2018,Draught House Bar & Grill,https://www.tripadvisor.com/Restaurant_Review-g46900-d7290014-Reviews-Draught_House_Bar_Grill-Washington_New_Jersey.html,"Washington, New Jersey",restaurants,5.0,3.5
Classic unique romantic,"Clean. Romantic.Classic. Lot's of attention to details.Feeling of being inside of the classic movie.Stuff is very polite, paintings in the rooms all different and original. What is refreshing for a change.Landscaping is tidy and well thought out.",March 2015,O.Henry Hotel,https://www.tripadvisor.com/Hotel_Review-g60845-d100769-Reviews-O_Henry_Hotel-Greensboro_North_Carolina.html,"Greensboro, North Carolina",hotels,5.0,5.0
