title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Very User Friendly,The most efficient metro sys in the world. Extremely user friendly. Almost 50% concession is given to senior citizen. Its almost like a city in the Basement. People are very friendly,October 2019,MTR,https://www.tripadvisor.com/Attraction_Review-g294217-d7906277-Reviews-MTR-Hong_Kong.html,"Hong Kong, China",attractions,5.0,4.5
Best Option,"Its a very modern and hi-tech train, which is very user friendly. Ticket counter at the Arrival Hall is easily seen. Just a very short walk to boarding. Adequate space for storage. It takes about 20 mins to Kowloon, from where complimentary shuttle bus service is provided to most hotels nearby. At Kowloon Station, one can check-in for our flight",October 2019,Airport Express,https://www.tripadvisor.com/Attraction_Review-g294217-d8566839-Reviews-Airport_Express-Hong_Kong.html,"Hong Kong, China",attractions,5.0,5.0
Great Value for Money,"Firstly, every 15 mins there is a complimentary shuttle bus service to the Airport Express, Kowloon terminal. Rooms are fairly large by HK standard. Run with Boy Scouts efficiency. Rooms are clean and comfortable. Complimentary breakfast is good. View from the rooms are nice since it overlooks a park.
Where it really scores is, on its prime location. Many eating joints are nearby, as are Wellcome & 7/11. Two metro stations are barely 10 mins away. Temple Str night Market is nearby. I have stayed here 3 times
I",October 2019,B P International,https://www.tripadvisor.com/Hotel_Review-g294217-d305353-Reviews-B_P_International-Hong_Kong.html,"Hong Kong, China",hotels,5.0,3.5
Great Family Resort,"Ladies at the Reception were friendly, helpful yet professional. Rooms are very large and comfortable. Though we dont have a view of the Caldera, nevertheless one gets to view the Ocean on the other side. Breakfast was very good. Its 15-20 mins walk to Fira, where buses to Oia re available. The property is well maintained.",October 2019,Splendour Resort,https://www.tripadvisor.com/Hotel_Review-g635607-d3387241-Reviews-Splendour_Resort-Firostefani_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,4.0,4.0
Out of the World,"Must undertake a guided tour to derive max benefit. Without a Guide, this could be another ruins. If you read some greek ancient history, you will understand Acropolis better",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Must See,An amazing Museum which has been very innovatively made. The artefacts on display have been well marked. It takes 2-3 hours. Must visit the museum with a Guide to derive max benefits,September 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Average business hotel,"Firstly, the staff at the Reception could be more friendly and efficient. We stayed 4 nights and the rooms were average. Metro stations are 15-20 mins walk. Getting taxi is also a challenge. Breakfast is very good. There aren't any restaurants nearby. The lobby is mostly crowded.",September 2019,President Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d250590-Reviews-President_Hotel-Athens_Attica.html,"Athens, Greece",hotels,3.0,3.5
Awesome,"I stayed at ITC Windsor from 12 to 14 Nov 2019. Everything was better than most International hotels. Beginning with the Reception Desk, politeness and efficiency was their hallmark. The hotel premises were spic and span. The Towers room was very comfortable and extremely well furnished. The overall decor was tasteful. Restaurants, Dam Pukth and Raj Pavilion served delicious fares
Check out was a painless and quick. My compliments to the Manager and Staff for running a happy team",November 2019,"ITC Windsor, Bengaluru - a Luxury Collection Hotel",https://www.tripadvisor.com/Hotel_Review-g297628-d301774-Reviews-ITC_Windsor_Bengaluru_a_Luxury_Collection_Hotel-Bengaluru_Bangalore_District_Karnataka.html,"Bengaluru, India",hotels,5.0,5.0
Awesome Location,"The hotel is run with Boy Scouts efficiency. Check in and check out are quick and smooth. I had to check out at 0700 hrs, and the staff was very cooperative. Rooms are very well appointed and the housekeeping staff did a great job in cleaning it everyday. The staff at the Restaurant was efficient and friendly.
Location of the hotel makes it ideal for tourists. Being very close to the MRT station, is an added advantage",May 2018,B P International,https://www.tripadvisor.com/Hotel_Review-g294217-d305353-Reviews-B_P_International-Hong_Kong.html,"Hong Kong, China",hotels,4.0,3.5
Super Train,"For a first-time visitor to Hong Kong, this is the ideal way to reach your hotel quickly. The process of buying ticket and boarding etc is very user friendly. Its high speed and comfort leaves most travellers spellbound. The facility to check-in at Kowloon and HK mtr stations is a great advantage. Travelling in Airport Express is an experience",May 2018,Airport Express,https://www.tripadvisor.com/Attraction_Review-g294217-d8566839-Reviews-Airport_Express-Hong_Kong.html,"Hong Kong, China",attractions,5.0,5.0
