title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Three in one,"We have visited the garden centre several times, mainly for the plants which always look healthy and well cared for - I believe quite a proportion are grown on site. The bedding plants are particularly good and everything is reasonably priced. Limited hard goods are also on sale. Always tidy with good service. There is also a farm shop on site which sells super vegetables as well as other food such as bread, preserves, pickles etc with a separate butchery section. Also fresh flowers.
Situated between the garden centre and farm shop is a cafe with an entrance from each. Perhaps because of the position it looks a little dark and not very welcoming however there is plenty of seating with some comfortable sofas and chairs.Also a small covered outside area which looked scruffy. We just wanted a hot drink with a cake opting for toasted teacake ( large ) and fruit bread ( packed with fruit ) . Service was friendly and efficient. Had toddler with us who was catered for.",March 2020,Hodgehill - Farm Shop & Garden Centre,https://www.tripadvisor.com/Attraction_Review-g528783-d10455707-Reviews-Hodgehill_Farm_Shop_Garden_Centre-Kidderminster_Worcestershire_England.html,"Kidderminster, United Kingdom",attractions,4.0,4.0
Breakfast,"The pub has had a facelift since we had last visited ( moved out of the area ) and we were pleasantly surprised. Good carpark and exterior looks much more inviting. Inside cosy rooms with traditional look. We were there for a booked breakfast for our group . Warm welcome from the staff who were very helpful. The full English breakfast was excellent with the plate fully stacked with well cooked food , Served with tea and coffee, all for 10 pounds. Lovely views over the area with outside area",January 2020,Three Horseshoes,https://www.tripadvisor.com/Restaurant_Review-g1833031-d3405264-Reviews-Three_Horseshoes-Wheathill_Ludlow_Shropshire_England.html,"Wheathill, United Kingdom",restaurants,5.0,4.5
A little gem,"We have been a few times to the Cock, off the beaten path but worth the effort. It is a comfy old fashioned slightly shabby pub with separate rooms and welcoming open fire in the bar - don't go if you like slick re furbished pubs. There is an attached cafe and shop which is open during the day. The menu is varied and there is always a good selection of 'specials '. All home cooked food so don't expect swift service. The pies are particularly good. Prices are very reasonable. We have also been for lunch, the ploughmans are huge. Real ales served. Service is good.",November 2019,The Fighting Cocks Inn,https://www.tripadvisor.com/Restaurant_Review-g4222610-d2148731-Reviews-The_Fighting_Cocks_Inn-Stottesdon_Shropshire_England.html,"Stottesdon, United Kingdom",restaurants,5.0,4.5
Party of 10,"A country pub which has been re furbished in appropriate style with conservatory type extension. I remember it previous to this and find the improvements have been done sympathetically and retained the character of the pub.Attractive outdoor seating area for warmer weather.Booked a meal here for 10 including a baby some weeks before the event. Welcomed and seated straight away with baby chair supplied. The menu is well balanced with all the meats and fish represented , all with appropriate accompaniments. Price slightly above average but the food looks to be home cooked and prepared fresh. We had a cross section of dishes and all were enjoyed as full of flavor and hot.. Service by efficient and enthusiastic young people and atmosphere is good. We sat in the main part of the pub but have also sat in the extension which is equally comfortable and furnished in country style.",August 2019,Pheasant at Neenton,https://www.tripadvisor.com/Restaurant_Review-g644364-d7230723-Reviews-Pheasant_at_Neenton-Bridgnorth_Shropshire_England.html,"Bridgnorth, United Kingdom",restaurants,4.0,4.5
Country pub with rooms,"A country pub which has been re furbished in appropriate style with conservatory type extension. I remember it previous to this and find the improvements have been done sympathetically and retained the character of the pub.Attractive outdoor seating area for warmer weather.Booked a meal here for 10 including a baby some weeks before the event. Welcomed and seated straight away with baby chair supplied. The menu is well balanced with all the meats and fish represented , all with appropriate accompaniments. Price slightly above average but the food looks to be home cooked and prepared fresh. We had a cross section of dishes and all were enjoyed as full of flavor and hot.. Service by efficient and enthusiastic young people.",August 2019,The Pheasant at Neenton,https://www.tripadvisor.com/Hotel_Review-g644364-d8511065-Reviews-The_Pheasant_at_Neenton-Bridgnorth_Shropshire_England.html,"Bridgnorth, United Kingdom",hotels,4.0,5.0
Enjoyed the meal,"Our first visit to the Haughmond as we live some distance away but will make the effort again. The restaurant was pleasantly decorated in country style, it seems there are one or two small rooms as well. Nice atmosphere as the place was full, mostly local repeating customers I should imagine. We had to wait a little while for the table, unfortunately not much room in which to wait and we felt in the way. The menu was imaginative and well thought out although we did have to clarify a few points before ordering as not always clear. Not a large selection but understand that the food is freshly prepared so difficult to have an expansive choice. Service was a little slow, again we are tolerant of this giving the nature of the establishment but we were decided chilly which is not really acceptable. We all enjoyed our meals, the main courses were a little on the small side so we also opted for desserts and cheese which we rarely do. Prices are good for the quality of the food. All in all an enjoyable evening.",November 2019,The Haughmond,https://www.tripadvisor.com/Restaurant_Review-g6756078-d6539641-Reviews-The_Haughmond-Upton_Magna_Shrewsbury_Shropshire_England.html,"Upton Magna, United Kingdom",restaurants,4.0,4.5
Large pub,"The pub has several rooms, all decorated in traditional style with plenty of wood in the old part. We were here in lovely weather so opted to sit out in the garden which has some interesting features and is very pleasant. Also children in the group. We ordered at the bar, not sure if this also applies for dinner but hopefully not ! We decided on some sharing dishes including a pizza as we only wanted light nibbles. It was a bit of a wait but the place was busy being good weather and a weekend. The dishes were interesting and tasty but on the small side for the price. The menu looked interesting and imaginative although the steaks were on the expensive side so can't drag my husband back to try the dinner menu. The children menu looked good .",July 2019,The Manor House of Whittington,https://www.tripadvisor.com/Restaurant_Review-g1135311-d8773520-Reviews-The_Manor_House_of_Whittington-Kinver_Kinver_Parish_Staffordshire_England.html,"Kinver, United Kingdom",restaurants,4.0,3.5
Excellent nursery,"Having recently moved to the area we have only just found Ashwood Nurseries although I am pretty sure I have seen them at gardening shows. Was impressed with the general layout and tidiness - no shrubs lay about diseased and lacking water here. Everything was labelled which is a feat in itself and displayed on immaculate outdoor beds and greenhouses. Reasonable range, prices are not the cheapest but sometimes it is better to get good stock than compromise. Also display garden which again was well looked after. Not the biggest selection of hard stock but adequate with a small gift shop. Restaurant very good with home cooked food. Looking forward to seeing John's garden which is open various times over the year.",February 2020,Ashwood Nurseries and John's Garden,https://www.tripadvisor.com/Attraction_Review-g3448302-d8134119-Reviews-Ashwood_Nurseries_and_John_s_Garden-Kingswinford_West_Midlands_England.html,"Kingswinford, United Kingdom",attractions,5.0,4.5
Good home cooked food,"The garden centre is well presented and kept immaculate. Mostly a plant nursery the plants are all in excellent health and well displayed in tidy beds and greenhouses. Hard stock is limited but sufficient. The cafe is normally busy when we go so entails a wait to choose food and pay. The food always looks very enticing which makes it difficult making a choice ! We normally go in the afternoon so have a cake and hot drink. Everything looks home cooked and the different flavored scones are particularly good. Prices are reasonable considering the quality of the food. The restaurant is a little dated but comfortable and overlooks the display gardens, there is also an outdoor seating area . If you are lucky you may get the tables around the open fire in the winter.",February 2020,Ashwood Nurseries Tea Room,https://www.tripadvisor.com/Restaurant_Review-g3448302-d4084905-Reviews-Ashwood_Nurseries_Tea_Room-Kingswinford_West_Midlands_England.html,"Kingswinford, United Kingdom",restaurants,5.0,4.0
A must do,"An exhilarating walk with a great view, the bridge is longer than you think. We walked from Manhattan and there is a fab view of the area on the journey back. Needs to be reasonable weather and not too windy . Great views of the river and there is the famous River Cafe at the base on the Brooklyn side. Read the plaques which give a brief history, evidently finished by the originators daughter in law after two tragedies in the family.",November 2019,Brooklyn Bridge,https://www.tripadvisor.com/Attraction_Review-g60763-d102741-Reviews-Brooklyn_Bridge-New_York_City_New_York.html,"New York City, New York",attractions,5.0,4.5
Iconic Skyline,"One of the most iconic skylines in the world, especially with the new buildings on Grand Zero, although there are many worldwide jostling to overtake it. It can only be appreciated fully from the river so take the Staten Island ferry and stay on it for the return journey or you can travel over to New Jersey. We have taken the yacht trip up the Hudson and that is particularly good if you make the journey back in darkness. Ground Zero buildings can be viewed close up from the Plaza building",November 2019,Manhattan Skyline,https://www.tripadvisor.com/Attraction_Review-g60763-d267031-Reviews-Manhattan_Skyline-New_York_City_New_York.html,"New York City, New York",attractions,5.0,5.0
Great Foodie Experience,"We always have a wander through the market when in New York, it is convenient for the High Line and the riverside attractions also. Some trendy shops selling interior decorations and clothing but the main attraction is the foodie shops and cafes. The specialist shops and bakeries sell best quality goods and are a delight to experience - particularly I like the fish hall. Also a fabulous shop selling all kinds of kitchenalia, a weakness of mine. Under cover so something to do if the weather is inclement.",November 2019,Chelsea Market,https://www.tripadvisor.com/Attraction_Review-g60763-d288031-Reviews-Chelsea_Market-New_York_City_New_York.html,"New York City, New York",attractions,5.0,4.5
