title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Good price, good location, nice staff, clean","Amazing place with kind, helpful staff. Clean rooms, nice vibe, good breakfast and great value for the price. Comfortable beds and nice rooms. I don’t think you can have it better in Tel Aviv if you like hostels.",November 2019,Abraham Hostel Tel-Aviv,https://www.tripadvisor.com/Hotel_Review-g293984-d9456371-Reviews-Abraham_Hostel_Tel_Aviv-Tel_Aviv_Tel_Aviv_District.html,"Tel Aviv, Israel",hotels,5.0,4.5
"Good fast food, reasonably priced","We loved the quick, cheap options. Quick eats, fresh and can be eaten on the go as well. Nice pita, fresh salad and quality meats",November 2019,Etzel Zion,https://www.tripadvisor.com/Restaurant_Review-g293984-d10444111-Reviews-Etzel_Zion-Tel_Aviv_Tel_Aviv_District.html,"Tel Aviv, Israel",restaurants,5.0,4.5
One fo the best thermal baths of Budapest,"Great bath with a good variety of pools, hot, cold and plenty of saunas and steam rooms. My only complaint is the changing area...its a bit hectic",November 2019,Széchenyi Baths and Pool,https://www.tripadvisor.com/Attraction_Review-g274887-d279029-Reviews-Szechenyi_Baths_and_Pool-Budapest_Central_Hungary.html,"Budapest, Hungary",attractions,4.0,4.0
Quality Arabic food in the heart of Budapest,"Absolutely amazing Arabic restaurant with an outstanding vibe. Perfect meal, atmosphere and service right by the Basilica of Budapest. We tried the Mixed Grill to have a variety of meats and some salad and humus. All incredible, fresh, and very tasty! I would definitely recommend this place for anyone to try!",November 2019,Pappa Roti Cafe+,https://www.tripadvisor.com/Restaurant_Review-g274887-d19060069-Reviews-Pappa_Roti_Cafe-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,5.0,5.0
Number one thing for Athens. Don’t miss it,"Definitely the most important sight of all. I went during the day, not sure if you can go up there at night but definitely get to a place where you can see it light up also at night. Absolutely magnificent, full of history and glory",November 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
One of the musts in Athens,Epic sight in the heart of Athens that is a must. Unfortunately it is not included in the 30 eur pass you buy for all the other sites but it’s 5 euros well spent to go there and see it. Also had a small museum you shouldn’t miss,October 2019,Panathenaic Stadium,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Rooftop pool,"Awesome hotel with an amazing roof top pool and bar. Definitely one of the best views on Athens and the acropolis! I would say that’s a good reason to choose this hotel over any other. Over all good location, within walking distance from all important sites, just do remember you have to climb back up the hill to get back to the hotel.",October 2019,St. George Lycabettus Lifestyle Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d198990-Reviews-St_George_Lycabettus_Lifestyle_Hotel-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.0
Fresh quick authentic food,"Loved how we could quickly grab some Croatian food here. Cheap, fresh, quick, quality food. Real close to center, so very convenient. 5star place",August 2018,Ba!cevapi,https://www.tripadvisor.com/Restaurant_Review-g295370-d4498334-Reviews-Ba_cevapi-Split_Split_Dalmatia_County_Dalmatia.html,"Split, Croatia",restaurants,5.0,4.0
"Excellent food, atmosphere, service",This is an amazing local place filled with great options of local dishes and fantastic service. Had one dinner there and decided to go back there for an other lunch because we loved it so much. Prices are also real good compared to the average in the city. Definitely recommending this place to everyone.,August 2018,Fife,https://www.tripadvisor.com/Restaurant_Review-g295370-d1009751-Reviews-Fife-Split_Split_Dalmatia_County_Dalmatia.html,"Split, Croatia",restaurants,5.0,4.0
True Italian food with authentic experience,"Guys, for real. I don’t usually write a review but I was so amazed by the kindness and thoughtfulness of the staff at this restaurant that I just had to take my time to write a review.
1, the Manager (Simone) walks around making sure everyone is happy with a big smile. Love the attitude and care for his customers. True gentlemen!
2, staff the same
3, food, just simply amazing. I recommend the cacio e pepe we especially liked that in company of a spicy salami pizza. In addition, they have a nice selection of wines (the Chianti recommended to us is now a personal favorite).

This is not the typical touristy restaurant, this is the true Italian experience where you are welcomed and treated with special kindness. And the food is outstanding!

PS: You can easily watch soccer games at the restaurant and this definitely adds to the experience!",June 2018,Il Tempio di Minerva,https://www.tripadvisor.com/Restaurant_Review-g187791-d1632970-Reviews-Il_Tempio_di_Minerva-Rome_Lazio.html,"Rome, Italy",restaurants,5.0,4.5
best asian fast food in town. no joke!,"they make the food for you. so it is not the menza style when its already prepared and they heat it for you. it is quite frankly the best asian fast food in the city. fresh ingredients, great cooks, and nice people. only bad thing they got, the place is small. time to upgrade ;)",February 2018,Oishi Sushi Budapest,https://www.tripadvisor.com/Restaurant_Review-g274887-d10510543-Reviews-Oishi_Sushi_Budapest-Budapest_Central_Hungary.html,"Budapest, Hungary",restaurants,5.0,4.5
"all around great airline, for the price","Great low cost airline, kind service, clean plane. the seats are a bit small, but hey, its a cheap flight :)",October 2017,Wizz Air,https://www.tripadvisor.com/Airline_Review-d8729187-Reviews-Wizz-Air,World,flights,4.0,3.0
