title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Simple fare on a terrace with a view!,"A good food tip for Marrakech; avoid the scruffy, overpriced food on the El - fnaa square and inside the Medina and come out here and eat something that doesn't look like a dubious dog's-dinner and in a clean and pleasant environment!
A couple of cooling drinks, hot and delicious skewers with chips and a really nice Seafood Pastilla overlooking The iconic minaret of Koutoubia. Delicious.",February 2020,La table de la koutoubia,https://www.tripadvisor.com/Restaurant_Review-g293734-d14107901-Reviews-La_table_de_la_koutoubia-Marrakech_Marrakech_Safi.html,"Marrakech, Morocco",restaurants,4.0,4.0
Beautiful location: cuisine Disappointing,"We had Just 3 nights in Fès. First night at El Mokri Palace it was late so we ate in and had beautifully cooked local dishes, but second evening decided to eat nearby at Fès Cafe.
The location in a tranquil garden is alluring! The restaurant looks cosy and welcoming and the menu board seems attractive!
Regrettably the food was at best dreary and not appetising and service a bit longwinded : staff rather detached! Overall, not a good choice and very expensive for what it was!
On our final full day in Fès, we revisited for a quick afternoon drink in the garden: very pleasant , cool and shady and one doesn't hurry, does one? No, but it's neither pleasant nor courteous for the barman to interrupt your tranquility at 3.45 pm to ask you to pay up because the ""afternoon shift"" is going off duty! Rude and unnecessary - work routines are the establishment's problem , not your customers'!",February 2020,Fez Cafe at Le Jardin Des Biehn,https://www.tripadvisor.com/Restaurant_Review-g293733-d2341441-Reviews-Fez_Cafe_at_Le_Jardin_Des_Biehn-Fes_Fes_Meknes.html,"Fes, Morocco",restaurants,2.0,4.0
The most attractive Gateway,"The gate itself is , I guess, iconic but not spectacular and the immediate area is very scruffy ! There are a good number of very touristy restaurants in the area just inside the gate all of them with the usual pushy vendors! WALK ON! Smaller cheaper and much less brash outlets inside the Médina!",February 2020,Boujloud Square,https://www.tripadvisor.com/Attraction_Review-g293733-d5327309-Reviews-Boujloud_Square-Fes_Fes_Meknes.html,"Fes, Morocco",attractions,3.0,4.0
A superb piece of Islamic Architecture,In this Madrasa you not only see the impressive courtyard but also the gallery and the individual study rooms for students.,February 2020,Al-Attarine Madrasa,https://www.tripadvisor.com/Attraction_Review-g293733-d481035-Reviews-Al_Attarine_Madrasa-Fes_Fes_Meknes.html,"Fes, Morocco",attractions,5.0,4.5
You have to see/smell it!!,"it's tricky to find and at the same time AVOID all the touts! Persevere! There is a high level viewing platform that gives you a better view WITHOUT buying any unwanted "" leather trinkets "" or overpriced food and drink ( with poor views) So ignore ALL the sham entreaties!",February 2020,Chouara Tannery,https://www.tripadvisor.com/Attraction_Review-g293733-d481056-Reviews-Chouara_Tannery-Fes_Fes_Meknes.html,"Fes, Morocco",attractions,4.0,4.0
A true gem of Islamic Architecture!,"When you visit an Islamic country which does not allow access to its greatest architectural masterpieces by non-Muslims, you have to make do with the Madrasa! This is a lovely example of the finest Islamic architecture : very fine detail! You only get to see the courtyard but it's still worth the small fee!",February 2020,Bou Inania Medersa,https://www.tripadvisor.com/Attraction_Review-g293733-d481038-Reviews-Bou_Inania_Medersa-Fes_Fes_Meknes.html,"Fes, Morocco",attractions,4.0,4.5
Lovely little park!,"It's a nice little park : not intended to be a great tourist attraction but pleasant to linger in for a while and just alongside the Blue gate,",February 2020,Jardin Jnan Sbil,https://www.tripadvisor.com/Attraction_Review-g293733-d2039292-Reviews-Jardin_Jnan_Sbil-Fes_Fes_Meknes.html,"Fes, Morocco",attractions,4.0,4.5
Loved it!!,"We stayed for 3 nights and thoroughly enjoyed it!
It's a beautiful place! Yes, it's a bit ""Heath Robinson"" as a hotel, but the sheer delight to 'stay in a beautiful room in a lovely palace' compensates for the little inadequacies and ""hit and miss"" service"" ( which however WORKS perfectly). Hamza was always there as arranged, lovely breakfasts, and two superb dinners served in 19th century splendour!",February 2020,Palais El Mokri,https://www.tripadvisor.com/Attraction_Review-g293733-d6509825-Reviews-Palais_El_Mokri-Fes_Fes_Meknes.html,"Fes, Morocco",attractions,4.0,4.5
A lovely courtyard cafe,"We went in for a quick drink on our last morning in Marrakech so cannot comment on the food. It's a lovely spot for that! Sit under the lemon trees and enjoy a citron pressé or café is very pleasant and cool , some lovely and rather unusual tiles too!",February 2020,Limoni Cafe and Restaurant,https://www.tripadvisor.com/Restaurant_Review-g293734-d3753063-Reviews-Limoni_Cafe_and_Restaurant-Marrakech_Marrakech_Safi.html,"Marrakech, Morocco",restaurants,3.0,4.5
Tagine and Thé,After a visit to the Jardin Majorelle we stopped here for lunch. Lovely individual tagines and of course a pot of thé à la me the!,February 2020,Pause Gourmande,https://www.tripadvisor.com/Restaurant_Review-g293734-d2180887-Reviews-Pause_Gourmande-Marrakech_Marrakech_Safi.html,"Marrakech, Morocco",restaurants,4.0,4.5
