title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Excellent,"We went for lunch because we were in the area and it was very good. We had two of the lunch specials and they were a very nice size. I had jambalaya and my husband had catfish and shrimp. We would definitely go back again if in the area. They also have paintings on the wall by local artists that are for sale. Be sure to notice the Blue Dog painting (not for sale, and it is a print, but a good one) by Rodrigue. We also had a great waiter.",February 2020,Cypress Grill,https://www.tripadvisor.com/Restaurant_Review-g30196-d437932-Reviews-Cypress_Grill-Austin_Texas.html,"Austin, Texas",restaurants,5.0,4.5
Nice For a Quick Lunch,"I eat a friend for lunch and it was very nice. The staff was helpful and I thought the food was good and reasonably priced. I had the medium sized poke bowl and it was plenty. My friend had bibembop (spelling?) and really liked it. She had so much she had to take some home. Hers looked so good I plan to back and order it. The decode is fast food, but everything is fresh.",February 2020,Ola Poke,https://www.tripadvisor.com/Restaurant_Review-g30196-d10631872-Reviews-Ola_Poke-Austin_Texas.html,"Austin, Texas",restaurants,4.0,4.0
Excellent Lunch,"We were in Brownsville today and stopped here for a late lunch and it was excellent. My husband had a whole grilled fish and I had the special of the day. Mine was blackened white fish wit crawfish etouffee. It was really a special, because it was half price. Both were well cooked and our waitress was great too. We had been to their place on Padre, but we had not been here before.",January 2020,Dirty Al's Seafood Market & Cajun Kitchen,https://www.tripadvisor.com/Restaurant_Review-g60928-d6726117-Reviews-Dirty_Al_s_Seafood_Market_Cajun_Kitchen-Brownsville_Texas.html,"Brownsville, Texas",restaurants,5.0,4.0
"Small, but Excellent Exhibit","We went by to see the exhibit which we had heard about. It was very nice. It shows the costumes of various Latin American countries, and one Native American costume with explanations. It is in the same building as the Children’s Museum and just across the Street from the zoo. Having visited several of the countries whose costumes were on display I can say they are authentic. There is also an explanation of how the exhibit came into being. It’s free.",January 2020,Costumes of the Americas Museum,https://www.tripadvisor.com/Attraction_Review-g60928-d13116230-Reviews-Costumes_of_the_Americas_Museum-Brownsville_Texas.html,"Brownsville, Texas",attractions,5.0,4.0
I Have Never Given. a Rating ThisLow Before,"When one visits a Fine Arts Museum one expects fine art. Well, we went today and what we got was Space-X and a tribute to E. Musk. There were photos and paper models of the spacecraft. If you are into the Space-X thing it would probably be of interest. However, if you live around here and remember when Musk said he located Space-X here because if one of the rockets blew up it was ok, because “no one lives there” you might see things differently.",January 2020,Brownsville Museum of Fine Art,https://www.tripadvisor.com/Attraction_Review-g60928-d4871146-Reviews-Brownsville_Museum_of_Fine_Art-Brownsville_Texas.html,"Brownsville, Texas",attractions,2.0,3.5
Are We Still in Edinburg,"It’s like you walk through a portal to a parallel universe? I was told the chef came from Las Vegas. We had an absolutely fantastic meal and the atmosphere is wonderful. They also have a jazz musician playing while you eat. The food is out of this world and I say this after eating a lot of meals in North America, South America, Europe and even North Africa. I was almost afraid to order meatloaf in such a fancy place, but it wasn’t like any I had ever had before. The service was perfect! When you go for the first time let them tell you about the building.",January 2020,Sidebar,https://www.tripadvisor.com/Restaurant_Review-g55786-d15182483-Reviews-Sidebar-Edinburg_Texas.html,"Edinburg, Texas",restaurants,5.0,5.0
"No Cart, but Real Dim Sum","Four of us went today. My husband and son-in-law both ordered off the regular menu and my daughter and I had dim sum. Everything was great. I like going for the dim sum when someone else is with me because you can order more things. I especially like their sticky rice in lotus leaf and their pork buns either steamed or baked. That is not to say the other dim sum items are bad, just that the ones I ordered are my favorite. If you have never had them, try the chicken feet. They are a very popular dim sum dish and actually good. Get instructions from the cook or waiter if it your first time.",January 2020,Hop Tung,https://www.tripadvisor.com/Restaurant_Review-g56255-d547122-Reviews-Hop_Tung-McAllen_Texas.html,"McAllen, Texas",restaurants,5.0,3.5
Yummy Shrimp,My husband and I stopped here while out running errands. I had a shrimp dish with spicy sauce and broccoli. It came with a rice quinoa base. I loved it until I got home and saw the sodium level. Not sure why someone would include that high a level of sodium. If they ever manage to tame the sodium I would order it again.,January 2020,Red Lobster,https://www.tripadvisor.com/Restaurant_Review-g56255-d4415978-Reviews-Red_Lobster-McAllen_Texas.html,"McAllen, Texas",restaurants,4.0,3.5
Nice Lunch,"We had just finished an appointment nearby and were hungry so we saw this restaurant and went there to eat. It was not very busy at all because it was an off time. The waiter was friendly and we were waited on promptly. We both ordered filets which were cooked to order (my husband is into medium well and I like medium rare). We were also very with their cauliflower au gratin. We enjoyed ourselves and would go back. Also, the warm loaf of bread is a nice touch.",January 2020,LongHorn Steakhouse,https://www.tripadvisor.com/Restaurant_Review-g56255-d5106117-Reviews-LongHorn_Steakhouse-McAllen_Texas.html,"McAllen, Texas",restaurants,5.0,4.0
We Have Been to Several in this Chain,We were visiting a friend in the hospital and went for lunch. It’s quick and predictable. I spend most of my time with the dips and salads but today I also had some very good chicken and gyros meat. I usually ask for the lamb shank which is not out on the buffet and I would recommend it. They have baclava for dessert as well. It was pretty busy when we arrived and we were kind of late so it appears to be popular.,December 2019,Dimassi's Mediterranean Buffet,https://www.tripadvisor.com/Restaurant_Review-g56538-d2392170-Reviews-Dimassi_s_Mediterranean_Buffet-Richardson_Texas.html,"Richardson, Texas",restaurants,4.0,4.0
