title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Fun in the Sun,Victor and Jossie from entertainment do such an amazing job with keeping the party alive. Elizer from Kampi does a great job at offering a wonderful dinner experience and making you feel like he has no where else to be but helping/serving you. Thank you each for such a great Eldorado experience,April 2021,El Dorado Royale by Karisma,https://www.tripadvisor.com/Hotel_Review-g663501-d574249-Reviews-El_Dorado_Royale_by_Karisma-Playa_Paraiso_Playa_del_Carmen_Yucatan_Peninsula.html,"Playa Paraiso, Mexico",hotels,5.0,4.5
Lovely and friendly,Glad we finally made it. Rain or shine it’s wine time. Staff are very wine knowledgeable. Quaint and gorgeous views,November 2020,Trump Winery,https://www.tripadvisor.com/Attraction_Review-g57592-d267479-Reviews-Trump_Winery-Charlottesville_Virginia.html,"Charlottesville, Virginia",attractions,5.0,4.0
Fun,What a great time. Loved just relaxing and playing a different kind of mini golf. I’d rank this as one of my favorite places in Gatlinburg.,November 2020,Hillbilly Golf,https://www.tripadvisor.com/Attraction_Review-g60842-d292825-Reviews-Hillbilly_Golf-Gatlinburg_Tennessee.html,"Gatlinburg, Tennessee",attractions,5.0,4.5
Dicks is always a great place.,Dicks is always a great place. We’ve been to a few. But Jordan came right out and made our visit memorable. Never.repeat never ask your server to take your picture. I’m dying at these photos this morning. Food was great and prices were reasonable. But let’s face it folks the service makes the visit. Ps that’s a little more ranch.,October 2020,Dick's Last Resort,https://www.tripadvisor.com/Restaurant_Review-g55270-d6659586-Reviews-Dick_s_Last_Resort-Pigeon_Forge_Tennessee.html,"Pigeon Forge, Tennessee",restaurants,5.0,3.5
Loved the food and service.,Loved the food and service. We stopped in for lunch a while back. Good fresh food. Staff were friendly and loved the atmosphere,November 2019,Torch Bistro,https://www.tripadvisor.com/Restaurant_Review-g58026-d8261842-Reviews-Torch_Bistro-Norfolk_Virginia.html,"Norfolk, Virginia",restaurants,4.0,4.0
Enjoyed the vibe. The food,Enjoyed the vibe. The food and drink was great. Wait staff was attentive and quick. We endured a bit of a wait but not bad considering it’s a Friday night downtown Norfolk. Clean and delicious.,October 2020,Hell's Kitchen,https://www.tripadvisor.com/Restaurant_Review-g58026-d418608-Reviews-Hell_s_Kitchen-Norfolk_Virginia.html,"Norfolk, Virginia",restaurants,5.0,4.0
After reading some of the,"After reading some of the reviews I was skeptical. But we decided to give it the old let’s try it. It’s breakfast. No one can mess up a homemade biscuit or pancake. Well. That’s where the review will start. I ordered #2 breakfast. Gave me plenty of sampling. Biscuit, pancake, grits and eggs even a slice of baked ham. Well the biscuit tasted like a pilsbury can biscuit and looked like it. The grits was instant but a step up from the microwave ones. The pancake was boxed mix. It’s a cute place and has so much potential but it’s not homemade for sure. If you’re passing through the area there isn’t much competition so stop in try it maybe lunch or dinner. But def not a home cooked country breakfast. Wait staff was nice and service was quick.",October 2020,Doris & Roger's Kitchen,https://www.tripadvisor.com/Restaurant_Review-g49157-d914739-Reviews-Doris_Roger_s_Kitchen-Gates_North_Carolina.html,"Gates, North Carolina",restaurants,3.0,3.5
Well this is a hidden gem.,"Well this is a hidden gem. Great burgers and the fried Oreos, wow! There was 4 of us we couldn’t get a table but we ordered take out. It was delicious.",October 2020,Jack Brown's Beer and Burger Joint,https://www.tripadvisor.com/Restaurant_Review-g58026-d10191388-Reviews-Jack_Brown_s_Beer_and_Burger_Joint-Norfolk_Virginia.html,"Norfolk, Virginia",restaurants,5.0,4.5
Ok for a seafood buffet,"Lots of choices but not all seafood. No raw bar-that surprised me. Lots of desserts. They are taking virus precautions seriously. Gloves,mask and so forth and they were enforcing it.",October 2020,Captain George's Seafood Restaurant,https://www.tripadvisor.com/Restaurant_Review-g49256-d1541745-Reviews-Captain_George_s_Seafood_Restaurant-Kill_Devil_Hills_Outer_Banks_North_Carolina.html,"Kill Devil Hills, North Carolina",restaurants,4.0,4.0
First bisit,During coronavirus you truly never know what it’s going to be like. We were impressed. They are taking precautions and it shows. Made to order breakfast that’s affordable and good. The grits are amazing.,October 2020,Stack 'Em High Pancakes and So Forth,https://www.tripadvisor.com/Restaurant_Review-g49256-d414377-Reviews-Stack_Em_High_Pancakes_and_So_Forth-Kill_Devil_Hills_Outer_Banks_North_Carolina.html,"Kill Devil Hills, North Carolina",restaurants,4.0,4.5
