title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
This restaurant was across,"This restaurant was across from our hotel. We ate here twice, and the food was great! If I’m ever in the area again, I’ll make sure to visit these fine folks.
Thanks",September 2020,La Fonda,https://www.tripadvisor.com/Restaurant_Review-g45984-d8496488-Reviews-La_Fonda-Overton_Nevada.html,"Overton, Nevada",restaurants,5.0,4.5
Awesome food,We had a great visit to the Sunset Grill. It was within walking distance from our hotel. The seafood and cool drinks were Awesome. Looking for a return visit soon.,June 2020,Sunset Grille,https://www.tripadvisor.com/Restaurant_Review-g34600-d390401-Reviews-Sunset_Grille-Saint_Augustine_Beach_St_Augustine_Florida.html,"Saint Augustine Beach, Florida",restaurants,5.0,4.5
Awesome time,"We walked around and had dinner at the paddlefish while waiting on a concert at the House of Blues. Lots of shops, and places to get food. And it was walking distance to our hotel.",February 2020,Disney Springs,https://www.tripadvisor.com/Attraction_Review-g34515-d130846-Reviews-Disney_Springs-Orlando_Florida.html,"Orlando, Florida",attractions,5.0,4.5
The seafood was great!,"The seafood was great! We had a reservation, and had a short wait to get in, but once at our table, we were taken care off by our waitress, great service and good Scallops and Mahi.",February 2020,Paddlefish,https://www.tripadvisor.com/Restaurant_Review-g34515-d12133962-Reviews-Paddlefish-Orlando_Florida.html,"Orlando, Florida",restaurants,5.0,4.0
This is a great venue to catch,"This is a great venue to catch a live band, if you don’t mind the crowd. It’s very packed with hardly no room to move.",February 2020,House of Blues Restaurant & Bar,https://www.tripadvisor.com/Restaurant_Review-g34515-d456838-Reviews-House_of_Blues_Restaurant_Bar-Orlando_Florida.html,"Orlando, Florida",restaurants,5.0,4.0
The food was Amazing.,"The food was Amazing. The Gyro was delicious. A great restaurant looking out at the water. We stopped here for lunch after a tour to Nisos Dilos. The location was perfect, just a few steps from where the ferry dropped us off.",October 2019,Kadena,https://www.tripadvisor.com/Restaurant_Review-g662620-d2031513-Reviews-Kadena-Mykonos_Town_Mykonos_Cyclades_South_Aegean.html,"Mykonos, Greece",restaurants,5.0,4.0
Probably the best seafood,Probably the best seafood in Fernandina. The service was great. The shrimp and Grouper fingers were excellent.,December 2019,Marina Seafood Restaurant,https://www.tripadvisor.com/Restaurant_Review-g34218-d473993-Reviews-Marina_Seafood_Restaurant-Fernandina_Beach_Amelia_Island_Florida.html,"Amelia Island, Florida",restaurants,5.0,3.5
"Amazing, Beautiful History","It was a little uphill walk, and somewhat crowded, but so worth it to see this beautiful place. From the top, you can look down on the city of Athens, so beautiful !",November 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Beautiful state park,"The park is Awesome. The check in for camping is not so good. The guy checking us in is very rude. The other guy in the office( Stephen) that actually ended up getting us our site, was very helpful and nice.",August 2019,Anastasia State Park,https://www.tripadvisor.com/Attraction_Review-g34599-d561320-Reviews-Anastasia_State_Park-St_Augustine_Florida.html,"St. Augustine, Florida",attractions,5.0,4.5
Great local restaurant,"This is a small local restaurant, with Awesome food. The seafood platter was great, and the scallops.",August 2019,O'Steen's Restaurant,https://www.tripadvisor.com/Restaurant_Review-g34599-d390356-Reviews-O_Steen_s_Restaurant-St_Augustine_Florida.html,"St. Augustine, Florida",restaurants,5.0,4.5
Awesome campground,"This was our 1st time at this state park, but we will be going back. The wildlife is awesome and such a wonderful campground. We can’t wait to return.",April 2019,Paynes Prairie,https://www.tripadvisor.com/Attraction_Review-g34242-d573001-Reviews-Paynes_Prairie-Gainesville_Florida.html,"Gainesville, Florida",attractions,5.0,4.5
Awesome Seafood,"Bang bang shrimp was wonderful. Fish tacos were very good too. We will visit again. The service was very good, for out to go order.",April 2019,Bonefish Grill,https://www.tripadvisor.com/Restaurant_Review-g34242-d632971-Reviews-Bonefish_Grill-Gainesville_Florida.html,"Gainesville, Florida",restaurants,5.0,4.0
Great Seafood,"A great place to eat, with great seafood and good service. The Mahi-mahi and scallops are awesome. We were traveling through and found this restaurant on trip advisor. It’s a great find.
Thanks",February 2019,Sams St Johns Seafood,https://www.tripadvisor.com/Restaurant_Review-g34496-d513656-Reviews-Sams_St_Johns_Seafood-Ocala_Florida.html,"Ocala, Florida",restaurants,5.0,4.0
Awesome Food,"We were looking for some good seafood on Christmas Eve, and we surely found it. The food was Awesome, and the service was excellent. A seafood restaurant right on the main highway going into Panacea Fl.",December 2018,Posey's Steam Room & Oyster Bar,https://www.tripadvisor.com/Restaurant_Review-g34541-d665621-Reviews-Posey_s_Steam_Room_Oyster_Bar-Panacea_Florida.html,"Panacea, Florida",restaurants,5.0,4.0
Great food,"It’s a small place, and the food is great. Stuffed shrimp and lobster bisque was the best. Maybe we can make a return trip.",November 2018,Lobster Pot Restaurant,https://www.tripadvisor.com/Restaurant_Review-g34636-d391563-Reviews-Lobster_Pot_Restaurant-Siesta_Key_Florida.html,"Siesta Key, Florida",restaurants,5.0,4.0
