title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great Stay! Fantastic!,"Intercontinental Athenaeum is one of the best hotels I have stayed in Europe! The rooms are very spacious and provide great value for their price. A family suite provides a fair cost for more than 500 square feet of spacious accommodation for 5 people. Clean rooms block out noise and provide high sleep quality, which is of the utmost importance for one's stay! Breakfast is absolutely amazing and includes a wide spread of different breads, pastries, vegetables, fruits, yogurt, cold cuts, etc.. I found the fresh waffles made on request to be quite delicious. The staff at this hotel are very friendly and accommodating towards requests, and quick to help; the hotel manager and front-desk are additionally very warm and welcoming. The service is fantastic!! I could not find any fault with it. There was no problem with the location. Although several others had commented on the proximity of a worn-down neighborhood to the hotel, my family felt very safe during the entirety of our recent 1-week stay at this hotel! The front lobby is exceedingly spacious and provides great space to relax. If you're hungry, both the Art Bistrot and Premiere restaurant (which provides amazing dinner and views of the Acropolis, although somewhat pricey) are feasible options for your meals. This hotel deserves its 5-star rating! Must-stay in Athens!",December 2019,InterContinental Athenaeum,https://www.tripadvisor.com/Hotel_Review-g189400-d233052-Reviews-InterContinental_Athenaeum-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.0
Come see this amazing building in Athens!,"The Parthenon is the most famous building in Athens, and one of the most important structures in Europe. A must-see in Athens!",December 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
The most important icon to see in Athens!,"The Parthenon is beautiful! The walk, which is not too long, offers a stunning view of the Parthenon along the way.",December 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Delicious Souvlaki! A charming place in the heart of Athens!,"Located near the Acropolis, this little gem has amazing Souvlaki and authentic Greek dishes. The oven-roasted lamb is incredible. Service is at its best: efficient, warm, and welcoming!",December 2019,Liondi Traditional Greek Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d5041914-Reviews-Liondi_Traditional_Greek_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
The best small carrier I have ever flown in!,"Aegean/Olympic Air operated my flight between Athens and Santorini and the return. The outbound to Santorini consisted of a very quick and efficient boarding procedure conducted by Aegean Airlines. The crew passed out aroma-therapeutic orange candies before takeoff. I cannot comment on the full service, as due to turbulence, the full service was not carried out; however, the crew passed out little ginger cookies as we left the aircraft.
The sole purpose of this review is to underscore the efficiency and care taken by Aegean to compensate my family and me for the cancellation of our return flight to Athens from Santorini due to extremely bad weather. The cancellation of the flight and provisions afterward prove that Aegean is concerned about the safety of their passengers and willing to take care of their passengers' needs. After Aegean canceled our Olympic Air flight, they instructed us to proceed to one of the two Aegean ticketing counters. Upon arrival, an agent swiftly printed out a new boarding pass to replace our previous one, placing our return flight the next day, and asked us if we had any concerns. Having decided on a day trip to Santorini, we did not have a place to stay. Aegean booked us into a FIVE-STAR hotel for the night and included breakfast and dinner as well. They even covered transportation both ways between the hotel and the airport! Aegean took the time to make sure their customers were safe and provided a place to stay for not only me and my family but also all other passengers on my cancelled flight. I haven't seen any other airlines do this, especially for weather-related cancellations. The return flight, although extremely turbulent, departed on time, and it was skillfully handled by the crew and experienced pilots who successfully navigated the turboprop through extremely heavy cloud cover and moderate winds. Way to go, Aegean! Keep up the great work!",December 2019,AEGEAN,https://www.tripadvisor.com/Airline_Review-d8728985-Reviews-AEGEAN,World,flights,5.0,4.0
Fantastic food! Must visit in Cologne!,"Delicious food! Every single dish was prepared well with lots of flavour, spice, and variety. Spring rolls were very tasty. Meat dishes and rice were good as well. I am very happy that this is one of the most hygienic restaurants I've ever been to! This restaurant also has extremely attentive and cordial service. Must visit in Cologne!",July 2019,Ginger Restaurant,https://www.tripadvisor.com/Restaurant_Review-g187371-d4506146-Reviews-Ginger_Restaurant-Cologne_North_Rhine_Westphalia.html,"Cologne, Germany",restaurants,5.0,4.5
"Good Food, Location nice and spacious","Nice and spacious restaurant. Ordered a bunch of dishes, including rice, chicken, and beef. Clean in general but only issue was that most of the dishes were sweet.",June 2018,Hong Yun,https://www.tripadvisor.com/Restaurant_Review-g187217-d2299389-Reviews-Hong_Yun-Antibes_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,"Antibes, France",restaurants,4.0,4.5
Excellent Food! Great Restaurant!,"Excellent Food! Awesome kebabs, appetizers(falafel, rice, pita) and dessert. Waiters were super friendly and kept plying us with more and more bread and drinks. Location is very good, restaurant is nicely sized and cozy(not big). I enjoyed my visit. Thanks so much!",August 2018,Ya Habibi,https://www.tripadvisor.com/Restaurant_Review-g187234-d1567219-Reviews-Ya_Habibi-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,"Nice, France",restaurants,5.0,4.5
Nice property and location,Nice property! Location is also amazing... located near the Carlyle Condominiums. Very big hotel. Nice and spacious rooms. Convenient 3 floor parking garage with direct access to the rooms via elevator. Amazing!,June 2018,Residence Inn by Marriott Alexandria Old Town South at Carlyle,https://www.tripadvisor.com/Hotel_Review-g30226-d1163870-Reviews-Residence_Inn_by_Marriott_Alexandria_Old_Town_South_at_Carlyle-Alexandria_Virginia.html,"Alexandria, Virginia",hotels,5.0,4.5
Good location! Nice rooms!,"Very nice location. Located in the middle of waterfront harbor and close to many good restaurants such as Grace's Mandarin and restaurants in the Gaylord Convention Center. Very big rooms! 2 bedrooms, 2 bathrooms, nice hall/living room and family room.",May 2018,Club Wyndham National Harbor,https://www.tripadvisor.com/Hotel_Review-g7791276-d1729407-Reviews-Club_Wyndham_National_Harbor-National_Harbor_Maryland.html,"National Harbor, Maryland",hotels,5.0,4.0
