title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Too expensive!,"Once in a life time visit. Although you can experience very quite and fast elevator, don’t enter when the sky is not clear - no go when it’s rainy.",January 2020,Taipei 101,https://www.tripadvisor.com/Attraction_Review-g13808515-d552573-Reviews-Taipei_101-Xinyi_District_Taipei.html,"Xinyi District, Taipei",attractions,2.0,4.0
Splendid very nice to walk - it’s free! Not like Taipei 101 which was $$$$.,Wonderful springlike pleasant day visit. Not so crowded. Recommend to walk to the Taipei Main Rail Station.,January 2020,Chiang Kai-Shek Memorial Hall,https://www.tripadvisor.com/Attraction_Review-g13808853-d456231-Reviews-Chiang_Kai_Shek_Memorial_Hall-Zhongzheng_District_Taipei.html,"Zhongzheng District, Taipei",attractions,5.0,4.0
Free shuttle buses to two separate places,"Cruise terminal is located just like airport terminal next to the cruise ship. (As a matter of fact prior to the cruise terminal it was an airport facility including runway, as I learned.) Out of cruise terminal one free shuttle bus to a shopping mall which we took. Another one brings up a hill place. Both were free. It was the first day of CNY 2020 celebration, we went a dim sum restaurant. After about an hour waiting, we had a sitting table and chair. A dim sum branch was great, but ended in a relatively expensive meal. It was very difficult to communicate in English. We experienced similar dim sum lunch a number of times in the past which made us a bit easy.",January 2020,Kai Tak Cruise Terminal,https://www.tripadvisor.com/Attraction_Review-g294217-d4759986-Reviews-Kai_Tak_Cruise_Terminal-Hong_Kong.html,"Hong Kong, China",attractions,4.0,3.5
Very convenient for airport connections.,"Our last stay in Italy was Hilton at FCO again as we did our first arrival day, but was told my reservation had been canceled by someone else, just after arrived in from Florence. Discovering the money I paid for two months ago was sucked by a service company, Very humiliating by the internet base service provider (recommend to use Exp..Hotels.com, Booking.com). I had to repay once more. This time, of course, directly.
It was worthwhile as its location is the best. A reasonable buffet breakfast, though no sparkling wine, included. Our last long over 12 hours flight was delayed so the hotel accepted longer stay without penalty. We will definitely stay again.",November 2019,Hilton Rome Airport Hotel,https://www.tripadvisor.com/Hotel_Review-g656615-d228406-Reviews-Hilton_Rome_Airport_Hotel-Fiumicino_Province_of_Rome_Lazio.html,"Fiumicino, Italy",hotels,5.0,3.5
Don’t waste your time visiting Florence unless you have a PhD of Shopping,"A bunch of tourists in the narrow street on the short distance bridge, both Jewelry stores. Don’t go unless you have lots of euros to spend.",November 2019,Ponte Vecchio,https://www.tripadvisor.com/Attraction_Review-g187895-d195009-Reviews-Ponte_Vecchio-Florence_Tuscany.html,"Florence, Italy",attractions,1.0,4.5
Reconstruction underway next thousands years! Watch for pickpockets.,"On our shore excursion trip to and from Athen’s cruise port, we took bus, train, subway and walk to Acropolis.
1. A couple looks like from Morocco approached us with a widely opened map. We were also having a small map of how to get to the hill of Acropolis from a nearby Subway station. Since we took an opposite direction ( counterclockwise) we had to look around. A decently attired husband asked me something in English. I thought he was going to help me. Instead he put his body close to me, then his wife started to say something. My wife immediately pushed me aside away from the couple. I was saved from pickpocket.
2. On the way back we took a train from Acropolis STN. The train car gradually became full and just two stations before Marathon stadium (a big event at the stadium) it was so full as all pax bodies touched the others. When the train stopped one station before the stadium, my wife suddenly pulled my arm and got out of the car. I followed my wife and stood on the platform. Surprisingly, there was an old Greek (?) man standing by just next to me. I felt a bit strange, but I chased my wife who already inside of another car. I pulled my wife’s arm and brought her back in the same original car. There was the same old man next to me back in the car. Within a minute, a lady in front of us talked to me with Greek accent English (similar accent to my Greek student during my US college time) which somewhat made sense so I replied. Very soon the train stopped at the Marathon stadium - all crowded people got off. We two were left in the train soon arrived in the final destination and walked back to the cruise terminal. I became thirsty and picked up one beer can and tried to pay for the can of beer, I’d noticed, then, that my small coin holder from left hand side jean of front pocket is gone! A bit lucky it had only less than 20 euros. How smart the thief was amazingly. This was one of the funniest pickpocket experiences. The man had his hand in my jean pocket while I was standing at platform!

Better prepared for pickpocket! After this incident I attached a string for a coin holder.
Acropolis was the same condition of my previous visit a few months before the Athen Summer Olympics ant this place is for only one visit - 10 euros each. Note that washroom are available without entering the gate.",November 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,1.0,4.5
An excellent hotel with Champagne breakfast.,"Our last stop in Tuscany Florence was a wonderfully decorated in town hotel hard to pronounce Brunelleschi. The money well spent, minutes walk to Duomo and other places. The hotel guest service men were well seasoned English speakers. The breakfast was moderately provided with Prosecco, a bubbling white. No smoked salmon, which was an extra charge. Pecorino cheese was also very tasty, after tasting this Parmesan like cheese but from goat milk we kept looking for it and bought a few. Eating Pecorino cheese is just like wine tasting so Pecorino cheese in Siena and Pienza in our next trip agenda.
To be reminded taxi fares were not cheap, possibly City Taxi drivers brutality. It’s only less than 10 minutes walk from Florence SMN rail station. We will stay here again at our next trip - my third Tuscany visit. There was a small gym but no time to use it. Our one of the best memories of 2019 trip to Italy and Mediterranean countries.",November 2019,Brunelleschi Hotel,https://www.tripadvisor.com/Hotel_Review-g187895-d202988-Reviews-Brunelleschi_Hotel-Florence_Tuscany.html,"Florence, Italy",hotels,5.0,4.5
Was a good choice to stay one week waiting for a cruise ship,"We took a transient stay at Trastevere between Rome FCO and Rome cruise port of call Civitavecchia. It was a very convenient location: Piazza Venezia, Colosseum, Vatican, Spanish Steps, etc namely via a Tram #3 or #8. It was a better location than the previous accommodation at the east of Vatican nearly 17 years ago. We recommend Trastevere area for a short stay. A nice supermarket name DEM was close by. Highly recommend Trastevere. Train station was close to St. Peter...Civitavecchia.",November 2019,Trastevere,https://www.tripadvisor.com/Attraction_Review-g187791-d190123-Reviews-Trastevere-Rome_Lazio.html,"Rome, Italy",attractions,4.0,4.5
"Better take Panorama view for 5 minutes as told, with a ticket Panorama",This time I was able to climb up narrow spiral steps all the way to view Duomo DI Siena and take pics.,November 2019,Duomo di Siena,https://www.tripadvisor.com/Attraction_Review-g187902-d207831-Reviews-Duomo_di_Siena-Siena_Tuscany.html,"Siena, Italy",attractions,5.0,5.0
Excellent paintings and statues,"This my 2nd visit was only 10 minutes waiting line, probably due to off season visit. Avoid the summer season visit or make an online reservation, as my first visit of 17 years ago was in the summer, August!, and had to wait outside for 3 hours.",November 2019,Gallerie Degli Uffizi,https://www.tripadvisor.com/Attraction_Review-g187895-d191153-Reviews-Gallerie_Degli_Uffizi-Florence_Tuscany.html,"Florence, Italy",attractions,5.0,4.5
